,Rank,Name,Name.1,Nation,Points,08_WC_MS 31.10.2008,MONTAUBAN 04.07.2008,FIERA DI PRIMIERO 13.06.2008,VAIL 06.06.2008,GRINDELWALD 30.05.2008,REUNION 02.05.2008,HALL 18.04.2008,2008,event,gender
0,1,Fischhuber,Kilian,AUT,520.00,2. 80.00,7. (43.00),2. 80.00,1. 100.00,2. 80.00,2. 80.00,1. 100.00,2008,boulder,MEN
1,2,Lama,David,AUT,375.00,,3. 65.00,1. 100.00,9. 37.00,3. 65.00,1. 100.00,23. 8.00,2008,boulder,MEN
2,3,Sharafutdinov,Dmitrii,RUS,335.00,4. 55.00,1. 100.00,,,1. 100.00,,2. 80.00,2008,boulder,MEN
3,4,Moroni,Gabriele,ITA,327.00,10. (34.00),6. 47.00,4. 55.00,2. 80.00,4. 55.00,7. 43.00,6. 47.00,2008,boulder,MEN
4,5,Gelmanov,Rustam,RUS,305.00,1. 100.00,2. 80.00,5. 51.00,,10. 34.00,,8. 40.00,2008,boulder,MEN
5,6,Pouvreau,Gérome,FRA,185.00,,8. 40.00,,4. 55.00,11. 31.00,4. 55.00,27. 4.00,2008,boulder,MEN
6,7,Hori,Tsukuru,JPN,157.00,9. 37.00,5. 51.00,6. 47.00,,15. 22.00,,,2008,boulder,MEN
7,8,Baumann,Jonas,GER,154.00,5. 51.00,13. 26.00,7. 43.00,21. 10.00,,14. 24.00,,2008,boulder,MEN
8,8,McColl,Sean,CAN,154.00,,4. 55.00,3. 65.00,10. 34.00,,,,2008,boulder,MEN
9,10,Laurence,Ludovic,FRA,145.00,22. 9.00,17. 18.00,24. 7.00,26. (5.00),9. 37.00,9. 37.00,9. 37.00,2008,boulder,MEN
10,11,Glairon Mondet,Guillaume,FRA,143.00,,16. 20.00,10. 34.00,30. 1.00,26. 5.00,12. 28.00,4. 55.00,2008,boulder,MEN
11,12,Müller,Matthias,SUI,142.00,,,17. 18.00,24. 7.00,7. 43.00,8. 40.00,10. 34.00,2008,boulder,MEN
12,13,Preti,Lucas,ITA,123.00,14. 24.00,10. 34.00,9. 37.00,23. 8.00,,16. 20.00,,2008,boulder,MEN
13,14,Woods,Daniel,USA,116.00,,,,5. 51.00,,,3. 65.00,2008,boulder,MEN
14,15,Matsushima,Akito,JPN,113.00,,,8. 40.00,,6. 47.00,13. 26.00,,2008,boulder,MEN
15,16,Core,Christian,ITA,112.00,,,19. 14.00,14. 24.00,,11. 31.00,7. 43.00,2008,boulder,MEN
16,17,Caminati,Michele,ITA,111.00,,14. 24.00,13. 26.00,12. 28.00,22. 9.00,20. 12.00,20. 12.00,2008,boulder,MEN
17,18,Becan,Klemen,SLO,109.00,6. 47.00,11. 31.00,26. 5.00,,13. 26.00,,,2008,boulder,MEN
18,18,Verhoeven,Jorg,NED,109.00,,19. 14.00,27. 4.00,,,3. 65.00,13. 26.00,2008,boulder,MEN
19,20,Shalagin,Mykhaylo,UKR,101.00,20. 12.00,,14. 24.00,,5. 51.00,19. 14.00,,2008,boulder,MEN
20,21,Stranik,Martin,CZE,90.00,,25. 6.00,15. 22.00,11. 31.00,,,11. 31.00,2008,boulder,MEN
21,22,Julien,Stephane,FRA,84.00,,12. 28.00,,26. 5.00,,5. 51.00,,2008,boulder,MEN
22,23,Meyer,Jérôme,FRA,77.00,,,,13. 26.00,,,5. 51.00,2008,boulder,MEN
23,24,Meral,Julien,FRA,73.00,,,,20. 12.00,19. 14.00,6. 47.00,,2008,boulder,MEN
24,25,Sommer,Remo,SUI,71.00,,,,7. 43.00,12. 28.00,,,2008,boulder,MEN
25,26,Vandeputte,Antoine,FRA,68.00,11. 31.00,9. 37.00,,,,,,2008,boulder,MEN
26,27,Kleshnov,Stanislav,UKR,65.00,3. 65.00,,,,,,,2008,boulder,MEN
27,27,Robinson,Paul,USA,65.00,,,,3. 65.00,,,,2008,boulder,MEN
28,29,Duroche,Pierre,FRA,59.00,,,22. 9.00,17. 18.00,23. 8.00,,14. 24.00,2008,boulder,MEN
29,30,Sugita,Masatoshi,JPN,58.00,,21. 10.00,11. 31.00,,30. 1.00,,18. 16.00,2008,boulder,MEN
30,31,Chernikov,Mikhail,RUS,52.00,13. 26.00,,,,27. 4.00,,15. 22.00,2008,boulder,MEN
31,31,Hoppe,Markus,GER,52.00,,18. 16.00,,,,17. 18.00,17. 18.00,2008,boulder,MEN
32,31,Parry,Gareth,GBR,52.00,,,30. 1.00,,28. 3.00,10. 34.00,19. 14.00,2008,boulder,MEN
33,34,Landman,Tyler,GBR,47.00,,,,6. 47.00,,,,2008,boulder,MEN
34,35,Gaidioz,Loïc,FRA,45.00,7. 43.00,29. 2.00,,,,,,2008,boulder,MEN
35,36,Jongeneelen,Wouter,NED,44.00,25. 6.00,,,15. 22.00,18. 16.00,,,2008,boulder,MEN
36,37,Kozlov,Vasily,RUS,40.00,8. 40.00,,,,,,,2008,boulder,MEN
37,37,Lachat,Cédric,SUI,40.00,,,,,8. 40.00,,,2008,boulder,MEN
38,37,Sharma,Chris,USA,40.00,,,,8. 40.00,,,,2008,boulder,MEN
39,40,Oleksy,Tomasz,POL,39.00,,14. 24.00,21. 10.00,,,,26. 5.00,2008,boulder,MEN
40,41,Rubtsov,Aleksey,RUS,38.00,12. 28.00,21. 10.00,,,,,,2008,boulder,MEN
41,42,Borowka,Andre,GER,28.00,,,,,,18. 16.00,20. 12.00,2008,boulder,MEN
42,42,Mrázek,Tomás,CZE,28.00,,,,,,,12. 28.00,2008,boulder,MEN
43,42,Rakhmetov,Salavat,RUS,28.00,,,12. 28.00,,,,,2008,boulder,MEN
44,45,Caleyron,Thomas,FRA,27.00,,,20. 12.00,,25. 6.00,,22. 9.00,2008,boulder,MEN
45,46,Ramsamy,Joackym,FRA,24.00,,,,,14. 24.00,,,2008,boulder,MEN
