,Rank,Name,Name.1,Nation,Points,08_WC_KR 15.11.2008,08_WC_PU 26.09.2008,08_WC_IM 19.09.2008,08_WC_BE 12.09.2008,CHAMONIX 12.07.2008,QINGHAI 27.06.2008,2008,event,gender
0,1,Verhoeven,Jorg,NED,380.00,2. 80.00,3. 65.00,4. 55.00,2. 80.00,1. 100.00,8. (40.00),2008,lead,MEN
1,2,Mrázek,Tomás,CZE,355.00,4. 55.00,2. 80.00,5. (51.00),3. 65.00,4. 55.00,1. 100.00,2008,lead,MEN
2,3,Julian Puigblanque,Ramón,ESP,321.00,15. (22.00),1. 100.00,2. 80.00,5. 51.00,6. 47.00,7. 43.00,2008,lead,MEN
3,4,Usobiaga Lakunza,Patxi,ESP,286.00,3. 65.00,8. 40.00,22. (9.00),1. 100.00,13. 26.00,4. 55.00,2008,lead,MEN
4,5,Amma,Sachi,JPN,266.00,8. 40.00,,13. 26.00,4. 55.00,2. 80.00,3. 65.00,2008,lead,MEN
5,5,Becan,Klemen,SLO,266.00,1. 100.00,7. 43.00,8. 40.00,17. 18.00,3. 65.00,,2008,lead,MEN
6,7,Schubert,Jakob,AUT,251.00,5. 51.00,9. 37.00,7. 43.00,,8. 40.00,2. 80.00,2008,lead,MEN
7,8,Lachat,Cédric,SUI,202.00,6. 47.00,4. 55.00,5. 51.00,9. 37.00,20. 12.00,,2008,lead,MEN
8,9,McColl,Sean,CAN,189.00,,6. 47.00,3. 65.00,7. 43.00,10. 34.00,,2008,lead,MEN
9,10,Midtboe,Magnus,NOR,187.00,14. (24.00),9. 37.00,13. 26.00,10. 34.00,7. 43.00,6. 47.00,2008,lead,MEN
10,11,Desgranges,Romain,FRA,166.00,11. 31.00,13. 26.00,12. 28.00,6. 47.00,14. (24.00),10. 34.00,2008,lead,MEN
11,12,Lama,David,AUT,155.00,,,1. 100.00,,4. 55.00,,2008,lead,MEN
12,13,Dugit,Fabien,FRA,138.00,18. 16.00,13. 26.00,11. 31.00,10. 34.00,,11. 31.00,2008,lead,MEN
13,14,Kryukov,Valeriy,UKR,136.00,,5. 51.00,9. 37.00,8. 40.00,23. 8.00,,2008,lead,MEN
14,15,Ballet,Thomas,FRA,130.00,17. 18.00,16. 20.00,10. 34.00,14. 24.00,10. 34.00,,2008,lead,MEN
15,15,Guerimand,Flavien,FRA,130.00,7. 43.00,12. 28.00,21. 10.00,29. (2.00),20. 12.00,9. 37.00,2008,lead,MEN
16,17,Comina,Fabien,FRA,116.00,13. 26.00,,18. 16.00,15. 22.00,10. 34.00,17. 18.00,2008,lead,MEN
17,18,Romain,Manuel,FRA,115.00,22. 9.00,17. 18.00,,,9. 37.00,5. 51.00,2008,lead,MEN
18,19,Fuselier,Michaël,FRA,80.00,,17. 18.00,18. 16.00,,17. 18.00,12. 28.00,2008,lead,MEN
19,20,Culver,Aurélien,FRA,58.00,12. 28.00,,29. 2.00,16. 20.00,23. 8.00,,2008,lead,MEN
20,21,Son,Sangwon,KOR,51.00,,11. 31.00,,,16. 20.00,,2008,lead,MEN
21,22,Hojer,Jan,GER,46.00,9. 37.00,,22. 9.00,,,,2008,lead,MEN
22,22,Watanabe,Kazuma,JPN,46.00,,23. 8.00,29. 2.00,12. 28.00,23. 8.00,,2008,lead,MEN
23,24,Kaurov,Ivan,RUS,45.00,19. 14.00,,15. 22.00,22. 9.00,,,2008,lead,MEN
24,25,Lechner,Mario,AUT,43.00,30. 1.00,,15. 22.00,,,16. 20.00,2008,lead,MEN
25,26,Kalina,Alexander,RUS,42.00,16. 20.00,,,,15. 22.00,,2008,lead,MEN
26,27,Min,Hyunbin,KOR,41.00,25. 6.00,19. 14.00,,,19. 14.00,24. 7.00,2008,lead,MEN
27,28,Millet,Sylvain,FRA,34.00,10. 34.00,,,,,,2008,lead,MEN
28,29,Sova,Matej,SLO,33.00,26. 5.00,25. 6.00,,,,15. 22.00,2008,lead,MEN
29,29,Tauporn,Thomas,GER,33.00,,15. 22.00,22. 9.00,,29. 2.00,,2008,lead,MEN
30,31,Lopez Mateos,Eric,ESP,32.00,,,18. 16.00,,18. 16.00,,2008,lead,MEN
31,32,Chernikov,Mikhail,RUS,31.00,,,28. 3.00,,29. 2.00,13. 26.00,2008,lead,MEN
32,33,Ito,Hidekazu,JPN,30.00,,30. 1.00,29. 2.00,28. 3.00,,14. 24.00,2008,lead,MEN
33,34,Högström,Magnus,SWE,29.00,,30. 1.00,,12. 28.00,,,2008,lead,MEN
34,35,Kim,Jaha,KOR,27.00,,24. 7.00,29. 2.00,,27. 4.00,19. 14.00,2008,lead,MEN
35,36,De Boeck,Jérôme,BEL,26.00,,27. 4.00,15. 22.00,,,,2008,lead,MEN
36,37,Ten Sijthoff,Casper,NED,20.00,,21. 10.00,,21. 10.00,,,2008,lead,MEN
37,38,Jubes Angarita,Marco Antonio,ESP,19.00,,26. 5.00,25. 6.00,23. 8.00,,,2008,lead,MEN
38,38,Szekely,Gabor,HUN,19.00,,22. 9.00,26. 5.00,29. 2.00,28. 3.00,,2008,lead,MEN
39,40,Barbero Alfonso,Pablo,ESP,18.00,,28. 3.00,27. 4.00,29. 2.00,22. 9.00,,2008,lead,MEN
40,40,Marsella,Diego Martín,ARG,18.00,,,,29. 2.00,,18. 16.00,2008,lead,MEN
41,40,Sommer,Remo,SUI,18.00,,,,17. 18.00,,,2008,lead,MEN
42,43,Jaggi,Martin,SUI,16.00,,,29. 2.00,19. 14.00,,,2008,lead,MEN
43,43,Josseron,Gabriel,FRA,16.00,,,,23. 8.00,23. 8.00,,2008,lead,MEN
44,45,Camargo,Felipe,BRA,14.00,,20. 12.00,,29. 2.00,,,2008,lead,MEN
45,45,Danker,Stefan,GER,14.00,,,29. 2.00,20. 12.00,,,2008,lead,MEN
46,47,Shoprin,Alexander,RUS,12.00,20. 12.00,,,,,,2008,lead,MEN
47,47,Wang,Qinghua,CHN,12.00,,,,,,20. 12.00,2008,lead,MEN
48,49,Terentyev,Sergey,RUS,11.00,,28. 3.00,,23. 8.00,,,2008,lead,MEN
49,50,Bergasse,Remy,FRA,10.00,21. 10.00,,,,,,2008,lead,MEN
50,50,Suolang,Jiacuo,CHN,10.00,,,,,,21. 10.00,2008,lead,MEN
51,52,Müller,Matthias,SUI,9.00,,,,,,22. 9.00,2008,lead,MEN
52,53,Perov,Aleksey,KAZ,8.00,,,,,,23. 8.00,2008,lead,MEN
53,53,Zazulin,Evgenii,RUS,8.00,23. 8.00,,,,,,2008,lead,MEN
54,55,Becan,Jure,SLO,7.00,24. 7.00,,,,,,2008,lead,MEN
55,56,Ye,Xiangyang,CHN,6.00,,,,,,25. 6.00,2008,lead,MEN
56,57,Molchanov,Alexey,KAZ,5.00,,,,,,26. 5.00,2008,lead,MEN
57,57,Schmid,Thomas,SUI,5.00,,,,26. 5.00,,,2008,lead,MEN
58,59,Kochetkov,Mikhail,RUS,4.00,27. 4.00,,,,,,2008,lead,MEN
59,59,PAN,JinYu,CHN,4.00,,,,,,27. 4.00,2008,lead,MEN
60,59,Winkler,Daniel,SUI,4.00,,,,27. 4.00,,,2008,lead,MEN
61,62,Qu,HaiBin,CHN,3.00,,,,,,28. 3.00,2008,lead,MEN
62,62,Stremfelj,Anze,SLO,3.00,28. 3.00,,,,,,2008,lead,MEN
63,64,Hemund,Kevin,SUI,2.00,,,,29. 2.00,,,2008,lead,MEN
64,64,Huerta,Mauricio,MEX,2.00,,,29. 2.00,,,,2008,lead,MEN
65,64,Krastev,Ivaylo,BUL,2.00,29. 2.00,,,,,,2008,lead,MEN
66,64,Tak,Timo,NED,2.00,,,,29. 2.00,,,2008,lead,MEN
67,68,Pagnoux,Romain,FRA,1.00,,30. 1.00,,,,,2008,lead,MEN
68,68,Ter-Minasyan,Arman,RUS,1.00,30. 1.00,,,,,,2008,lead,MEN
69,68,Zupan,Izidor,SLO,1.00,30. 1.00,,,,,,2008,lead,MEN
70,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2008. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2008. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2008. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2008. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2008. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2008. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2008. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2008. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2008. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2008. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2008. Not counting points are in brackets.,2008,lead,MEN
