,Rank,Name,Name.1,Nation,Points,08_WC_MS 31.10.2008,08_WC_PU 26.09.2008,VAL DAONE 19.07.2008,CHAMONIX 12.07.2008,QINGHAI 27.06.2008,TRENTO 27.04.2008,2008,event,gender
0,1,Vaitsekhovskii,Evgenii,RUS,411.00,1. 100.00,2. 80.00,2. 80.00,8. (40.00),5. 51.00,1. 100.00,2008,speed,MEN
1,2,Sinitcyn,Sergei,RUS,280.00,8. (40.00),5. 51.00,4. 55.00,5. 51.00,7. 43.00,2. 80.00,2008,speed,MEN
2,3,Zhong,QiXin,CHN,273.00,,6. 47.00,13. 26.00,1. 100.00,1. 100.00,,2008,speed,MEN
3,4,Styenkovyy,Maksym,UKR,265.00,10. (34.00),3. 65.00,3. 65.00,7. 43.00,9. 37.00,4. 55.00,2008,speed,MEN
4,5,Escobar,Manuel,VEN,248.00,2. 80.00,8. 40.00,7. 43.00,16. 20.00,,3. 65.00,2008,speed,MEN
5,6,Osipov,Maksym,UKR,236.00,18. (16.00),7. 43.00,6. 47.00,3. 65.00,10. 34.00,6. 47.00,2008,speed,MEN
6,7,De Las Salas,Leonel,VEN,205.00,21. 10.00,1. 100.00,12. 28.00,18. 16.00,,5. 51.00,2008,speed,MEN
7,8,Swirk,Lukasz,POL,203.00,16. 20.00,9. 37.00,1. 100.00,12. 28.00,,17. 18.00,2008,speed,MEN
8,9,Peshekhonov,Alexander,RUS,188.00,6. 47.00,4. 55.00,8. 40.00,17. 18.00,,12. 28.00,2008,speed,MEN
9,10,Kosterin,Alexander,RUS,174.00,5. 51.00,,11. 31.00,4. 55.00,,9. 37.00,2008,speed,MEN
10,11,ZHANG,Ning,CHN,173.00,14. 24.00,,19. 14.00,2. 80.00,4. 55.00,,2008,speed,MEN
11,12,Vorobyev,Valeriy,RUS,121.00,3. 65.00,,17. 18.00,14. 24.00,,19. 14.00,2008,speed,MEN
12,13,Li,Guangpu,CHN,104.00,,,26. 5.00,10. 34.00,3. 65.00,,2008,speed,MEN
13,14,Oleksy,Tomasz,POL,95.00,,,5. 51.00,15. 22.00,,15. 22.00,2008,speed,MEN
14,15,Preti,Lucas,ITA,89.00,13. 26.00,12. 28.00,,13. 26.00,,22. 9.00,2008,speed,MEN
15,16,Hroza,Libor,CZE,82.00,,19. 14.00,9. 37.00,26. 5.00,,13. 26.00,2008,speed,MEN
16,16,Komondi,Csaba,HUN,82.00,,10. 34.00,18. 16.00,30. 1.00,,11. 31.00,2008,speed,MEN
17,18,Chen,Xiaojie,CHN,80.00,,,,,2. 80.00,,2008,speed,MEN
18,18,Salimov,Oleksandr,UKR,80.00,,,,9. 37.00,,7. 43.00,2008,speed,MEN
19,20,Komosinski,Jedrzej,POL,77.00,,11. 31.00,10. 34.00,,,20. 12.00,2008,speed,MEN
20,21,Nigmatulin,Alexandr,KAZ,69.00,15. 22.00,,,6. 47.00,,,2008,speed,MEN
