,Rank,Name,Name.1,Nation,Points,08_WC_MS 31.10.2008,MONTAUBAN 04.07.2008,FIERA DI PRIMIERO 13.06.2008,VAIL 06.06.2008,GRINDELWALD 30.05.2008,REUNION 02.05.2008,HALL 18.04.2008,2008,event,gender
0,1,Stöhr,Anna,AUT,508.00,7. 43.00,8. (40.00),1. 100.00,3. 65.00,1. 100.00,1. 100.00,1. 100.00,2008,boulder,WOMEN
1,2,Noguchi,Akiyo,JPN,381.00,6. 47.00,1. 100.00,10. 34.00,,3. 65.00,2. 80.00,4. 55.00,2008,boulder,WOMEN
2,3,Abramchuk,Yulia,RUS,378.00,5. 51.00,2. 80.00,3. 65.00,,9. 37.00,3. 65.00,2. 80.00,2008,boulder,WOMEN
3,4,Saurwein,Katharina,AUT,336.00,1. 100.00,5. 51.00,9. 37.00,2. 80.00,23. (8.00),8. 40.00,12. 28.00,2008,boulder,WOMEN
4,5,Gros,Natalija,SLO,283.00,2. 80.00,3. 65.00,12. 28.00,7. 43.00,18. 16.00,,5. 51.00,2008,boulder,WOMEN
5,6,Vidmar,Katja,SLO,276.00,2. 80.00,11. 31.00,2. 80.00,11. 31.00,19. 14.00,,8. 40.00,2008,boulder,WOMEN
6,7,Lind,Angelica,SWE,246.00,11. 31.00,4. 55.00,14. 24.00,18. (16.00),5. 51.00,16. 20.00,3. 65.00,2008,boulder,WOMEN
7,8,Graftiaux,Chloé,BEL,185.00,9. 37.00,17. 18.00,11. 31.00,8. 40.00,11. 31.00,12. 28.00,19. (14.00),2008,boulder,WOMEN
8,9,Avezou,Cecile,FRA,169.00,,20. 12.00,7. 43.00,15. 22.00,14. 24.00,11. 31.00,9. 37.00,2008,boulder,WOMEN
9,10,Chevrier,Anne-Laure,FRA,168.00,,22. 9.00,6. 47.00,19. 14.00,7. 43.00,9. 37.00,17. 18.00,2008,boulder,WOMEN
10,11,Rajfova,Silvie,CZE,161.00,22. 9.00,9. 37.00,5. 51.00,10. 34.00,27. (4.00),17. 18.00,20. 12.00,2008,boulder,WOMEN
11,12,Bibik,Olga,RUS,160.00,14. 24.00,21. 10.00,4. 55.00,,8. 40.00,,11. 31.00,2008,boulder,WOMEN
12,13,Danion,Juliette,FRA,157.00,,,16. 20.00,,6. 47.00,6. 47.00,7. 43.00,2008,boulder,WOMEN
13,14,Ansade,Maud,FRA,137.00,,15. 22.00,18. 16.00,12. 28.00,12. 28.00,7. 43.00,,2008,boulder,WOMEN
14,15,Zijlstra,Vera,NED,107.00,20. 12.00,14. 24.00,,5. 51.00,16. 20.00,,,2008,boulder,WOMEN
15,16,Caprez,Nina,SUI,104.00,,7. 43.00,8. 40.00,,20. 12.00,,22. 9.00,2008,boulder,WOMEN
16,17,Johnson,Alex,USA,100.00,,,,1. 100.00,,,,2008,boulder,WOMEN
17,18,Gallyamova,Anna,RUS,91.00,10. 34.00,6. 47.00,,,,,21. 10.00,2008,boulder,WOMEN
18,19,Shalagina,Olga,UKR,89.00,,,,,,4. 55.00,10. 34.00,2008,boulder,WOMEN
19,20,Durif,Charlotte,FRA,80.00,,,,,2. 80.00,,,2008,boulder,WOMEN
20,21,Balakireva,Alexandra,RUS,79.00,16. 20.00,28. 3.00,15. 22.00,,13. 26.00,,23. 8.00,2008,boulder,WOMEN
21,22,Levet,Sandrine,FRA,77.00,,,,,,5. 51.00,13. 26.00,2008,boulder,WOMEN
22,23,Eyer,Alexandra,SUI,71.00,,,,,4. 55.00,,18. 16.00,2008,boulder,WOMEN
23,24,Abgrall,Emilie,FRA,65.00,,12. 28.00,28. 3.00,,10. 34.00,,,2008,boulder,WOMEN
24,25,Bacher,Barbara,AUT,60.00,13. 26.00,,,23. 8.00,29. 2.00,,14. 24.00,2008,boulder,WOMEN
25,26,Seguy,Audrey,GBR,59.00,,18. 16.00,24. 7.00,,21. 10.00,13. 26.00,,2008,boulder,WOMEN
26,27,Chereshneva,Yana,RUS,55.00,4. 55.00,,,,,,,2008,boulder,WOMEN
27,27,Hensley,Tiffany,USA,55.00,,,,4. 55.00,,,,2008,boulder,WOMEN
28,29,Lavarda,Jenny,ITA,49.00,,,26. 5.00,,15. 22.00,,15. 22.00,2008,boulder,WOMEN
29,30,Alekseeva,Kseniia,RUS,47.00,12. 28.00,26. 5.00,,,21. 10.00,,27. 4.00,2008,boulder,WOMEN
30,30,Ernst,Johanna,AUT,47.00,,,,,,,6. 47.00,2008,boulder,WOMEN
31,30,Puccio,Alex,USA,47.00,,,,6. 47.00,,,,2008,boulder,WOMEN
32,33,Johannesen,Therese,NOR,44.00,,,13. 26.00,,17. 18.00,,,2008,boulder,WOMEN
33,34,Saurwein,Franziska,AUT,42.00,,,20. 12.00,,25. 6.00,14. 24.00,,2008,boulder,WOMEN
34,35,Bacher,Sabine,AUT,40.00,8. 40.00,,,,,,,2008,boulder,WOMEN
35,36,Le Neve,Melissa,FRA,38.00,17. 18.00,16. 20.00,,,,,,2008,boulder,WOMEN
36,37,Rands,Lisa,USA,37.00,,,,9. 37.00,,,,2008,boulder,WOMEN
37,38,Wurm,Juliane,GER,36.00,,13. 26.00,21. 10.00,,,,,2008,boulder,WOMEN
38,39,Son,Mélanie,FRA,35.00,,19. 14.00,25. 6.00,,23. 8.00,,24. 7.00,2008,boulder,WOMEN
39,40,Hoarau,Anne,FRA,34.00,,,,,,10. 34.00,,2008,boulder,WOMEN
40,40,Lipenska,Helena,CZE,34.00,,,19. 14.00,,,,16. 20.00,2008,boulder,WOMEN
41,40,Thévenet,Marine,FRA,34.00,,10. 34.00,,,,,,2008,boulder,WOMEN
42,43,Bezhko,Olga,UKR,29.00,15. 22.00,,,,,,24. 7.00,2008,boulder,WOMEN
43,44,Carpenter,Thirza,CAN,26.00,,,,13. 26.00,,,,2008,boulder,WOMEN
44,45,Asher,Elizabeth,USA,24.00,,,,14. 24.00,,,,2008,boulder,WOMEN
45,46,Merrick,Diane,GBR,23.00,,24. 7.00,,29. 2.00,,19. 14.00,,2008,boulder,WOMEN
46,47,Agafonova,Maria,RUS,22.00,18. 16.00,25. 6.00,,,,,,2008,boulder,WOMEN
47,47,Delpierre,Marine,FRA,22.00,,,,,,15. 22.00,,2008,boulder,WOMEN
48,50,Weldon,Victoria,CAN,20.00,,,,16. 20.00,,,,2008,boulder,WOMEN
49,51,Jouett-Bosley,Charlotte,USA,18.00,,,,17. 18.00,,,,2008,boulder,WOMEN
50,51,KIM,Jain,KOR,18.00,,,17. 18.00,,,,,2008,boulder,WOMEN
51,53,Aveline,Morgane,FRA,16.00,,,,,,18. 16.00,,2008,boulder,WOMEN
52,54,Sandoz,Mélanie,FRA,15.00,,30. 1.00,22. 9.00,,28. 3.00,,29. 2.00,2008,boulder,WOMEN
53,55,Gel'fer,Alisa,UKR,14.00,19. 14.00,,,,,,,2008,boulder,WOMEN
54,56,Sailer,Natalie,GER,13.00,,27. 4.00,22. 9.00,,,,,2008,boulder,WOMEN
55,57,Ford-Zieleniewski,Erin,CAN,12.00,,,,20. 12.00,,,,2008,boulder,WOMEN
56,57,Hilly,Margaux,FRA,12.00,,,,,,20. 12.00,,2008,boulder,WOMEN
57,60,Longo,Roberta,ITA,11.00,,,28. 3.00,,30. 1.00,,24. 7.00,2008,boulder,WOMEN
58,61,Lagoffun,Sarah,FRA,10.00,,,,,,21. 10.00,,2008,boulder,WOMEN
59,61,McGinnis,Kate,USA,10.00,,,,21. 10.00,,,,2008,boulder,WOMEN
60,61,Shemulinkina,Tatiana,RUS,10.00,21. 10.00,,,,,,,2008,boulder,WOMEN
61,65,Payne,Angela,USA,9.00,,,,22. 9.00,,,,2008,boulder,WOMEN
62,66,Osborne,Sheena,CAN,8.00,,,,23. 8.00,,,,2008,boulder,WOMEN
63,66,Pietras,Kasia,USA,8.00,,,,23. 8.00,,,,2008,boulder,WOMEN
64,66,Reid,Holly,CAN,8.00,,,,23. 8.00,,,,2008,boulder,WOMEN
65,66,Thomas,Emeline,FRA,8.00,,23. 8.00,,,,,,2008,boulder,WOMEN
66,66,Troepolskaya,Yulia,RUS,8.00,23. 8.00,,,,,,,2008,boulder,WOMEN
67,66,de Bruijn,Bonnie,CAN,8.00,,,,23. 8.00,,,,2008,boulder,WOMEN
68,72,Morozkina,Olga,RUS,7.00,24. 7.00,,,,,,,2008,boulder,WOMEN
69,73,Titova,Natalia,RUS,6.00,25. 6.00,,,,,,,2008,boulder,WOMEN
70,74,Maire,Zoë,SUI,5.00,,,,,26. 5.00,,,2008,boulder,WOMEN
71,74,Savkina,Marta,RUS,5.00,26. 5.00,,,,,,,2008,boulder,WOMEN
72,76,Blanco,Lucelia,VEN,4.00,27. 4.00,,,,,,,2008,boulder,WOMEN
73,76,Chiappa,Elena,ITA,4.00,,,27. 4.00,,,,,2008,boulder,WOMEN
74,78,Combaz,Celine,FRA,3.00,,,,,,,28. 3.00,2008,boulder,WOMEN
75,78,Dorey,Alyrene,USA,3.00,,,,28. 3.00,,,,2008,boulder,WOMEN
76,78,Li,Chunhua,CHN,3.00,28. 3.00,,,,,,,2008,boulder,WOMEN
77,81,Austin,Sarah,CAN,2.00,,,,29. 2.00,,,,2008,boulder,WOMEN
