,Rank,Name,Name.1,Nation,Points,08_WC_KR 15.11.2008,08_WC_PU 26.09.2008,08_WC_IM 19.09.2008,08_WC_BE 12.09.2008,CHAMONIX 12.07.2008,QINGHAI 27.06.2008,2008,event,gender
0,1,Ernst,Johanna,AUT,460.00,1. 100.00,3. (65.00),2. 80.00,2. 80.00,1. 100.00,1. 100.00,2008,lead,WOMEN
1,2,Vidmar,Maja,SLO,345.00,2. 80.00,1. 100.00,3. 65.00,1. 100.00,,,2008,lead,WOMEN
2,3,Markovic,Mina,SLO,325.00,8. 40.00,2. 80.00,1. 100.00,13. (26.00),3. 65.00,8. 40.00,2008,lead,WOMEN
3,4,Ciavaldini,Caroline,FRA,263.00,4. 55.00,4. 55.00,4. 55.00,7. 43.00,4. 55.00,17. (18.00),2008,lead,WOMEN
4,5,Durif,Charlotte,FRA,240.00,6. 47.00,19. (14.00),15. 22.00,4. 55.00,5. 51.00,3. 65.00,2008,lead,WOMEN
5,5,Noguchi,Akiyo,JPN,240.00,3. 65.00,5. 51.00,6. 47.00,5. 51.00,13. 26.00,,2008,lead,WOMEN
6,7,Gros,Natalija,SLO,239.00,5. 51.00,10. 34.00,13. (26.00),9. 37.00,9. 37.00,2. 80.00,2008,lead,WOMEN
7,8,Shalagina,Olga,UKR,233.00,10. 34.00,6. 47.00,8. 40.00,3. 65.00,6. 47.00,,2008,lead,WOMEN
8,9,Chereshneva,Yana,RUS,195.00,7. 43.00,13. 26.00,10. 34.00,18. (16.00),9. 37.00,4. 55.00,2008,lead,WOMEN
9,10,Eyer,Alexandra,SUI,183.00,16. (20.00),14. 24.00,9. 37.00,10. 34.00,9. 37.00,5. 51.00,2008,lead,WOMEN
10,11,schöpf,Bettina,AUT,174.00,,10. 34.00,14. 24.00,6. 47.00,7. 43.00,13. 26.00,2008,lead,WOMEN
11,12,Sarkany,Muriel,BEL,165.00,,12. 28.00,5. 51.00,28. 3.00,8. 40.00,7. 43.00,2008,lead,WOMEN
