,Rank,Name,Name.1,Nation,Points,08_WC_MS 31.10.2008,08_WC_PU 26.09.2008,VAL DAONE 19.07.2008,CHAMONIX 12.07.2008,QINGHAI 27.06.2008,TRENTO 27.04.2008,2008,event,gender
0,1,Ropek,Edyta,POL,366.00,2. 80.00,4. 55.00,1. 100.00,8. (40.00),5. 51.00,2. 80.00,2008,speed,WOMEN
1,2,Ryepko,Olena,UKR,332.00,1. 100.00,3. 65.00,4. 55.00,6. 47.00,9. (37.00),3. 65.00,2008,speed,WOMEN
2,3,Tuzhylina,Svitlana,UKR,327.00,4. 55.00,1. 100.00,2. 80.00,4. 55.00,10. (34.00),9. 37.00,2008,speed,WOMEN
3,4,Li,Chunhua,CHN,317.00,5. 51.00,7. 43.00,7. 43.00,2. 80.00,1. 100.00,,2008,speed,WOMEN
4,5,Blanco,Lucelia,VEN,275.00,3. 65.00,5. 51.00,15. 22.00,9. 37.00,,1. 100.00,2008,speed,WOMEN
5,6,Stenkovaya,Anna,RUS,257.00,6. 47.00,2. 80.00,6. 47.00,7. 43.00,8. 40.00,8. (40.00),2008,speed,WOMEN
6,7,He,Cuifang,CHN,248.00,,11. 31.00,9. 37.00,1. 100.00,2. 80.00,,2008,speed,WOMEN
7,8,Yurina,Valentina,RUS,225.00,8. 40.00,6. 47.00,3. 65.00,17. 18.00,,4. 55.00,2008,speed,WOMEN
8,9,Bezhko,Olga,UKR,212.00,7. 43.00,9. 37.00,5. 51.00,10. 34.00,,6. 47.00,2008,speed,WOMEN
9,10,Morozkina,Olga,RUS,189.00,12. (28.00),8. 40.00,8. 40.00,11. 31.00,6. 47.00,11. 31.00,2008,speed,WOMEN
10,11,He,CuiLian,CHN,154.00,,,14. 24.00,3. 65.00,3. 65.00,,2008,speed,WOMEN
11,12,PAN,Xuhua,CHN,124.00,,,17. 18.00,5. 51.00,4. 55.00,,2008,speed,WOMEN
12,13,Piratinskaya,Mayya,RUS,109.00,,,11. 31.00,15. 22.00,12. 28.00,12. 28.00,2008,speed,WOMEN
13,14,Rodriguez,Francis,VEN,108.00,,12. 28.00,10. 34.00,14. 24.00,,15. 22.00,2008,speed,WOMEN
14,15,Mylnikova,Anna,RUS,101.00,19. 14.00,,18. 16.00,12. 28.00,,7. 43.00,2008,speed,WOMEN
15,16,Da Silva,Rosmery,VEN,51.00,,,,,,5. 51.00,2008,speed,WOMEN
16,17,Goatache,Katy,VEN,46.00,,,13. 26.00,16. 20.00,,,2008,speed,WOMEN
17,18,Zhang,Dan,CHN,43.00,,,,,7. 43.00,,2008,speed,WOMEN
18,19,Gallyamova,Anna,RUS,37.00,9. 37.00,,,,,,2008,speed,WOMEN
19,20,Iskakova,Aliya,KAZ,36.00,26. 5.00,,,,11. 31.00,,2008,speed,WOMEN
20,21,Hrozova,Lucie,CZE,35.00,,,12. 28.00,24. 7.00,,,2008,speed,WOMEN
21,22,Evstigneeva,Olga,RUS,34.00,10. 34.00,,,,,,2008,speed,WOMEN
22,22,Graftiaux,Chloé,BEL,34.00,,10. 34.00,,,,,2008,speed,WOMEN
23,22,Savchenko,Ganna,UKR,34.00,,,,,,10. 34.00,2008,speed,WOMEN
24,25,Titova,Natalia,RUS,31.00,11. 31.00,,,,,,2008,speed,WOMEN
25,26,Gabazú,Rossi,VEN,29.00,,,16. 20.00,22. 9.00,,,2008,speed,WOMEN
26,27,Gaidamakina,Alina,RUS,26.00,13. 26.00,,,,,,2008,speed,WOMEN
27,27,Graftiaux,Alix,BEL,26.00,,13. 26.00,,,,,2008,speed,WOMEN
28,27,Irsaliyeva,Dinara,KAZ,26.00,,,,13. 26.00,,,2008,speed,WOMEN
29,27,Prokopiuk,Monika,POL,26.00,,,,,,13. 26.00,2008,speed,WOMEN
30,31,Miroslaw,Katarzyna,POL,24.00,,,,,,14. 24.00,2008,speed,WOMEN
31,31,Pichler,Stefanie,AUT,24.00,,,19. 14.00,21. 10.00,,,2008,speed,WOMEN
32,31,Troepolskaya,Yulia,RUS,24.00,14. 24.00,,,,,,2008,speed,WOMEN
33,34,Terenteva,Galina,RUS,23.00,22. 9.00,,,19. 14.00,,,2008,speed,WOMEN
34,35,Alekseeva,Kseniia,RUS,22.00,15. 22.00,,,,,,2008,speed,WOMEN
35,36,Polekhina,Kseniya,RUS,20.00,,,,,,16. 20.00,2008,speed,WOMEN
36,36,Sheremetyeva,Olena,UKR,20.00,16. 20.00,,,,,,2008,speed,WOMEN
37,38,Koroleva,Natalia,RUS,18.00,17. 18.00,,,,,,2008,speed,WOMEN
38,38,Lavarda,Jenny,ITA,18.00,,,,,,17. 18.00,2008,speed,WOMEN
39,40,Krasavina,Mariia,RUS,16.00,18. 16.00,,,,,,2008,speed,WOMEN
40,40,Rakitskaya,Anna,RUS,16.00,,,,,,18. 16.00,2008,speed,WOMEN
41,40,Zijlstra,Vera,NED,16.00,,,,18. 16.00,,,2008,speed,WOMEN
42,43,Maneva,Radiana,BUL,14.00,,,,,,19. 14.00,2008,speed,WOMEN
43,44,Aveline,Morgane,FRA,12.00,,,,20. 12.00,,,2008,speed,WOMEN
