,Rank,Name,Name.1,Nation,Points,WC Eindhoven 12.06.2009,WC Vail 05.06.2009,WC Wien 29.05.2009,WC Hall 01.05.2009,WC Kazo 11.04.2009,2009,event,gender
0,1,Noguchi,Akiyo,JPN,435.00,1. 100.00,3. 65.00,2. 80.00,1. 90.00,1. 100.00,2009,boulder,WOMEN
1,2,Stöhr,Anna,AUT,309.00,10. 34.00,4. 55.00,3. 65.00,1. 90.00,3. 65.00,2009,boulder,WOMEN
2,3,Gros,Natalija,SLO,238.00,2. 80.00,6. 47.00,25. 5.00,5. 51.00,4. 55.00,2009,boulder,WOMEN
3,4,Graftiaux,Chloé,BEL,200.00,4. 55.00,9. 37.00,7. 43.00,9. 37.00,12. 28.00,2009,boulder,WOMEN
4,5,KIM,Jain,KOR,169.00,23. 7.00,5. 51.00,11. 31.00,,2. 80.00,2009,boulder,WOMEN
5,6,Abramchuk,Yulia,RUS,167.00,19. 14.00,,9. 37.00,3. 65.00,5. 51.00,2009,boulder,WOMEN
6,7,Balakireva,Alexandra,RUS,165.00,7. 43.00,,1. 100.00,15. 22.00,,2009,boulder,WOMEN
7,8,Chevrier,Anne-Laure,FRA,150.00,8. 40.00,12. 28.00,18. 15.00,14. 24.00,7. 43.00,2009,boulder,WOMEN
8,9,Ansade,Maud,FRA,143.00,25. 5.00,7. 43.00,16. 20.00,4. 55.00,16. 20.00,2009,boulder,WOMEN
9,10,Lind,Angelica,SWE,111.00,,17. 18.00,27. 3.00,7. 43.00,6. 47.00,2009,boulder,WOMEN
10,11,Shalagina,Olga,UKR,105.00,3. 65.00,,8. 40.00,,,2009,boulder,WOMEN
11,12,Le Neve,Melissa,FRA,104.00,11. 31.00,13. 26.00,23. 7.00,21. 9.00,11. 31.00,2009,boulder,WOMEN
12,13,Johannesen,Therese,NOR,102.00,9. 37.00,10. 34.00,,11. 31.00,,2009,boulder,WOMEN
13,14,Markovic,Mina,SLO,101.00,14. 24.00,18. 16.00,29. 1.00,13. 26.00,10. 34.00,2009,boulder,WOMEN
14,15,Puccio,Alex,USA,100.00,,1. 100.00,,,,2009,boulder,WOMEN
15,16,Vidmar,Katja,SLO,96.00,12. 28.00,14. 24.00,17. 18.00,,13. 26.00,2009,boulder,WOMEN
16,17,Saurwein,Katharina,AUT,90.00,16. 20.00,19. 14.00,18. 15.00,10. 34.00,24. 7.00,2009,boulder,WOMEN
17,18,Bacher,Barbara,AUT,84.00,23. 7.00,,12. 28.00,21. 9.00,8. 40.00,2009,boulder,WOMEN
18,19,Avezou,Cecile,FRA,80.00,5. 51.00,,14. 24.00,25. 5.00,,2009,boulder,WOMEN
19,19,Johnson,Alex,USA,80.00,,2. 80.00,,,,2009,boulder,WOMEN
20,21,Lavarda,Jenny,ITA,75.00,,,6. 47.00,12. 28.00,,2009,boulder,WOMEN
21,22,Ernst,Johanna,AUT,74.00,,,10. 34.00,8. 40.00,,2009,boulder,WOMEN
22,23,Gallyamova,Anna,RUS,73.00,,,13. 26.00,6. 47.00,,2009,boulder,WOMEN
23,24,Bibik,Olga,RUS,71.00,,,5. 51.00,16. 20.00,,2009,boulder,WOMEN
24,25,Verdier,Emilie,FRA,64.00,13. 26.00,,15. 22.00,18. 16.00,,2009,boulder,WOMEN
25,26,Chereshneva,Yana,RUS,58.00,,,21. 9.00,20. 12.00,9. 37.00,2009,boulder,WOMEN
26,27,Wurm,Juliane,GER,55.00,,,4. 55.00,,,2009,boulder,WOMEN
27,28,Dufraisse,Alizée,FRA,52.00,6. 47.00,,25. 5.00,,,2009,boulder,WOMEN
