,Rank,Name,Name.1,Nation,Points,WC Daone 01.08.2009,WC Chamonix 12.07.2009,WC Trento 25.04.2009,WC Tarnow 18.04.2009,2009,event,gender
0,1,Ropek,Edyta,POL,360.00,1. 100.00,1. 100.00,2. 80.00,2. 80.00,2009,speed,WOMEN
1,2,Stenkovaya,Anna,RUS,335.00,2. 80.00,4. 55.00,1. 100.00,1. 100.00,2009,speed,WOMEN
2,3,Yurina,Valentina,RUS,219.00,3. 65.00,2. 80.00,11. 31.00,7. 43.00,2009,speed,WOMEN
3,4,Alekseeva,Kseniia,RUS,197.00,10. 34.00,3. 65.00,6. 47.00,5. 51.00,2009,speed,WOMEN
4,5,Gaidamakina,Alina,RUS,162.00,14. 24.00,5. 51.00,8. 40.00,6. 47.00,2009,speed,WOMEN
5,6,Tuzhylina,Svitlana,UKR,150.00,5. 51.00,,10. 34.00,3. 65.00,2009,speed,WOMEN
6,7,Savisko,Anastasiya,UKR,141.00,4. 55.00,14. 24.00,12. 28.00,10. 34.00,2009,speed,WOMEN
7,8,Prokopiuk,Monika,POL,130.00,11. 31.00,6. 47.00,14. 24.00,12. 28.00,2009,speed,WOMEN
8,9,Buczek,Klaudia,POL,129.00,8. 40.00,10. 34.00,,4. 55.00,2009,speed,WOMEN
9,10,BUD Gusaim,Oleksandra,UKR,101.00,6. 47.00,12. 28.00,,13. 26.00,2009,speed,WOMEN
10,11,Ryepko,Olena,UKR,100.00,9. 37.00,,13. 26.00,9. 37.00,2009,speed,WOMEN
11,12,Boyarskikh,Ekaterina,RUS,99.00,,9. 37.00,15. 22.00,8. 40.00,2009,speed,WOMEN
12,13,Morandi,Jessica,ITA,77.00,13. 26.00,11. 31.00,16. 20.00,,2009,speed,WOMEN
13,14,Hrozova,Lucie,CZE,68.00,12. 28.00,8. 40.00,,,2009,speed,WOMEN
14,14,Levochkina,Yuliya,RUS,68.00,,,9. 37.00,11. 31.00,2009,speed,WOMEN
15,16,Li,Chunhua,CHN,65.00,,,3. 65.00,,2009,speed,WOMEN
16,17,Blanco,Lucelia,VEN,63.00,,,7. 43.00,16. 20.00,2009,speed,WOMEN
17,18,He,Cuifang,CHN,55.00,,,4. 55.00,,2009,speed,WOMEN
18,19,He,CuiLian,CHN,51.00,,,5. 51.00,,2009,speed,WOMEN
19,20,Evstigneeva,Olga,RUS,43.00,,7. 43.00,,,2009,speed,WOMEN
20,20,Morandi,Sara,ITA,43.00,7. 43.00,,,,2009,speed,WOMEN
21,22,Rudzinska,Malgorzata,POL,32.00,,,18. 16.00,18. 16.00,2009,speed,WOMEN
22,23,Maneva,Radiana,BUL,28.00,,,19. 14.00,19. 14.00,2009,speed,WOMEN
23,24,Aveline,Morgane,FRA,26.00,,13. 26.00,,,2009,speed,WOMEN
24,25,Wicha,Katarzyna,POL,24.00,,,,14. 24.00,2009,speed,WOMEN
25,26,Miroslaw,Karina,POL,22.00,,,,15. 22.00,2009,speed,WOMEN
26,27,Gislimberti,Anna,ITA,18.00,,,17. 18.00,,2009,speed,WOMEN
27,27,Miroslaw,Katarzyna,POL,18.00,,,,17. 18.00,2009,speed,WOMEN
28,4 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,4 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,4 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,4 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,4 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,4 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,4 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,4 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,4 best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,2009,speed,WOMEN
