,Rank,Name,Name.1,Nation,Points,WC Munich 30.07.2010,WC Sheffield 03.07.2010,WC Eindhoven 25.06.2010,WC Moscow 17.06.2010,WC Vail 04.06.2010,WC Wien 28.05.2010,WC Greifensee 14.05.2010,2010,event,gender
0,1,Ondra,Adam,CZE,515.00,1. 100.00,1. 100.00,4. 55.00,1. 100.00,,2. 80.00,2. 80.00,2010,boulder,MEN
1,2,Fischhuber,Kilian,AUT,450.00,4. 55.00,10. (34.00),3. 65.00,3. 65.00,3. 65.00,1. 100.00,1. 100.00,2010,boulder,MEN
2,3,Hori,Tsukuru,JPN,346.00,5. 51.00,6. 47.00,11. (31.00),2. 80.00,2. 80.00,5. 51.00,9. 37.00,2010,boulder,MEN
3,4,Sharafutdinov,Dmitrii,RUS,278.00,2. 80.00,,1. 100.00,4. 55.00,,,7. 43.00,2010,boulder,MEN
4,5,Gelmanov,Rustam,RUS,243.00,6. 47.00,5. 51.00,6. 47.00,5. 51.00,28. (3.00),11. 31.00,18. 16.00,2010,boulder,MEN
5,6,Watson,Stewart,GBR,227.00,9. 35.00,13. 26.00,7. 43.00,,10. 34.00,4. 55.00,10. 34.00,2010,boulder,MEN
6,7,Glairon Mondet,Guillaume,FRA,218.00,11. 29.00,4. 55.00,16. 20.00,11. 31.00,8. 40.00,7. 43.00,21. (9.00),2010,boulder,MEN
7,8,Rubtsov,Aleksey,RUS,203.00,19. 14.00,15. 22.00,9. 37.00,7. 43.00,,3. 65.00,15. 22.00,2010,boulder,MEN
8,9,Shalagin,Mykhaylo,UKR,196.00,7. 41.00,3. 65.00,15. 22.00,6. 47.00,,29. 1.00,16. 20.00,2010,boulder,MEN
9,10,Becan,Klemen,SLO,173.00,13. 26.00,8. 40.00,17. 18.00,12. 28.00,21. 10.00,25. (5.00),5. 51.00,2010,boulder,MEN
10,11,McColl,Sean,CAN,152.00,21. 9.00,7. 43.00,2. 80.00,,16. 20.00,,,2010,boulder,MEN
11,12,Gaidioz,Loïc,FRA,137.00,14. 24.00,25. (6.00),18. 16.00,14. 23.00,19. 14.00,19. 13.00,6. 47.00,2010,boulder,MEN
12,13,Lachat,Cédric,SUI,135.00,,2. 80.00,,,,,4. 55.00,2010,boulder,MEN
13,14,Danker,Stefan,GER,133.00,11. 29.00,9. 37.00,8. 40.00,,,16. 20.00,23. 7.00,2010,boulder,MEN
14,15,Kruder,Jernej,SLO,131.00,,27. 4.00,21. 9.00,10. 34.00,4. 55.00,13. 24.00,25. 5.00,2010,boulder,MEN
15,16,Müller,Matthias,SUI,126.00,,18. 16.00,20. 12.00,14. 23.00,,6. 47.00,12. 28.00,2010,boulder,MEN
16,17,Jongeneelen,Wouter,NED,120.00,17. 18.00,,13. 26.00,13. 26.00,6. 47.00,,27. 3.00,2010,boulder,MEN
17,18,Barrans,David,GBR,118.00,29. 1.00,28. 3.00,5. 51.00,,15. 22.00,8. 40.00,30. 1.00,2010,boulder,MEN
18,19,Kaiser,Francois,FRA,116.00,,26. 5.00,25. 5.00,8. 38.00,5. 51.00,17. 17.00,,2010,boulder,MEN
19,20,Caleyron,Thomas,FRA,101.00,7. 41.00,29. 2.00,10. 34.00,,,13. 24.00,,2010,boulder,MEN
20,21,Woods,Daniel,USA,100.00,,,,,1. 100.00,,,2010,boulder,MEN
21,22,Ennemoser,Lukas,AUT,92.00,15. 22.00,,,16. 20.00,,9. 37.00,19. 13.00,2010,boulder,MEN
22,23,Moroni,Gabriele,ITA,85.00,,17. 18.00,14. 24.00,,7. 43.00,,,2010,boulder,MEN
23,24,Sommer,Remo,SUI,80.00,29. 1.00,,,8. 38.00,,17. 17.00,14. 24.00,2010,boulder,MEN
24,25,Kozlov,Victor,RUS,74.00,3. 65.00,,,21. 9.00,,,,2010,boulder,MEN
25,26,Core,Christian,ITA,65.00,,,,,,,3. 65.00,2010,boulder,MEN
26,27,Julien,Stephane,FRA,64.00,18. 16.00,,23. 7.00,23. 7.00,,10. 34.00,,2010,boulder,MEN
27,28,Ten Sijthoff,Casper,NED,59.00,,21. 10.00,27. 3.00,17. 18.00,,12. 28.00,,2010,boulder,MEN
28,29,Baumann,Jonas,GER,49.00,,,,,17. 18.00,,11. 31.00,2010,boulder,MEN
29,30,Hoppe,Markus,GER,48.00,9. 35.00,,,,,,19. 13.00,2010,boulder,MEN
30,31,Feehally,Edward,GBR,43.00,16. 20.00,19. 14.00,23. 7.00,,29. 2.00,,,2010,boulder,MEN
31,32,Kryukov,Valeriy,UKR,40.00,,,,,,,8. 40.00,2010,boulder,MEN
32,33,Robinson,Paul,USA,37.00,,,,,9. 37.00,,,2010,boulder,MEN
33,34,Jubes Angarita,Marco Antonio,ESP,31.00,,11. 31.00,,,,,,2010,boulder,MEN
34,34,Midtboe,Magnus,NOR,31.00,,,,,11. 31.00,,,2010,boulder,MEN
35,36,Comina,Fabien,FRA,28.00,,12. 28.00,,,,,,2010,boulder,MEN
36,36,Nieuwenhuijsen,Michiel,NED,28.00,,,12. 28.00,,,,,2010,boulder,MEN
37,36,Sugimoto,Rei,JPN,28.00,,,,,12. 28.00,,,2010,boulder,MEN
38,39,Laurence,Ludovic,FRA,26.00,,,,,,,13. 26.00,2010,boulder,MEN
39,39,Traversi,Carlo,USA,26.00,,,,,13. 26.00,,,2010,boulder,MEN
40,41,Kaurov,Ivan,RUS,25.00,21. 9.00,,,18. 16.00,,,,2010,boulder,MEN
41,41,Rudigier,Max,AUT,25.00,20. 12.00,,,,,19. 13.00,,2010,boulder,MEN
42,43,D'Anastasio,Robert,USA,24.00,,,,,14. 24.00,,,2010,boulder,MEN
43,43,Oleksy,Tomasz,POL,24.00,,,,,,13. 24.00,,2010,boulder,MEN
44,43,Parry,Gareth,GBR,24.00,,14. 24.00,,,,,,2010,boulder,MEN
45,46,Gerland,Bastien,FRA,20.00,,16. 20.00,,,,,,2010,boulder,MEN
46,47,Andersson,Daniel,SWE,19.00,25. 5.00,22. 9.00,25. 5.00,,,,,2010,boulder,MEN
47,47,Heintz,Benoit,FRA,19.00,27. 3.00,,,23. 7.00,,21. 9.00,,2010,boulder,MEN
48,49,Mogaki,Keita,JPN,18.00,,,,,,,17. 18.00,2010,boulder,MEN
49,49,de Leeuw,Nicky,NED,18.00,,,21. 9.00,,24. 6.00,,27. 3.00,2010,boulder,MEN
50,51,Szekely,Gabor,HUN,16.00,,,,,18. 16.00,,,2010,boulder,MEN
51,52,Larcher,Jacopo,ITA,14.00,,,,19. 14.00,,,,2010,boulder,MEN
52,52,Vandeputte,Antoine,FRA,14.00,,,19. 14.00,,,,,2010,boulder,MEN
53,54,Conrad,Mathias,GER,13.00,,30. 1.00,27. 3.00,,,21. 9.00,,2010,boulder,MEN
54,55,Glowka,Jakub,POL,12.00,,20. 12.00,,,,,,2010,boulder,MEN
55,55,Hasegawa,Shinpei,JPN,12.00,,,,,20. 12.00,,,2010,boulder,MEN
56,55,Shaferov,Sergei,BLR,12.00,,,,20. 12.00,,,,2010,boulder,MEN
57,58,Rugens,Rolands,LAT,10.00,,,29. 1.00,21. 9.00,,,,2010,boulder,MEN
58,59,Dugit,Fabien,FRA,9.00,,,,,,,21. 9.00,2010,boulder,MEN
59,59,Nomine,Baptiste,FRA,9.00,,,,,,21. 9.00,,2010,boulder,MEN
60,59,Preti,Lucas,ITA,9.00,,,,,22. 9.00,,,2010,boulder,MEN
61,62,Chernikov,Mikhail,RUS,8.00,,,,27. 3.00,,25. 5.00,,2010,boulder,MEN
62,62,Markert,Adam,USA,8.00,,,,,23. 8.00,,,2010,boulder,MEN
63,62,Partridge,Jonathan,GBR,8.00,,23. 8.00,,,,,,2010,boulder,MEN
64,65,Caminati,Michele,ITA,7.00,23. 7.00,,,,,,,2010,boulder,MEN
65,65,Ghisolfi,Stefano,ITA,7.00,,,,23. 7.00,,,,2010,boulder,MEN
66,65,Hoarau,Didier,FRA,7.00,,,,,,24. 7.00,,2010,boulder,MEN
67,65,Lopata,Kevin,FRA,7.00,,24. 7.00,,,,,,2010,boulder,MEN
68,65,Petrasiunas,Vilimantas,LTU,7.00,23. 7.00,,,,,,,2010,boulder,MEN
69,65,Schubert,Jakob,AUT,7.00,,,,,,,23. 7.00,2010,boulder,MEN
70,71,Hemund,Kevin,SUI,6.00,,,29. 1.00,,,,25. 5.00,2010,boulder,MEN
71,71,Webb-Parsons,Christopher,AUS,6.00,,,,,24. 6.00,,,2010,boulder,MEN
72,73,Lerner,Zach,USA,5.00,25. 5.00,,,,,,,2010,boulder,MEN
73,73,Lopez Mateos,Eric,ESP,5.00,,,,,,25. 5.00,,2010,boulder,MEN
74,73,Olson,Ryan,USA,5.00,,,,,26. 5.00,,,2010,boulder,MEN
75,73,Ter-Minasyan,Arman,RUS,5.00,,,,26. 5.00,,,,2010,boulder,MEN
76,77,Novitskiy,Yury,RUS,4.00,,,,29. 1.00,,28. 3.00,,2010,boulder,MEN
77,77,Sherman Cuevo,Nicolas,COL,4.00,,,,,27. 4.00,,,2010,boulder,MEN
78,79,Amma,Sachi,JPN,3.00,,,,,,,27. 3.00,2010,boulder,MEN
79,79,Bunsch,Piotr,POL,3.00,27. 3.00,,,,,,,2010,boulder,MEN
80,79,Nikolaev,Alexandr,RUS,3.00,,,,27. 3.00,,,,2010,boulder,MEN
81,82,Lechner,Mario,AUT,1.00,,,,,,29. 1.00,,2010,boulder,MEN
82,82,Nikiforovez,Andrei,BLR,1.00,,,,29. 1.00,,,,2010,boulder,MEN
83,82,Owen,Kyle,USA,1.00,,,,,30. 1.00,,,2010,boulder,MEN
84,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,2010,boulder,MEN
