,Rank,Name,Name.1,Nation,Points,WC Kranj 13.11.2010,WC Huaiji 29.10.2010,WC Puurs 24.09.2010,WC Chuncheon 28.08.2010,WC Xining 20.08.2010,Wc Chamonix 12.07.2010,2010,event,gender
0,1,Julian Puigblanque,Ramón,ESP,435.00,1. 100.00,4. 55.00,1. 100.00,2. 80.00,9. (34.00),1. 100.00,2010,lead,MEN
1,2,Schubert,Jakob,AUT,372.00,3. 65.00,1. 100.00,2. 80.00,6. 47.00,2. 80.00,8. (40.00),2010,lead,MEN
2,3,Ondra,Adam,CZE,340.00,2. 80.00,8. 40.00,3. 65.00,4. 55.00,1. 100.00,9. (37.00),2010,lead,MEN
3,4,Usobiaga Lakunza,Patxi,ESP,311.00,26. (5.00),9. 37.00,5. 51.00,1. 100.00,7. 43.00,2. 80.00,2010,lead,MEN
4,5,Amma,Sachi,JPN,261.00,18. (16.00),6. 47.00,7. 43.00,3. 65.00,5. 51.00,4. 55.00,2010,lead,MEN
5,6,Supper,Gautier,FRA,256.00,4. 55.00,10. 34.00,4. 55.00,16. (20.00),3. 65.00,6. 47.00,2010,lead,MEN
6,7,Romain,Manuel,FRA,242.00,7. 43.00,2. 80.00,,10. 34.00,9. 34.00,5. 51.00,2010,lead,MEN
7,8,Lama,David,AUT,232.00,22. (9.00),5. 51.00,6. 47.00,5. 51.00,4. 55.00,12. 28.00,2010,lead,MEN
8,9,Tauporn,Thomas,GER,209.00,5. 51.00,3. 65.00,9. 37.00,15. 22.00,9. 34.00,28. (2.00),2010,lead,MEN
9,10,Verhoeven,Jorg,NED,197.00,6. 47.00,,10. 34.00,11. 31.00,16. 20.00,3. 65.00,2010,lead,MEN
10,11,Desgranges,Romain,FRA,166.00,10. 34.00,14. 24.00,21. (10.00),9. 37.00,12. 28.00,7. 43.00,2010,lead,MEN
11,12,Son,Sangwon,KOR,153.00,16. 20.00,15. 21.00,15. 22.00,7. 43.00,6. 47.00,,2010,lead,MEN
12,13,Chernikov,Mikhail,RUS,135.00,17. 18.00,12. 27.00,17. 18.00,,8. 40.00,10. 32.00,2010,lead,MEN
13,14,Min,Hyunbin,KOR,125.00,13. 26.00,12. 27.00,,8. 40.00,14. 24.00,23. 8.00,2010,lead,MEN
14,15,Matsushima,Akito,JPN,108.00,11. 31.00,7. 43.00,,14. 24.00,,21. 10.00,2010,lead,MEN
15,16,Becan,Klemen,SLO,81.00,8. 40.00,,8. 40.00,,,30. 1.00,2010,lead,MEN
16,17,Kim,Jaha,KOR,62.00,,11. 31.00,13. 26.00,26. 5.00,,,2010,lead,MEN
