,Rank,Name,Name.1,Nation,Points,WC Huaiji 29.10.2010,WC Chuncheon 28.08.2010,WC Xining 20.08.2010,WC Daone 24.07.2010,Wc Chamonix 12.07.2010,WC Moscow 17.06.2010,WC Trento 30.04.2010,2010,event,gender
0,1,Kokorin,Stanislav,RUS,455.00,7. (43.00),4. 55.00,4. 55.00,1. 100.00,3. 65.00,1. 100.00,2. 80.00,2010,speed,MEN
1,2,Vaitsekhovskii,Evgenii,RUS,437.00,3. 65.00,2. 80.00,3. 65.00,6. 47.00,15. (22.00),2. 80.00,1. 100.00,2010,speed,MEN
2,3,Hroza,Libor,CZE,416.00,2. 80.00,3. 65.00,5. 51.00,4. 55.00,1. 100.00,,3. 65.00,2010,speed,MEN
3,4,Sinitcyn,Sergei,RUS,341.00,5. 51.00,6. 47.00,6. 47.00,3. 65.00,2. 80.00,5. 51.00,16. (20.00),2010,speed,MEN
4,5,Zhong,QiXin,CHN,334.00,1. 100.00,1. 100.00,8. 40.00,,6. 47.00,6. 47.00,,2010,speed,MEN
5,6,Abdrakhmanov,Sergey,RUS,279.00,15. 22.00,7. 43.00,1. 100.00,16. 20.00,,7. 43.00,5. 51.00,2010,speed,MEN
6,7,ZHANG,Ning,CHN,207.00,6. 47.00,8. 40.00,7. 43.00,,5. 51.00,13. 26.00,,2010,speed,MEN
7,8,Swirk,Lukasz,POL,200.00,10. 34.00,,,2. 80.00,9. 37.00,29. 2.00,6. 47.00,2010,speed,MEN
8,9,Osipov,Maksym,UKR,181.00,,,,5. 51.00,10. 34.00,3. 65.00,11. 31.00,2010,speed,MEN
9,10,Nigmanov,Zufar,RUS,154.00,9. 37.00,,,15. 22.00,4. 55.00,8. 40.00,,2010,speed,MEN
10,11,Novikov,Ivan,RUS,133.00,,,,14. 24.00,16. 20.00,10. 34.00,4. 55.00,2010,speed,MEN
11,12,Styenkovyy,Maksym,UKR,123.00,,,,8. 40.00,8. 40.00,,7. 43.00,2010,speed,MEN
12,13,Zhang,Yuhang,CHN,120.00,8. 40.00,,2. 80.00,,,,,2010,speed,MEN
13,14,Gál,Máté,HUN,95.00,12. 28.00,16. 20.00,9. 37.00,,,,21. 10.00,2010,speed,MEN
14,15,Nieves,Josmar,VEN,89.00,,,,20. 12.00,,4. 55.00,15. 22.00,2010,speed,MEN
15,16,Escobar,Manuel,VEN,88.00,,,,19. 14.00,,9. 37.00,9. 37.00,2010,speed,MEN
16,17,Komosinski,Jedrzej,POL,87.00,,,,9. 37.00,21. 10.00,,8. 40.00,2010,speed,MEN
17,17,Sirekanyan,Vaginak,RUS,87.00,,,,12. 28.00,7. 43.00,18. 16.00,,2010,speed,MEN
18,19,Ter-Minasyan,Arman,RUS,86.00,,,,10. 34.00,12. 28.00,14. 24.00,,2010,speed,MEN
19,20,Komondi,Csaba,HUN,85.00,,,,,11. 31.00,16. 20.00,10. 34.00,2010,speed,MEN
20,21,Oleksy,Tomasz,POL,83.00,,,,7. 43.00,22. 9.00,11. 31.00,,2010,speed,MEN
21,22,Shevchenko,Arsenii,RUS,67.00,,,,11. 31.00,13. 26.00,21. 10.00,,2010,speed,MEN
22,23,Devyaterikov,Artyom,KAZ,58.00,,5. 51.00,,,,24. 7.00,,2010,speed,MEN
23,24,Mohammadinegad,Mohsen,IRI,55.00,4. 55.00,,,,,,,2010,speed,MEN
24,25,Lai,Chi-Wai,HKG,52.00,17. 18.00,10. 34.00,,,,,,2010,speed,MEN
25,26,Gontero,Leonardo,ITA,50.00,,,,13. 26.00,24. 6.00,,17. 18.00,2010,speed,MEN
26,27,Chae,Sungjoon,KOR,37.00,,9. 37.00,,,,,,2010,speed,MEN
27,28,Kaurov,Ivan,RUS,36.00,,12. 28.00,,,,23. 8.00,,2010,speed,MEN
28,29,Yurko,Oleksiy,UKR,34.00,,,,,24. 6.00,,12. 28.00,2010,speed,MEN
29,30,Ghisolfi,Stefano,ITA,32.00,,,,,23. 8.00,,14. 24.00,2010,speed,MEN
30,31,Seo,Chigon,KOR,31.00,,11. 31.00,,,,,,2010,speed,MEN
31,31,Zhong,Lincai,CHN,31.00,11. 31.00,,,,,,,2010,speed,MEN
32,33,Savelyev,Artem,RUS,28.00,,,,,,12. 28.00,,2010,speed,MEN
33,34,De Las Salas,Leonel,VEN,26.00,,,,,,,13. 26.00,2010,speed,MEN
34,34,Jang,Yongho,KOR,26.00,,13. 26.00,,,,,,2010,speed,MEN
35,34,Toozandehjani,Hamidreza,IRI,26.00,13. 26.00,,,,,,,2010,speed,MEN
36,37,Lai,pingsheng,CHN,24.00,14. 24.00,,,,,,,2010,speed,MEN
37,37,Topal,Yaroslav,UKR,24.00,,,,,14. 24.00,,,2010,speed,MEN
38,37,Yau,Ka-chun,HKG,24.00,,14. 24.00,,,,,,2010,speed,MEN
39,40,Boldyrev,Danyil,UKR,22.00,,,,,,15. 22.00,,2010,speed,MEN
40,40,Tirado,Daniel,COL,22.00,,15. 22.00,,,,,,2010,speed,MEN
41,42,Sheikhbahaei,Omid,IRI,20.00,16. 20.00,,,,,,,2010,speed,MEN
42,43,Pociecha,Jakub,POL,19.00,,,,,28. 3.00,,18. 16.00,2010,speed,MEN
43,44,Boulbahaiem,Salah,BEL,18.00,,,,21. 10.00,,,22. 8.00,2010,speed,MEN
44,44,Halasa,Rafal,POL,18.00,,,,,17. 18.00,,,2010,speed,MEN
45,44,Kosterin,Alexander,RUS,18.00,,,,,,17. 18.00,,2010,speed,MEN
46,44,Sirotti,Michel,ITA,18.00,,,,17. 18.00,,,,2010,speed,MEN
47,48,Suolang,Jiacuo,CHN,17.00,19. 14.00,,,,,28. 3.00,,2010,speed,MEN
48,49,LE COUSTER,Yoann,FRA,16.00,,,,,18. 16.00,,,2010,speed,MEN
49,49,Qu,HaiBin,CHN,16.00,18. 16.00,,,,,,,2010,speed,MEN
