,Rank,Name,Name.1,Nation,Points,1252,1249,1257,1262,1247,1248,1258,2010,event,gender,athlete_id
0,1,Noguchi,Akiyo,JPN,455.00,1. 100.00,3. 65.00,4. 55.00,4. 55.00,7. (43.00),1. 100.00,2. 80.00,2010,boulder,WOMEN,6326
1,2,Stöhr,Anna,AUT,448.00,2. 80.00,9. 37.00,1. 100.00,1. 100.00,2. 80.00,5. 51.00,9. (37.00),2010,boulder,WOMEN,5630
2,3,Graftiaux,Chloé,BEL,426.00,13. 26.00,1. 100.00,14. (24.00),2. 80.00,1. 100.00,4. 55.00,3. 65.00,2010,boulder,WOMEN,5259
3,4,Johnson,Alex,USA,341.00,14. (24.00),2. 80.00,9. 37.00,13. 26.00,5. 51.00,6. 47.00,1. 100.00,2010,boulder,WOMEN,6325
4,5,Wurm,Juliane,GER,299.00,7. 43.00,5. 51.00,2. 80.00,15. (22.00),3. 65.00,10. 34.00,13. 26.00,2010,boulder,WOMEN,6064
5,6,Gros,Natalija,SLO,278.00,4. 55.00,4. 55.00,5. 51.00,14. (24.00),10. 34.00,7. 43.00,8. 40.00,2010,boulder,WOMEN,2755
6,7,Le Neve,Melissa,FRA,237.00,,11. 31.00,3. 65.00,7. 43.00,9. 37.00,9. 37.00,14. 24.00,2010,boulder,WOMEN,9074
7,8,Abramchuk,Yulia,RUS,207.00,6. 47.00,6. 47.00,24. 7.00,5. 51.00,,14. 24.00,11. 31.00,2010,boulder,WOMEN,2736
8,9,Avezou,Cecile,FRA,198.00,17. 18.00,8. 40.00,23. (8.00),11. 31.00,13. 26.00,11. 28.00,4. 55.00,2010,boulder,WOMEN,1055
9,10,Lavarda,Jenny,ITA,193.00,8. 40.00,7. 43.00,6. 47.00,19. 14.00,8. 40.00,30. (1.00),21. 9.00,2010,boulder,WOMEN,1179
10,11,Markovic,Mina,SLO,189.00,5. 51.00,13. 26.00,21. 9.00,12. 28.00,,11. 28.00,6. 47.00,2010,boulder,WOMEN,5169
11,12,KIM,Jain,KOR,170.00,,,8. 40.00,3. 65.00,,3. 65.00,,2010,boulder,WOMEN,5983
12,13,Ansade,Maud,FRA,166.00,26. 5.00,10. 34.00,12. 28.00,25. (5.00),6. 47.00,17. 18.00,10. 34.00,2010,boulder,WOMEN,6082
13,14,Saurwein,Katharina,AUT,156.00,9. 37.00,21. 10.00,11. 31.00,16. 20.00,24. (6.00),23. 7.00,5. 51.00,2010,boulder,WOMEN,5244
14,15,Chevrier,Anne-Laure,FRA,141.00,12. 28.00,22. 9.00,7. 43.00,18. 16.00,11. 31.00,27. (3.00),19. 14.00,2010,boulder,WOMEN,5636
15,16,Balakireva,Alexandra,RUS,137.00,16. 20.00,23. 7.00,10. 34.00,8. 40.00,,18. 16.00,16. 20.00,2010,boulder,WOMEN,3315
16,17,Bibik,Olga,RUS,125.00,,,13. 26.00,9. 37.00,,8. 40.00,15. 22.00,2010,boulder,WOMEN,1308
17,18,Shalagina,Olga,UKR,105.00,,,,10. 34.00,,11. 28.00,7. 43.00,2010,boulder,WOMEN,3268
18,19,Gallyamova,Anna,RUS,97.00,3. 65.00,,,25. 5.00,,15. 22.00,25. 5.00,2010,boulder,WOMEN,5146
19,20,Oda,Momoka,JPN,80.00,,,,,,2. 80.00,,2010,boulder,WOMEN,9097
20,21,Bacher,Sabine,AUT,69.00,22. 9.00,16. 20.00,30. (1.00),25. 5.00,16. 20.00,27. 3.00,20. 12.00,2010,boulder,WOMEN,2821
21,22,Sandoz,Mélanie,FRA,62.00,15. 22.00,,25. 6.00,21. 10.00,14. 24.00,,,2010,boulder,WOMEN,6220
22,23,Kaiser,Clementine,FRA,56.00,18. 16.00,19. 14.00,20. 12.00,,,25. 5.00,21. 9.00,2010,boulder,WOMEN,9549
23,24,Puccio,Alex,USA,55.00,,,,,4. 55.00,,,2010,boulder,WOMEN,7286
24,24,Zijlstra,Vera,NED,55.00,29. 2.00,29. 2.00,16. 20.00,17. 18.00,21. 10.00,27. 3.00,,2010,boulder,WOMEN,5641
25,26,Chereshneva,Yana,RUS,47.00,,,,6. 47.00,,,,2010,boulder,WOMEN,6324
26,26,Klingler,Petra,SUI,47.00,11. 31.00,25. 5.00,,29. 2.00,,22. 9.00,,2010,boulder,WOMEN,6367
27,28,Ernst,Johanna,AUT,45.00,,,,,20. 12.00,25. 5.00,12. 28.00,2010,boulder,WOMEN,7563
28,29,Bacher,Barbara,AUT,42.00,,15. 22.00,17. 18.00,,,,27. 2.00,2010,boulder,WOMEN,1030
29,29,Eyer,Alexandra,SUI,42.00,,,,24. 7.00,19. 14.00,19. 14.00,23. 7.00,2010,boulder,WOMEN,991
30,29,Midtboe,Hannah,NOR,42.00,21. 10.00,17. 18.00,19. 14.00,,,,,2010,boulder,WOMEN,6522
31,29,Vidmar,Katja,SLO,42.00,,,,23. 8.00,15. 22.00,20. 12.00,,2010,boulder,WOMEN,3137
32,33,Leslie-Wujastyk,Mina,GBR,37.00,27. 4.00,12. 28.00,,,,,25. 5.00,2010,boulder,WOMEN,9221
33,34,Merrick,Diane,GBR,36.00,,20. 12.00,15. 22.00,,,,27. 2.00,2010,boulder,WOMEN,8759
34,35,Berry,Samantha,AUS,34.00,,,,,24. 6.00,21. 10.00,17. 18.00,2010,boulder,WOMEN,6169
35,35,Ladurner,Alexandra,ITA,34.00,10. 34.00,,,,,,,2010,boulder,WOMEN,7637
36,37,Metcalf,Francesca,USA,28.00,,,,,12. 28.00,,,2010,boulder,WOMEN,8212
37,38,Coxsey,Shauna,GBR,24.00,,14. 24.00,,,,,,2010,boulder,WOMEN,8247
38,39,Carpenter,Thirza,CAN,20.00,,,,,,16. 20.00,,2010,boulder,WOMEN,5841
39,40,Fakhritdinova,Dinara,RUS,19.00,,,,20. 12.00,,23. 7.00,,2010,boulder,WOMEN,7576
40,41,Gawrych,Audrey,USA,18.00,,,,,17. 18.00,,,2010,boulder,WOMEN,6878
41,42,Blair-Coyle,Sierra,USA,16.00,,,,,18. 16.00,,,2010,boulder,WOMEN,8256
42,42,Crane,Leah,GBR,16.00,,18. 16.00,,,,,,2010,boulder,WOMEN,6849
43,42,Dufraisse,Alizée,FRA,16.00,,,,,,,18. 16.00,2010,boulder,WOMEN,6219
44,42,Nilwik,Rachel,NED,16.00,,,18. 16.00,,,,,2010,boulder,WOMEN,5251
45,46,Chapet,Manon,FRA,14.00,30. 1.00,27. 3.00,28. 3.00,,,,23. 7.00,2010,boulder,WOMEN,9220
46,46,Rajfova,Silvie,CZE,14.00,19. 14.00,,,,,,,2010,boulder,WOMEN,6075
47,48,Modrzejewska,Agata,POL,12.00,20. 12.00,,,,,,,2010,boulder,WOMEN,6677
48,49,Stotz,Rebekka,SUI,11.00,,,21. 9.00,,,,27. 2.00,2010,boulder,WOMEN,8878
49,50,Hayen,Magali,BEL,10.00,,27. 3.00,26. 4.00,30. 1.00,,,27. 2.00,2010,boulder,WOMEN,9010
50,51,Titova,Natalia,RUS,9.00,,,,22. 9.00,,,,2010,boulder,WOMEN,1304
51,52,Jenerik,Cicada,USA,8.00,,,,,22. 8.00,,,2010,boulder,WOMEN,9178
52,52,Kiersch,Michaela,USA,8.00,,,,,22. 8.00,,,2010,boulder,WOMEN,9180
53,52,Schützenberger,Sarah,GER,8.00,23. 8.00,,,,,,,2010,boulder,WOMEN,9057
54,55,Dzhambazova,Ina,BUL,7.00,24. 7.00,,,,,,,2010,boulder,WOMEN,2737
55,55,Piddock,Katy,GBR,7.00,,23. 7.00,,,,,,2010,boulder,WOMEN,9913
56,55,Schwab,Tabea,SUI,7.00,28. 3.00,,26. 4.00,,,,,2010,boulder,WOMEN,3885
57,58,Brady,Katrin,GER,6.00,25. 6.00,,,,,,,2010,boulder,WOMEN,1764
58,58,Weldon,Stacey,CAN,6.00,,,,,24. 6.00,,,2010,boulder,WOMEN,3317
59,60,Sarkany,Muriel,BEL,5.00,,25. 5.00,,,,,,2010,boulder,WOMEN,1272
60,61,Cox,Chauncenia,USA,4.00,,,,,27. 4.00,,,2010,boulder,WOMEN,7931
61,62,Berezowski,Amanda,CAN,3.00,,,,,28. 3.00,,,2010,boulder,WOMEN,6281
62,62,Morozkina,Olga,RUS,3.00,,,,28. 3.00,,,,2010,boulder,WOMEN,7114
63,64,PAN,Xuhua,CHN,2.00,,,,,29. 2.00,,,2010,boulder,WOMEN,8787
64,64,Verhage,Marianne,NED,2.00,,,29. 2.00,,,,,2010,boulder,WOMEN,9489
65,66,Hagiwara,Asaki,JPN,1.00,,,,,30. 1.00,,,2010,boulder,WOMEN,7487
66,66,Haldenby,Helen,GBR,1.00,,30. 1.00,,,,,,2010,boulder,WOMEN,9455
