,Rank,Name,Name.1,Nation,Points,1245,1264,1244,1246,1263,1261,2010,event,gender,athlete_id
0,1,KIM,Jain,KOR,500.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,,2010,lead,WOMEN,5983
1,2,Markovic,Mina,SLO,301.00,2. 80.00,2. 80.00,4. 55.00,7. 43.00,7. 43.00,10. (28.00),2010,lead,WOMEN,5169
2,3,Eiter,Angela,AUT,291.00,4. 55.00,5. 51.00,3. 65.00,3. 65.00,4. 55.00,5. (51.00),2010,lead,WOMEN,3487
3,4,Gros,Natalija,SLO,244.00,6. 47.00,3. 65.00,12. 28.00,4. 55.00,5. 49.00,10. (28.00),2010,lead,WOMEN,2755
4,5,Ciavaldini,Caroline,FRA,228.00,10. 34.00,10. 34.00,11. 31.00,2. 80.00,5. 49.00,10. (28.00),2010,lead,WOMEN,5183
5,6,Durif,Charlotte,FRA,221.00,20. (12.00),6. 47.00,15. 22.00,13. 26.00,12. 26.00,1. 100.00,2010,lead,WOMEN,6513
6,7,Vidmar,Maja,SLO,217.00,7. 43.00,17. (18.00),7. 43.00,8. 40.00,12. 26.00,3. 65.00,2010,lead,WOMEN,3482
7,8,Janicot,Hélène,FRA,202.00,11. 31.00,12. 28.00,13. 26.00,16. (20.00),9. 37.00,2. 80.00,2010,lead,WOMEN,9077
8,8,Noguchi,Akiyo,JPN,202.00,3. 65.00,9. 37.00,,9. 35.00,3. 65.00,,2010,lead,WOMEN,6326
9,10,Kobayashi,Yuka,JPN,199.00,8. 40.00,4. 55.00,18. 15.00,22. 9.00,2. 80.00,,2010,lead,WOMEN,5254
10,11,Posch,Katharina,AUT,162.00,5. 51.00,7. 43.00,6. 47.00,,,15. 21.00,2010,lead,WOMEN,8896
11,12,Dufraisse,Alizée,FRA,157.00,18. 16.00,,5. 51.00,14. 24.00,12. 26.00,8. 40.00,2010,lead,WOMEN,6219
12,12,Oda,Momoka,JPN,157.00,17. 18.00,13. 26.00,,9. 35.00,11. 31.00,6. 47.00,2010,lead,WOMEN,9097
13,14,Eyer,Alexandra,SUI,154.00,24. 7.00,,14. 24.00,12. 28.00,8. 40.00,4. 55.00,2010,lead,WOMEN,991
14,15,Brumagne,Mathilde,BEL,153.00,12. 28.00,8. 40.00,2. 80.00,,,24. 5.00,2010,lead,WOMEN,6076
15,16,Chereshneva,Yana,RUS,150.00,13. 26.00,14. 24.00,9. 37.00,5. 51.00,,20. 12.00,2010,lead,WOMEN,6324
16,17,Bacher,Barbara,AUT,128.00,19. 14.00,11. 31.00,8. 40.00,15. 22.00,15. 21.00,24. (5.00),2010,lead,WOMEN,1030
17,18,Schranz,Christine,AUT,120.00,25. (6.00),15. 22.00,17. 18.00,11. 31.00,15. 21.00,10. 28.00,2010,lead,WOMEN,5629
18,19,Malamid,Evgeniia,RUS,108.00,15. 21.00,16. 20.00,10. 34.00,,20. 12.00,15. 21.00,2010,lead,WOMEN,5147
19,20,Sarkany,Muriel,BEL,98.00,,,,6. 47.00,10. 34.00,17. 17.00,2010,lead,WOMEN,1272
20,21,Fakhritdinova,Dinara,RUS,65.00,9. 37.00,,,,,10. 28.00,2010,lead,WOMEN,7576
21,22,Avoscan,Sara,ITA,50.00,29. 1.00,,20. 12.00,,,9. 37.00,2010,lead,WOMEN,8781
