,Rank,Name,Name.1,Nation,Points,1264,1246,1263,1253,1261,1262,1254,2010,event,gender,athlete_id
0,1,Levochkina,Yuliya,RUS,461.00,5. 51.00,4. 55.00,1. 100.00,5. (51.00),4. 55.00,1. 100.00,1. 100.00,2010,speed,WOMEN,9133
1,2,Alekseeva,Kseniia,RUS,460.00,3. 65.00,2. 80.00,2. 80.00,,1. 100.00,4. 55.00,2. 80.00,2010,speed,WOMEN,5149
2,3,Ropek,Edyta,POL,451.00,1. 100.00,5. 51.00,4. 55.00,1. 100.00,2. 80.00,16. (20.00),3. 65.00,2010,speed,WOMEN,3547
3,4,He,CuiLian,CHN,338.00,2. 80.00,1. 100.00,3. 65.00,,3. 65.00,12. 28.00,,2010,speed,WOMEN,8419
4,5,PAN,Xuhua,CHN,218.00,4. 55.00,3. 65.00,5. 51.00,,6. 47.00,,,2010,speed,WOMEN,8787
5,6,Evstigneeva,Olga,RUS,204.00,,,7. 43.00,,13. 26.00,2. 80.00,4. 55.00,2010,speed,WOMEN,5144
6,7,Gaidamakina,Alina,RUS,173.00,,6. 47.00,,4. 55.00,9. 37.00,10. 34.00,,2010,speed,WOMEN,7234
7,8,Ryepko,Olena,UKR,169.00,,,,3. 65.00,11. 31.00,6. 47.00,13. 26.00,2010,speed,WOMEN,1105
8,9,Morandi,Sara,ITA,157.00,,,,2. 80.00,17. 18.00,18. 16.00,7. 43.00,2010,speed,WOMEN,6137
9,10,Blanco,Lucelia,VEN,140.00,,,,14. 24.00,19. 14.00,5. 51.00,5. 51.00,2010,speed,WOMEN,7120
10,11,Prokopiuk,Monika,POL,119.00,,,,12. 28.00,5. 51.00,17. 18.00,15. 22.00,2010,speed,WOMEN,7801
11,12,Savisko,Anastasiya,UKR,115.00,,,,6. 47.00,16. 20.00,19. 14.00,10. 34.00,2010,speed,WOMEN,7273
12,13,Krasavina,Mariia,RUS,107.00,,,,9. 37.00,26. 5.00,3. 65.00,,2010,speed,WOMEN,9281
13,13,Sheremetyeva,Olena,UKR,107.00,,,,,14. 24.00,7. 43.00,8. 40.00,2010,speed,WOMEN,5854
14,15,Polekhina,Kseniya,RUS,100.00,,,,11. 31.00,7. 43.00,13. 26.00,,2010,speed,WOMEN,7235
15,16,Boyarskikh,Ekaterina,RUS,99.00,,,,,12. 28.00,14. 24.00,6. 47.00,2010,speed,WOMEN,9283
16,17,BUD Gusaim,Oleksandra,UKR,96.00,,,,7. 43.00,18. 16.00,,9. 37.00,2010,speed,WOMEN,6704
17,18,wang,yang,CHN,87.00,6. 47.00,,8. 40.00,,,,,2010,speed,WOMEN,10103
18,19,RENQING,LaMu,CHN,80.00,7. 43.00,,9. 37.00,,,,,2010,speed,WOMEN,9191
19,20,Titova,Natalia,RUS,74.00,,,,,10. 34.00,8. 40.00,,2010,speed,WOMEN,1304
20,21,Li,Chunhua,CHN,47.00,,,6. 47.00,,,,,2010,speed,WOMEN,4962
21,22,Miroslaw,Karina,POL,46.00,,,,,15. 22.00,,14. 24.00,2010,speed,WOMEN,8512
22,23,Buczek,Klaudia,POL,43.00,,,,8. 40.00,28. 3.00,,,2010,speed,WOMEN,9238
23,24,Choi,Youngsook,KOR,41.00,,7. 41.00,,,,,,2010,speed,WOMEN,10112
24,24,Kim,Younghee,KOR,41.00,,7. 41.00,,,,,,2010,speed,WOMEN,5329
25,24,Yurina,Valentina,RUS,41.00,,,,10. 34.00,24. 7.00,,,2010,speed,WOMEN,3316
26,27,Kolokovska,Anna,UKR,40.00,,,,,,20. 12.00,12. 28.00,2010,speed,WOMEN,9875
27,27,Miroslaw,Aleksandra,POL,40.00,,,,,8. 40.00,,,2010,speed,WOMEN,9493
28,29,Mylnikova,Anna,RUS,37.00,,,,,,9. 37.00,,2010,speed,WOMEN,8871
29,30,yang,weiling,CHN,34.00,,,10. 34.00,,,,,2010,speed,WOMEN,10104
30,31,Fakhritdinova,Dinara,RUS,31.00,,,,,,11. 31.00,,2010,speed,WOMEN,7576
31,31,Guan,Xiaotong,CHN,31.00,,,11. 31.00,,,,,2010,speed,WOMEN,7317
32,31,Morandi,Jessica,ITA,31.00,,,,,,,11. 31.00,2010,speed,WOMEN,7954
33,34,RenZeng,WangMu,CHN,28.00,,,12. 28.00,,,,,2010,speed,WOMEN,10089
34,35,Rodriguez,Francis,VEN,26.00,,,,13. 26.00,,,,2010,speed,WOMEN,6228
35,35,gesang,wangmu,CHN,26.00,,,13. 26.00,,,,,2010,speed,WOMEN,10102
36,37,Morozkina,Olga,RUS,22.00,,,,,,15. 22.00,,2010,speed,WOMEN,7114
37,38,Heitz,Margot,FRA,12.00,,,,,20. 12.00,,,2010,speed,WOMEN,8293
38,39,Hayen,Magali,BEL,10.00,,,,,,21. 10.00,,2010,speed,WOMEN,9010
39,39,Michelard,Julie,FRA,10.00,,,,,21. 10.00,,,2010,speed,WOMEN,7671
40,41,Da Silva Tortosa,Marie,FRA,9.00,,,,,22. 9.00,,,2010,speed,WOMEN,10044
41,42,Bonnacorsi,Adeline,FRA,8.00,,,,,23. 8.00,,,2010,speed,WOMEN,9768
42,43,Bruckner,Esther,FRA,6.00,,,,,25. 6.00,,,2010,speed,WOMEN,9530
43,44,Rudzinska,Malgorzata,POL,4.00,,,,,27. 4.00,,,2010,speed,WOMEN,7803
