,Rank,Name,Name.1,Nation,Points,Munich 19.08.2011,Sheffield 02.07.2011,Barcelona 25.06.2011,Eindhoven 17.06.2011,Vail 03.06.2011,Canmore 27.05.2011,Vienna 13.05.2011,Log-Dragomer 07.05.2011,Milano 14.04.2011,2011,event,gender
0,1,Fischhuber,Kilian,AUT,600.00,6. 47.00,1. 100.00,5. 51.00,1. 100.00,1. 100.00,9. 37.00,23. (7.00),3. 65.00,1. 100.00,2011,boulder,MEN
1,2,Sharafutdinov,Dmitrii,RUS,531.00,1. 100.00,,3. 65.00,4. 55.00,2. 80.00,,1. 100.00,2. 80.00,5. 51.00,2011,boulder,MEN
2,3,Glairon Mondet,Guillaume,FRA,423.00,14. 24.00,18. 16.00,1. 100.00,7. 43.00,5. 51.00,10. 34.00,17. (16.00),1. 100.00,4. 55.00,2011,boulder,MEN
3,4,Hori,Tsukuru,JPN,348.00,7. 43.00,24. 7.00,7. 43.00,12. 28.00,8. 40.00,1. 100.00,,8. 40.00,6. 47.00,2011,boulder,MEN
4,5,Rubtsov,Aleksey,RUS,338.00,3. 65.00,3. 65.00,4. 55.00,10. 34.00,,,12. 28.00,5. 51.00,8. 40.00,2011,boulder,MEN
5,6,Gelmanov,Rustam,RUS,329.00,2. 80.00,,2. 80.00,18. 15.00,10. 34.00,,6. 47.00,23. 8.00,3. 65.00,2011,boulder,MEN
6,7,Becan,Klemen,SLO,323.00,4. 55.00,10. 32.00,25. (5.00),23. 7.00,25. 6.00,2. 80.00,2. 80.00,13. 26.00,9. 37.00,2011,boulder,MEN
7,8,Gaidioz,Loïc,FRA,260.00,17. 17.00,27. (3.00),16. 20.00,17. 18.00,16. 20.00,7. 43.00,4. 53.00,4. 55.00,10. 34.00,2011,boulder,MEN
8,9,Woods,Daniel,USA,218.00,13. 26.00,4. 55.00,13. 26.00,2. 80.00,11. 31.00,,,,,2011,boulder,MEN
9,10,Ennemoser,Lukas,AUT,204.00,27. 3.00,21. 9.00,6. 47.00,9. 37.00,,,3. 65.00,7. 43.00,,2011,boulder,MEN
10,11,Caleyron,Thomas,FRA,202.00,,5. 51.00,8. 40.00,5. 51.00,,,8. 40.00,,16. 20.00,2011,boulder,MEN
11,12,Baumann,Jonas,GER,190.00,15. 21.00,20. 12.00,17. 18.00,,3. 65.00,11. 31.00,,10. 34.00,21. 9.00,2011,boulder,MEN
12,13,McColl,Sean,CAN,189.00,19. 14.00,16. 20.00,9. 37.00,11. 31.00,15. 22.00,3. 65.00,,,,2011,boulder,MEN
13,14,Kaiser,Francois,FRA,170.00,12. 28.00,,10. 34.00,3. 65.00,,,27. 3.00,11. 31.00,21. 9.00,2011,boulder,MEN
14,15,de Leeuw,Nicky,NED,169.00,9. 37.00,6. 47.00,18. 16.00,15. 22.00,13. 26.00,17. 18.00,27. 3.00,,,2011,boulder,MEN
15,16,Lachat,Cédric,SUI,143.00,,2. 80.00,,8. 40.00,,,14. 23.00,,,2011,boulder,MEN
16,17,Watson,Stewart,GBR,142.00,17. 17.00,12. 28.00,14. 23.00,14. 24.00,,,29. 1.00,9. 37.00,20. 12.00,2011,boulder,MEN
17,18,Danker,Stefan,GER,138.00,27. 3.00,19. 14.00,23. 7.00,16. 20.00,18. 16.00,4. 55.00,25. 5.00,17. 18.00,,2011,boulder,MEN
18,19,Schubert,Jakob,AUT,117.00,,,,,,,9. 37.00,,2. 80.00,2011,boulder,MEN
19,20,Ten Sijthoff,Casper,NED,109.00,,,27. 3.00,,20. 12.00,8. 40.00,10. 34.00,16. 20.00,,2011,boulder,MEN
20,21,Kruder,Jernej,SLO,107.00,,27. 3.00,21. 9.00,27. 2.00,23. 8.00,21. 10.00,4. 53.00,15. 22.00,,2011,boulder,MEN
21,22,Jongeneelen,Wouter,NED,98.00,,,,21. 9.00,,6. 47.00,13. 26.00,30. 1.00,18. 15.00,2011,boulder,MEN
22,22,Webb-Parsons,Christopher,AUS,98.00,23. 6.00,25. 5.00,,18. 15.00,6. 47.00,15. 22.00,,28. 3.00,,2011,boulder,MEN
23,24,Shimizu,Atsushi,JPN,94.00,,,,,7. 43.00,5. 51.00,,,,2011,boulder,MEN
24,25,Comina,Fabien,FRA,91.00,,,,,,16. 20.00,,6. 47.00,14. 24.00,2011,boulder,MEN
25,26,Conrad,Mathias,GER,89.00,20. 11.00,7. 40.00,19. 14.00,,,24. 7.00,20. 12.00,,25. 5.00,2011,boulder,MEN
26,27,Shalagin,Mykhaylo,UKR,81.00,5. 51.00,,,,,,,29. 2.00,12. 28.00,2011,boulder,MEN
27,28,Sugimoto,Rei,JPN,79.00,,,,,4. 55.00,14. 24.00,,,,2011,boulder,MEN
28,29,Sanchez González,Ignacio,ESP,77.00,,25. 5.00,14. 23.00,,,,14. 23.00,,13. 26.00,2011,boulder,MEN
