,Rank,Name,Name.1,Nation,Points,Changzhi 07.09.2011,Xining 02.09.2011,Daone 06.08.2011,Chamonix 12.07.2011,Milano 14.04.2011,2011,event,gender
0,1,Swirk,Lukasz,POL,317.00,5. 51.00,2. 80.00,2. 80.00,5. 51.00,4. 55.00,2011,speed,MEN
1,2,Sinitcyn,Sergei,RUS,312.00,4. 55.00,4. 55.00,6. 47.00,4. 55.00,1. 100.00,2011,speed,MEN
2,3,Abdrakhmanov,Sergey,RUS,298.00,3. 65.00,8. 40.00,3. 65.00,1. 100.00,12. 28.00,2011,speed,MEN
3,4,Vaitsekhovskii,Evgenii,RUS,268.00,1. 100.00,9. 37.00,5. 51.00,,2. 80.00,2011,speed,MEN
4,5,Hroza,Libor,CZE,266.00,9. 37.00,6. 47.00,9. 37.00,2. 80.00,3. 65.00,2011,speed,MEN
5,6,Kokorin,Stanislav,RUS,228.00,16. 20.00,12. 28.00,1. 100.00,8. 40.00,8. 40.00,2011,speed,MEN
6,7,Komosinski,Jedrzej,POL,197.00,8. 40.00,5. 51.00,4. 55.00,,5. 51.00,2011,speed,MEN
7,8,Nigmanov,Zufar,RUS,165.00,17. 18.00,16. 20.00,7. 43.00,9. 37.00,6. 47.00,2011,speed,MEN
8,8,Zhong,QiXin,CHN,165.00,,1. 100.00,,3. 65.00,,2011,speed,MEN
9,10,Shevchenko,Arsenii,RUS,151.00,11. 31.00,7. 43.00,8. 40.00,,9. 37.00,2011,speed,MEN
10,11,Galar,Pandu Asmoro,INA,145.00,2. 80.00,3. 65.00,,,,2011,speed,MEN
11,12,Abudzar,Yulianto,INA,78.00,6. 47.00,11. 31.00,,,,2011,speed,MEN
12,13,Novikov,Ivan,RUS,73.00,,,,6. 47.00,13. 26.00,2011,speed,MEN
13,14,Astashkin,Evgeny,RUS,67.00,7. 43.00,14. 24.00,,,,2011,speed,MEN
14,15,Gontaryk,Yaroslav,UKR,65.00,,,,7. 43.00,15. 22.00,2011,speed,MEN
15,16,Bokanov,Sayat,KAZ,62.00,,,,11. 31.00,11. 31.00,2011,speed,MEN
16,17,Mamiri,Tonny,INA,60.00,13. 26.00,10. 34.00,,,,2011,speed,MEN
17,17,ZHANG,Ning,CHN,60.00,10. 34.00,13. 26.00,,,,2011,speed,MEN
18,19,Molchanov,Alexey,KAZ,52.00,12. 28.00,,,27. 4.00,16. 20.00,2011,speed,MEN
19,20,Nigmatulin,Alexandr,KAZ,44.00,,,,30. 1.00,7. 43.00,2011,speed,MEN
20,20,Styenkovyy,Maksym,UKR,44.00,,,,21. 10.00,10. 34.00,2011,speed,MEN
21,20,Zhong,Lincai,CHN,44.00,15. 22.00,15. 22.00,,,,2011,speed,MEN
22,23,Gontero,Leonardo,ITA,43.00,,,,16. 19.00,14. 24.00,2011,speed,MEN
23,23,Sirotti,Michel,ITA,43.00,,,13. 26.00,,17. 17.00,2011,speed,MEN
24,25,Sirotti,Gianluca,ITA,40.00,,,10. 34.00,,24. 6.00,2011,speed,MEN
25,25,Tzeng,Jiun-Jie,TPE,40.00,14. 24.00,18. 16.00,,,,2011,speed,MEN
26,27,Vedenchuk,Viacheslav,RUS,36.00,,,,15. 22.00,19. 14.00,2011,speed,MEN
27,28,Bosler,Fabian,GER,34.00,,,14. 24.00,,21. 10.00,2011,speed,MEN
28,28,Payl,Konstantin,RUS,34.00,,,,10. 34.00,,2011,speed,MEN
29,30,Podchesov,Kostiantyn,UKR,31.00,,,11. 31.00,,,2011,speed,MEN
30,31,Porscha,Maximilian,GER,30.00,,,15. 22.00,,23. 8.00,2011,speed,MEN
31,32,Boldyrev,Danyil,UKR,28.00,,,,12. 28.00,,2011,speed,MEN
32,32,Sikora,Paweł,POL,28.00,,,12. 28.00,,,2011,speed,MEN
33,34,Dzienski,Marcin,POL,26.00,,,,13. 26.00,,2011,speed,MEN
34,35,Yurko,Oleksiy,UKR,24.00,,,,14. 24.00,,2011,speed,MEN
35,36,Estevez,Isaac,ECU,19.00,,,,16. 19.00,,2011,speed,MEN
36,37,Suolang,Jiacuo,CHN,18.00,,17. 18.00,,,,2011,speed,MEN
37,38,Ghisolfi,Stefano,ITA,17.00,,,,,17. 17.00,2011,speed,MEN
38,39,Lai,Chi-Wai,HKG,16.00,18. 16.00,,,,,2011,speed,MEN
39,39,Osipov,Maksym,UKR,16.00,,,,18. 16.00,,2011,speed,MEN
40,41,Gál,Máté,HUN,15.00,,,,19. 13.00,29. 2.00,2011,speed,MEN
41,42,Chen,Ruizhi,CHN,14.00,19. 14.00,,,,,2011,speed,MEN
42,42,Ma,ZiDa,CHN,14.00,,19. 14.00,,,,2011,speed,MEN
43,44,Kytaiko,Andrii,UKR,13.00,,,,19. 13.00,,2011,speed,MEN
