,Rank,Name,Name.1,Nation,Points,Munich 19.08.2011,Sheffield 02.07.2011,Barcelona 25.06.2011,Eindhoven 17.06.2011,Vail 03.06.2011,Canmore 27.05.2011,Vienna 13.05.2011,Log-Dragomer 07.05.2011,Milano 14.04.2011,2011,event,gender
0,1,Stöhr,Anna,AUT,652.00,3. 65.00,6. 47.00,6. (47.00),2. 80.00,1. 100.00,2. 80.00,1. 100.00,1. 100.00,2. 80.00,2011,boulder,WOMEN
1,2,Noguchi,Akiyo,JPN,633.00,6. 47.00,1. 100.00,1. 100.00,1. 100.00,5. 51.00,1. 100.00,7. (43.00),2. 80.00,4. 55.00,2011,boulder,WOMEN
2,3,Puccio,Alex,USA,502.00,8. 38.00,3. 65.00,2. 80.00,10. (34.00),2. 80.00,6. 47.00,2. 80.00,3. 65.00,6. 47.00,2011,boulder,WOMEN
3,4,Le Neve,Melissa,FRA,427.00,,2. 80.00,3. 65.00,3. 65.00,3. 65.00,8. 40.00,23. 7.00,8. 40.00,3. 65.00,2011,boulder,WOMEN
4,5,Markovic,Mina,SLO,385.00,1. 100.00,,4. 55.00,7. 43.00,8. 40.00,5. 51.00,19. 14.00,11. 31.00,5. 51.00,2011,boulder,WOMEN
5,6,Wurm,Juliane,GER,375.00,2. 80.00,4. 55.00,5. 51.00,4. 55.00,16. 20.00,4. 55.00,9. 37.00,,15. 22.00,2011,boulder,WOMEN
6,7,KIM,Jain,KOR,275.00,,,,,4. 55.00,3. 65.00,4. 55.00,,1. 100.00,2011,boulder,WOMEN
7,8,Johnson,Alex,USA,273.00,,12. 28.00,7. 43.00,9. 37.00,7. 43.00,7. 43.00,25. 5.00,10. 34.00,8. 40.00,2011,boulder,WOMEN
8,9,Chevrier,Anne-Laure,FRA,250.00,,17. 18.00,14. 24.00,5. 51.00,10. 34.00,13. 26.00,5. 51.00,17. 18.00,12. 28.00,2011,boulder,WOMEN
9,10,Saurwein,Katharina,AUT,248.00,,5. 51.00,10. 34.00,11. 31.00,11. 31.00,9. 37.00,23. 7.00,9. 37.00,16. 20.00,2011,boulder,WOMEN
10,11,Sandoz,Mélanie,FRA,228.00,7. 43.00,9. 37.00,8. 40.00,8. 40.00,,,25. 5.00,13. 26.00,9. 37.00,2011,boulder,WOMEN
11,12,Zijlstra,Vera,NED,175.00,13. 26.00,19. 14.00,26. 5.00,14. 24.00,15. 22.00,10. 34.00,14. 24.00,,13. 26.00,2011,boulder,WOMEN
12,13,Klingler,Petra,SUI,158.00,,,23. 8.00,6. 47.00,,,6. 47.00,15. 22.00,10. 34.00,2011,boulder,WOMEN
13,14,Avezou,Cecile,FRA,143.00,20. 12.00,14. 24.00,11. 31.00,18. 16.00,,,12. 28.00,23. 8.00,14. 24.00,2011,boulder,WOMEN
14,15,Shalagina,Olga,UKR,130.00,,,,15. 22.00,,,3. 65.00,7. 43.00,,2011,boulder,WOMEN
15,16,Dufraisse,Alizée,FRA,119.00,8. 38.00,,,29. 2.00,,,18. 16.00,16. 20.00,7. 43.00,2011,boulder,WOMEN
