,Rank,Name,Name.1,Nation,Points,Barcelona 26.11.2011,Kranj 19.11.2011,Valence 28.10.2011,Amman 20.10.2011,Boulder 08.10.2011,Puurs 30.09.2011,Changzhi 07.09.2011,Xining 02.09.2011,Briançon 29.07.2011,Chamonix 12.07.2011,2011,event,gender
0,1,Markovic,Mina,SLO,751.00,1. 81.00,2. 80.00,5. (51.00),1. 100.00,2. 80.00,3. 65.00,1. 90.00,1. 100.00,2. 80.00,1. 75.00,2011,lead,WOMEN
1,2,KIM,Jain,KOR,681.00,1. 81.00,1. 100.00,8. 40.00,3. 60.00,,1. 100.00,1. 90.00,2. 80.00,4. 55.00,1. 75.00,2011,lead,WOMEN
2,3,Vidmar,Maja,SLO,535.00,5. 51.00,5. 51.00,6. 47.00,2. 80.00,4. 55.00,11. 31.00,3. 65.00,4. 55.00,1. 100.00,16. (20.00),2011,lead,WOMEN
3,4,Eiter,Angela,AUT,454.00,1. 81.00,6. 47.00,4. 55.00,,5. 51.00,2. 80.00,,,3. 65.00,1. 75.00,2011,lead,WOMEN
4,5,Posch,Katharina,AUT,438.00,8. 40.00,3. 65.00,2. 80.00,11. 29.00,14. (24.00),10. 34.00,7. 43.00,3. 65.00,9. 37.00,6. 45.00,2011,lead,WOMEN
5,6,Ernst,Johanna,AUT,369.00,4. 55.00,8. 40.00,1. 100.00,,1. 100.00,7. 43.00,,,,11. 31.00,2011,lead,WOMEN
6,7,Chereshneva,Yana,RUS,357.00,12. 24.00,9. 37.00,3. 65.00,14. 24.00,,9. 37.00,6. 47.00,7. 43.00,7. 43.00,9. 37.00,2011,lead,WOMEN
7,8,Schranz,Christine,AUT,350.00,7. 43.00,14. (24.00),11. 31.00,8. 40.00,9. 37.00,12. 28.00,8. 40.00,9. 35.00,5. 51.00,6. 45.00,2011,lead,WOMEN
8,9,Durif,Charlotte,FRA,347.00,12. 24.00,7. 43.00,16. 20.00,6. 47.00,8. 40.00,19. (14.00),5. 51.00,6. 47.00,6. 47.00,12. 28.00,2011,lead,WOMEN
9,10,Ciavaldini,Caroline,FRA,331.00,11. 31.00,12. 28.00,12. 28.00,11. 29.00,10. 34.00,23. (8.00),9. 37.00,9. 35.00,10. 34.00,1. 75.00,2011,lead,WOMEN
10,11,Oda,Momoka,JPN,267.00,,,,3. 60.00,3. 65.00,,,5. 51.00,8. 40.00,5. 51.00,2011,lead,WOMEN
11,12,Bacher,Barbara,AUT,262.00,12. 24.00,10. 34.00,21. 10.00,10. 34.00,,8. 40.00,10. 34.00,8. 40.00,15. 22.00,14. 24.00,2011,lead,WOMEN
12,13,Han,Seuran,KOR,244.00,9. 37.00,15. 22.00,,5. 51.00,,14. 24.00,4. 55.00,11. 31.00,14. 24.00,,2011,lead,WOMEN
13,14,Lavarda,Jenny,ITA,150.00,26. 5.00,11. 31.00,17. 18.00,7. 43.00,,15. 22.00,,,22. 9.00,15. 22.00,2011,lead,WOMEN
14,15,Brumagne,Mathilde,BEL,146.00,6. 47.00,4. 55.00,24. 7.00,9. 37.00,,,,,,,2011,lead,WOMEN
15,16,DiGiulian,Sasha,USA,130.00,,,,,7. 43.00,6. 47.00,,,,8. 40.00,2011,lead,WOMEN
16,17,Dufraisse,Alizée,FRA,127.00,10. 34.00,16. 20.00,9. 37.00,,,18. 16.00,,,20. 12.00,23. 8.00,2011,lead,WOMEN
17,18,Röck,Magdalena,AUT,124.00,,,7. 43.00,,,4. 55.00,,,,13. 26.00,2011,lead,WOMEN
18,19,Janicot,Hélène,FRA,108.00,12. 24.00,,10. 34.00,,,17. 18.00,,,12. 28.00,27. 4.00,2011,lead,WOMEN
