,Rank,Name,Name.1,Nation,Points,Changzhi 07.09.2011,Xining 02.09.2011,Daone 06.08.2011,Chamonix 12.07.2011,Milano 14.04.2011,2011,event,gender
0,1,Ropek,Edyta,POL,342.00,3. 65.00,6. 47.00,3. 65.00,1. 100.00,3. 65.00,2011,speed,WOMEN
1,2,Krasavina,Mariia,RUS,328.00,8. 40.00,1. 100.00,7. 43.00,3. 65.00,2. 80.00,2011,speed,WOMEN
2,3,Gaidamakina,Alina,RUS,323.00,1. 100.00,7. 43.00,1. 100.00,2. 80.00,,2011,speed,WOMEN
3,4,Alekseeva,Kseniia,RUS,304.00,5. 51.00,2. 80.00,5. 51.00,15. 22.00,1. 100.00,2011,speed,WOMEN
4,5,Levochkina,Yuliya,RUS,266.00,4. 55.00,3. 65.00,4. 55.00,8. 40.00,5. 51.00,2011,speed,WOMEN
5,6,He,CuiLian,CHN,165.00,2. 80.00,5. 51.00,,10. 34.00,,2011,speed,WOMEN
6,7,Tsyganova,Anna,RUS,134.00,7. 43.00,14. 24.00,,5. 51.00,18. 16.00,2011,speed,WOMEN
7,8,Buczek,Klaudia,POL,108.00,,,9. 37.00,18. 16.00,4. 55.00,2011,speed,WOMEN
8,9,Ulzhabayeva,Tamara,KAZ,103.00,9. 37.00,9. 37.00,,24. 7.00,15. 22.00,2011,speed,WOMEN
9,10,Neliwati,Evi,INA,102.00,6. 47.00,4. 55.00,,,,2011,speed,WOMEN
10,11,Morandi,Sara,ITA,100.00,,,2. 80.00,21. 10.00,21. 10.00,2011,speed,WOMEN
11,11,Yurina,Valentina,RUS,100.00,,,6. 47.00,25. 6.00,6. 47.00,2011,speed,WOMEN
12,13,Blanco,Lucelia,VEN,93.00,,,14. 24.00,13. 26.00,7. 43.00,2011,speed,WOMEN
13,14,Jaubert,Anouck,FRA,89.00,,,,4. 55.00,10. 34.00,2011,speed,WOMEN
14,15,Prokopiuk,Monika,POL,88.00,,,10. 34.00,19. 14.00,8. 40.00,2011,speed,WOMEN
15,16,BUD Gusaim,Oleksandra,UKR,80.00,,,8. 40.00,20. 12.00,12. 28.00,2011,speed,WOMEN
16,17,wang,yang,CHN,65.00,10. 34.00,11. 31.00,,,,2011,speed,WOMEN
17,18,Lee,Hung Ying,TPE,62.00,15. 22.00,8. 40.00,,,,2011,speed,WOMEN
18,19,Polekhina,Kseniya,RUS,59.00,,,,12. 28.00,11. 31.00,2011,speed,WOMEN
19,20,PAN,Xuhua,CHN,57.00,16. 20.00,10. 34.00,,28. 3.00,,2011,speed,WOMEN
