,Rank,Name,Name.1,Nation,Points,Kranj 17.11.2012,Inzai 27.10.2012,Mokpo 20.10.2012,Xining 12.10.2012,Atlanta 29.09.2012,Puurs 21.09.2012,Imst 10.08.2012,Briançon 20.07.2012,Chamonix 12.07.2012,2012,event,gender
0,1,Amma,Sachi,JPN,600.00,2. 80.00,3. 65.00,2. 80.00,,4. 55.00,4. 55.00,3. 65.00,1. 100.00,1. 100.00,2012,lead,MEN
1,2,Julian Puigblanque,Ramón,ESP,568.00,7. 43.00,1. 100.00,5. 51.00,19. (14.00),1. 100.00,1. 100.00,5. 51.00,7. 43.00,2. 80.00,2012,lead,MEN
2,3,Schubert,Jakob,AUT,538.00,1. 100.00,2. 80.00,6. 47.00,4. 55.00,2. 80.00,,2. 80.00,3. 65.00,11. 31.00,2012,lead,MEN
3,4,McColl,Sean,CAN,475.00,12. 28.00,7. 43.00,3. 65.00,1. 100.00,7. 43.00,5. 51.00,,2. 80.00,3. 65.00,2012,lead,MEN
4,5,Desgranges,Romain,FRA,402.00,6. 47.00,8. 40.00,10. (34.00),5. 51.00,3. 65.00,3. 65.00,7. 43.00,5. 51.00,8. 40.00,2012,lead,MEN
5,6,Verhoeven,Jorg,NED,390.00,4. 55.00,11. 31.00,13. 26.00,2. 80.00,5. 51.00,6. 47.00,1. 100.00,,,2012,lead,MEN
6,7,Midtboe,Magnus,NOR,389.00,3. 65.00,5. 51.00,7. 43.00,,11. 29.00,8. 40.00,4. 55.00,4. 55.00,5. 51.00,2012,lead,MEN
7,8,Min,Hyunbin,KOR,367.00,8. 40.00,6. 47.00,1. 100.00,6. 47.00,17. (18.00),15. 22.00,10. 34.00,8. 40.00,9. 37.00,2012,lead,MEN
8,9,Lechner,Mario,AUT,278.00,19. 14.00,4. 55.00,14. 24.00,7. 43.00,6. 47.00,7. 43.00,21. (9.00),12. 28.00,14. 24.00,2012,lead,MEN
9,10,Ghisolfi,Stefano,ITA,277.00,15. 22.00,17. 18.00,8. 40.00,3. 65.00,,11. 31.00,12. 28.00,6. 47.00,13. 26.00,2012,lead,MEN
10,11,Chernikov,Mikhail,RUS,266.00,13. 26.00,13. 26.00,15. (22.00),10. 34.00,11. 29.00,10. 34.00,11. 31.00,11. 31.00,4. 55.00,2012,lead,MEN
11,11,Romain,Manuel,FRA,266.00,10. 32.00,25. 6.00,4. 55.00,8. 40.00,9. 37.00,9. 37.00,9. 37.00,15. 22.00,,2012,lead,MEN
12,13,Tauporn,Thomas,GER,227.00,,15. 22.00,9. 37.00,,10. 34.00,19. 14.00,8. 40.00,9. 37.00,7. 43.00,2012,lead,MEN
