,Rank,Name,Name.1,Nation,Points,Mokpo 20.10.2012,Xining 12.10.2012,Arco 01.09.2012,Daone 28.07.2012,Chamonix 12.07.2012,Chongqing 13.04.2012,2012,event,gender
0,1,Kokorin,Stanislav,RUS,361.00,4. 55.00,1. 100.00,4. 55.00,5. 51.00,1. 100.00,13. (26.00),2012,speed,MEN
1,2,Boldyrev,Danyil,UKR,314.00,1. 100.00,5. 51.00,7. 43.00,16. (20.00),2. 80.00,8. 40.00,2012,speed,MEN
2,3,Gontaryk,Yaroslav,UKR,301.00,3. 65.00,7. 43.00,,1. 100.00,3. 65.00,12. 28.00,2012,speed,MEN
3,4,Sinitcyn,Sergei,RUS,271.00,12. (28.00),8. 40.00,2. 80.00,3. 65.00,7. 43.00,7. 43.00,2012,speed,MEN
4,5,Shevchenko,Arsenii,RUS,266.00,2. 80.00,6. 47.00,10. (34.00),9. 37.00,5. 51.00,5. 51.00,2012,speed,MEN
5,6,Vaitsekhovskii,Evgenii,RUS,262.00,8. 40.00,2. 80.00,12. 28.00,2. 80.00,13. (26.00),10. 34.00,2012,speed,MEN
6,7,Hroza,Libor,CZE,256.00,11. 31.00,19. (14.00),3. 65.00,7. 43.00,9. 37.00,2. 80.00,2012,speed,MEN
7,8,Abdrakhmanov,Sergey,RUS,250.00,5. 51.00,3. 65.00,6. 47.00,8. 40.00,6. 47.00,16. (20.00),2012,speed,MEN
8,9,Gontero,Leonardo,ITA,216.00,7. 43.00,12. 28.00,1. 100.00,11. 31.00,19. 14.00,,2012,speed,MEN
9,10,Komosinski,Jedrzej,POL,187.00,9. 37.00,14. (24.00),5. 51.00,10. 34.00,12. 28.00,9. 37.00,2012,speed,MEN
10,11,Vedenchuk,Viacheslav,RUS,140.00,10. 34.00,10. 34.00,,4. 55.00,24. 7.00,21. 10.00,2012,speed,MEN
11,12,Swirk,Lukasz,POL,137.00,,,9. 37.00,15. 22.00,11. 31.00,6. 47.00,2012,speed,MEN
12,13,Zhong,QiXin,CHN,130.00,6. 47.00,17. 18.00,,,,3. 65.00,2012,speed,MEN
13,14,Timofeev,Dmitrii,RUS,110.00,,,,,21. 10.00,1. 100.00,2012,speed,MEN
14,15,Yurko,Oleksiy,UKR,99.00,,15. 22.00,14. 24.00,,15. 22.00,11. 31.00,2012,speed,MEN
15,16,Mawem,Bassa,FRA,80.00,,,8. 40.00,,8. 40.00,,2012,speed,MEN
16,17,Astashkin,Evgeny,RUS,79.00,,,,,4. 55.00,14. 24.00,2012,speed,MEN
17,17,Novikov,Ivan,RUS,79.00,,,,,14. 24.00,4. 55.00,2012,speed,MEN
18,19,Savelyev,Artem,RUS,60.00,16. 20.00,13. 26.00,,,,19. 14.00,2012,speed,MEN
19,20,Jaelolo,Aspar,INA,55.00,,4. 55.00,,,,,2012,speed,MEN
20,21,LE COUSTER,Yoann,FRA,51.00,,,11. 31.00,,16. 20.00,,2012,speed,MEN
21,22,Sirotti,Michel,ITA,47.00,,,,6. 47.00,,,2012,speed,MEN
22,23,Zhong,Lincai,CHN,46.00,,9. 37.00,,,,22. 9.00,2012,speed,MEN
23,24,Li,Guangdong,CHN,39.00,,11. 31.00,,,,23. 8.00,2012,speed,MEN
24,24,McColl,Sean,CAN,39.00,15. 22.00,20. 12.00,,,26. 5.00,,2012,speed,MEN
25,26,Escobar,Manuel,VEN,38.00,,,15. 22.00,,18. 16.00,,2012,speed,MEN
26,27,Dzienski,Marcin,POL,34.00,,,,,10. 34.00,,2012,speed,MEN
27,27,Sikora,Paweł,POL,34.00,,,,13. 26.00,23. 8.00,,2012,speed,MEN
28,29,Kriz,Jan,CZE,33.00,,,,14. 24.00,22. 9.00,,2012,speed,MEN
29,30,Zhang,Yuhang,CHN,32.00,,16. 20.00,,,,20. 12.00,2012,speed,MEN
30,31,Sirotti,Gianluca,ITA,28.00,,,,12. 28.00,,,2012,speed,MEN
31,32,Chae,Sungjoon,KOR,26.00,13. 26.00,,,,,,2012,speed,MEN
32,32,Quinteros,Andres,ECU,26.00,,,13. 26.00,,,,2012,speed,MEN
33,34,Cho,Seungwoon,KOR,24.00,14. 24.00,,,,,,2012,speed,MEN
34,35,ZHANG,Ning,CHN,22.00,,,,,,15. 22.00,2012,speed,MEN
35,36,Estevez,Isaac,ECU,20.00,,,16. 20.00,,,,2012,speed,MEN
36,37,Halasa,Rafal,POL,18.00,,,,,17. 18.00,,2012,speed,MEN
37,37,Hwang,Pyeongju,KOR,18.00,17. 18.00,,,,,,2012,speed,MEN
38,37,Nigmanov,Zufar,RUS,18.00,,,,,,17. 18.00,2012,speed,MEN
39,40,Barkovskyy,Sergiy,UKR,16.00,,,,,,18. 16.00,2012,speed,MEN
40,40,Chang,Yeu-Shiang,TPE,16.00,,18. 16.00,,,,,2012,speed,MEN
41,40,KIM,Hanwool,KOR,16.00,18. 16.00,,,,,,2012,speed,MEN
42,43,Schubert,Jakob,AUT,14.00,19. 14.00,,,,,,2012,speed,MEN
43,44,Moro,Guillaume,FRA,12.00,,,,,20. 12.00,,2012,speed,MEN
44,45,Suolang,Jiacuo,CHN,7.00,,,,,,24. 7.00,2012,speed,MEN
45,46,Guevara,Tomas,VEN,6.00,,,,,25. 6.00,,2012,speed,MEN
46,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,2012,speed,MEN
