,Rank,Name,Name.1,Nation,Points,Munich 25.08.2012,Vail 01.06.2012,Innsbruck 18.05.2012,Vienna 27.04.2012,Log-Dragomer 21.04.2012,Chongqing 13.04.2012,2012,event,gender
0,1,Stöhr,Anna,AUT,425.00,2. 80.00,1. 100.00,1. 100.00,5. (51.00),3. 65.00,2. 80.00,2012,boulder,WOMEN
1,2,Noguchi,Akiyo,JPN,394.00,1. 100.00,11. (31.00),7. 43.00,1. 100.00,5. 51.00,1. 100.00,2012,boulder,WOMEN
2,3,Coxsey,Shauna,GBR,350.00,,2. 80.00,2. 80.00,4. 55.00,2. 80.00,4. 55.00,2012,boulder,WOMEN
3,4,Markovic,Mina,SLO,304.00,8. 40.00,9. 37.00,12. (28.00),2. 80.00,1. 100.00,6. 47.00,2012,boulder,WOMEN
4,5,Puccio,Alex,USA,245.00,10. 34.00,5. 51.00,4. 55.00,3. 65.00,16. (20.00),8. 40.00,2012,boulder,WOMEN
5,6,Le Neve,Melissa,FRA,238.00,4. 55.00,8. 40.00,3. 65.00,10. 31.00,6. 47.00,14. (24.00),2012,boulder,WOMEN
6,6,Wurm,Juliane,GER,238.00,3. 65.00,3. 65.00,10. 34.00,7. 43.00,11. 31.00,16. (20.00),2012,boulder,WOMEN
7,8,Sandoz,Mélanie,FRA,191.00,6. 47.00,6. 47.00,16. 20.00,15. (17.00),8. 40.00,9. 37.00,2012,boulder,WOMEN
8,9,Oda,Momoka,JPN,189.00,7. 43.00,,8. 40.00,15. 17.00,4. 55.00,10. 34.00,2012,boulder,WOMEN
9,10,KIM,Jain,KOR,171.00,11. 31.00,12. 28.00,6. 47.00,,,3. 65.00,2012,boulder,WOMEN
10,11,Saurwein,Katharina,AUT,162.00,9. 37.00,7. 43.00,5. 51.00,23. 7.00,14. 24.00,,2012,boulder,WOMEN
11,12,Chevrier,Anne-Laure,FRA,145.00,24. 7.00,10. 34.00,14. 24.00,9. 37.00,7. 43.00,,2012,boulder,WOMEN
12,13,Gallyamova,Anna,RUS,137.00,5. 51.00,,9. 37.00,10. 31.00,17. 18.00,,2012,boulder,WOMEN
13,14,Retschy,Monika,GER,127.00,13. 26.00,15. 22.00,21. 10.00,13. 26.00,27. (3.00),7. 43.00,2012,boulder,WOMEN
14,15,Avezou,Cecile,FRA,109.00,18. 16.00,22. 9.00,13. 26.00,25. (5.00),23. 7.00,5. 51.00,2012,boulder,WOMEN
15,16,Iakovleva,Olga,RUS,89.00,17. 18.00,,11. 31.00,8. 40.00,,,2012,boulder,WOMEN
16,17,Shemulinkina,Tatiana,RUS,82.00,12. 28.00,,19. 14.00,28. 3.00,9. 37.00,,2012,boulder,WOMEN
17,18,Zijlstra,Vera,NED,59.00,,,27. 4.00,14. 24.00,25. 5.00,13. 26.00,2012,boulder,WOMEN
18,19,Chereshneva,Yana,RUS,58.00,,,,,12. 27.00,11. 31.00,2012,boulder,WOMEN
19,19,Leslie-Wujastyk,Mina,GBR,58.00,15. 22.00,20. 12.00,24. 6.00,,,17. 18.00,2012,boulder,WOMEN
20,21,Johnson,Alex,USA,55.00,,4. 55.00,,,,,2012,boulder,WOMEN
21,22,Vidmar,Maja,SLO,51.00,,,,15. 17.00,10. 34.00,,2012,boulder,WOMEN
22,23,Bacher,Sabine,AUT,48.00,21. 10.00,,17. 18.00,15. 17.00,27. 3.00,,2012,boulder,WOMEN
23,23,Shalagina,Olga,UKR,48.00,,,,6. 47.00,29. 1.00,,2012,boulder,WOMEN
24,25,Klingler,Petra,SUI,46.00,16. 20.00,,23. 8.00,21. 9.00,21. 9.00,,2012,boulder,WOMEN
25,26,Stotz,Rebekka,SUI,41.00,,,30. 1.00,10. 31.00,21. 9.00,,2012,boulder,WOMEN
26,27,Payne,Angela,USA,35.00,,17. 18.00,,15. 17.00,,,2012,boulder,WOMEN
27,28,Thévenet,Marine,FRA,32.00,,,,25. 5.00,12. 27.00,,2012,boulder,WOMEN
28,29,PAN,Xuhua,CHN,28.00,,,,,,12. 28.00,2012,boulder,WOMEN
29,30,Kipriianova,Ekaterina,RUS,27.00,,,,25. 5.00,15. 22.00,,2012,boulder,WOMEN
30,31,Bibik,Olga,RUS,26.00,,,29. 2.00,15. 17.00,23. 7.00,,2012,boulder,WOMEN
31,31,Jenerik,Cicada,USA,26.00,,13. 26.00,,,,,2012,boulder,WOMEN
32,33,Posch,Katharina,AUT,25.00,,,18. 16.00,21. 9.00,,,2012,boulder,WOMEN
33,34,Abramchuk,Yulia,RUS,24.00,14. 24.00,,,,,,2012,boulder,WOMEN
34,34,Asher,Elizabeth,USA,24.00,,14. 24.00,,,,,2012,boulder,WOMEN
35,36,Chapet,Manon,FRA,22.00,,,15. 22.00,,,,2012,boulder,WOMEN
36,36,SA,Sol,KOR,22.00,,,,,,15. 22.00,2012,boulder,WOMEN
37,38,Hagiwara,Asaki,JPN,21.00,26. 5.00,,,,18. 16.00,,2012,boulder,WOMEN
38,39,Yasuda,Atori,JPN,20.00,,16. 20.00,,,,,2012,boulder,WOMEN
39,40,Cox,Chauncenia,USA,16.00,,18. 16.00,,,,,2012,boulder,WOMEN
40,40,RENQING,LaMu,CHN,16.00,,,,,,18. 16.00,2012,boulder,WOMEN
41,42,Blair-Coyle,Sierra,USA,14.00,,19. 14.00,,,,,2012,boulder,WOMEN
42,42,JIANG,Rong,CHN,14.00,,,,,,19. 14.00,2012,boulder,WOMEN
43,42,Whittaker,Katy,GBR,14.00,19. 14.00,,,,,,2012,boulder,WOMEN
44,45,Leiner,Isabell,GER,13.00,,,,,19. 13.00,,2012,boulder,WOMEN
45,45,Vidmar,Katja,SLO,13.00,,,,,19. 13.00,,2012,boulder,WOMEN
46,47,Karalus,Dorothea,GER,12.00,20. 12.00,,,,,,2012,boulder,WOMEN
47,47,Kudrova,Nelly,CZE,12.00,,,20. 12.00,,,,2012,boulder,WOMEN
48,47,RenZeng,WangMu,CHN,12.00,,,,,,20. 12.00,2012,boulder,WOMEN
49,50,Lavarda,Jenny,ITA,11.00,,,24. 6.00,,25. 5.00,,2012,boulder,WOMEN
50,51,Hensley,Tiffany,USA,10.00,,21. 10.00,,,,,2012,boulder,WOMEN
51,51,gesang,wangmu,CHN,10.00,,,,,,21. 10.00,2012,boulder,WOMEN
52,53,Bacher,Barbara,AUT,9.00,,,22. 9.00,,,,2012,boulder,WOMEN
53,53,Lee,Hung Ying,TPE,9.00,22. 9.00,,,,,,2012,boulder,WOMEN
54,53,Schwab,Tabea,SUI,9.00,23. 8.00,,,29. 1.00,,,2012,boulder,WOMEN
55,56,Szekely,Andrea Brigitta,HUN,8.00,,23. 8.00,,,,,2012,boulder,WOMEN
56,57,Fakhritdinova,Dinara,RUS,7.00,,,,23. 7.00,,,2012,boulder,WOMEN
57,58,Pichler,Stefanie,AUT,6.00,,,26. 5.00,29. 1.00,,,2012,boulder,WOMEN
58,58,Rodriguez,Maria Fernanda De Je,MEX,6.00,,24. 6.00,,,,,2012,boulder,WOMEN
59,58,Williams,Nina,USA,6.00,,24. 6.00,,,,,2012,boulder,WOMEN
60,58,Winter,Julia,GER,6.00,25. 6.00,,,,,,2012,boulder,WOMEN
61,62,Merrick,Diane,GBR,4.00,27. 4.00,,,,,,2012,boulder,WOMEN
62,62,Van liere,Mirthe,NED,4.00,,26. 4.00,,,,,2012,boulder,WOMEN
63,62,Youngwerth,Tyler,USA,4.00,,26. 4.00,,,,,2012,boulder,WOMEN
64,65,Peet,Gill,GBR,3.00,28. 3.00,,,,,,2012,boulder,WOMEN
65,65,Rajfova,Silvie,CZE,3.00,,,28. 3.00,,,,2012,boulder,WOMEN
66,65,Sethna,Elise,CAN,3.00,,28. 3.00,,,,,2012,boulder,WOMEN
67,68,Ebler,Daniela,SWE,2.00,29. 2.00,,,,,,2012,boulder,WOMEN
68,68,Jaakkola,Eevi,FIN,2.00,,29. 2.00,,,,,2012,boulder,WOMEN
69,70,Kremer,Valeri,ISR,1.00,30. 1.00,,,,,,2012,boulder,WOMEN
70,70,Miller,Delaney,USA,1.00,,30. 1.00,,,,,2012,boulder,WOMEN
71,70,Ruzickova,Petra,CZE,1.00,,,,,29. 1.00,,2012,boulder,WOMEN
72,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,2012,boulder,WOMEN
