,Rank,Name,Name.1,Nation,Points,Kranj 17.11.2012,Inzai 27.10.2012,Mokpo 20.10.2012,Xining 12.10.2012,Atlanta 29.09.2012,Puurs 21.09.2012,Imst 10.08.2012,Briançon 20.07.2012,Chamonix 12.07.2012,2012,event,gender
0,1,Markovic,Mina,SLO,675.00,1. 100.00,1. 100.00,2. 80.00,2. 80.00,2. 80.00,4. 55.00,2. 80.00,4. (55.00),1. 100.00,2012,lead,WOMEN
1,2,KIM,Jain,KOR,617.00,4. 55.00,2. 80.00,1. 100.00,3. 65.00,1. 100.00,1. 100.00,9. 37.00,9. (35.00),2. 80.00,2012,lead,WOMEN
2,3,Ernst,Johanna,AUT,522.00,6. 47.00,4. 55.00,8. 40.00,1. 100.00,4. 55.00,2. 80.00,3. 65.00,2. 80.00,9. (35.00),2012,lead,WOMEN
3,4,Oda,Momoka,JPN,430.00,2. 80.00,5. 51.00,4. 55.00,,,12. 28.00,1. 100.00,5. 51.00,3. 65.00,2012,lead,WOMEN
4,5,Janicot,Hélène,FRA,422.00,12. (28.00),10. 34.00,9. 37.00,5. 51.00,6. 47.00,5. 51.00,6. 47.00,1. 100.00,4. 55.00,2012,lead,WOMEN
5,6,Durif,Charlotte,FRA,338.00,10. 34.00,8. 40.00,10. 34.00,7. 43.00,11. 31.00,8. 40.00,5. 51.00,3. 65.00,12. (27.00),2012,lead,WOMEN
6,7,Fakhritdinova,Dinara,RUS,324.00,9. 37.00,7. 43.00,3. 65.00,9. 37.00,7. 43.00,9. 37.00,,9. 35.00,12. 27.00,2012,lead,WOMEN
7,8,Röck,Magdalena,AUT,323.00,14. 24.00,11. 31.00,7. 43.00,4. 55.00,13. 26.00,3. 65.00,14. (24.00),12. 28.00,5. 51.00,2012,lead,WOMEN
8,9,Malamid,Evgeniia,RUS,320.00,7. 43.00,9. 37.00,11. 31.00,8. 40.00,12. 28.00,7. 43.00,4. 55.00,14. (24.00),7. 43.00,2012,lead,WOMEN
9,10,Posch,Katharina,AUT,290.00,11. 31.00,12. 28.00,13. (26.00),6. 47.00,5. 51.00,10. 34.00,11. 28.00,8. 40.00,11. 31.00,2012,lead,WOMEN
10,11,Vidmar,Maja,SLO,275.00,3. 65.00,3. 65.00,18. 16.00,15. 22.00,3. 65.00,14. 24.00,,,17. 18.00,2012,lead,WOMEN
11,12,Kobayashi,Yuka,JPN,206.00,25. 6.00,17. 18.00,12. 28.00,,9. 37.00,18. 16.00,7. 43.00,7. 43.00,18. 15.00,2012,lead,WOMEN
12,13,Noguchi,Akiyo,JPN,196.00,5. 51.00,6. 47.00,5. 51.00,,,6. 47.00,,,,2012,lead,WOMEN
13,14,Han,Seuran,KOR,191.00,,,17. 18.00,12. 28.00,8. 40.00,16. 20.00,11. 28.00,15. 22.00,9. 35.00,2012,lead,WOMEN
14,15,Lavarda,Jenny,ITA,154.00,23. 8.00,18. 16.00,16. 20.00,10. 34.00,20. 12.00,23. (8.00),15. 22.00,16. 20.00,15. 22.00,2012,lead,WOMEN
15,16,Bacher,Barbara,AUT,153.00,26. (5.00),15. 22.00,15. 22.00,11. 31.00,21. 10.00,13. 26.00,16. 20.00,23. 7.00,18. 15.00,2012,lead,WOMEN
16,17,Schranz,Christine,AUT,147.00,8. 40.00,,,,15. 22.00,11. 31.00,17. 18.00,18. 16.00,16. 20.00,2012,lead,WOMEN
17,18,Brumagne,Mathilde,BEL,137.00,,13. 26.00,6. 47.00,,14. 24.00,,8. 40.00,,,2012,lead,WOMEN
