,Rank,Name,Name.1,Nation,Points,Mokpo 20.10.2012,Xining 12.10.2012,Arco 01.09.2012,Daone 28.07.2012,Chamonix 12.07.2012,Chongqing 13.04.2012,2012,event,gender
0,1,Gaidamakina,Alina,RUS,396.00,5. 51.00,8. (40.00),1. 100.00,3. 65.00,2. 80.00,1. 100.00,2012,speed,WOMEN
1,2,Levochkina,Yuliya,RUS,345.00,1. 100.00,4. 55.00,2. 80.00,4. 55.00,4. 55.00,9. (37.00),2012,speed,WOMEN
2,3,Krasavina,Mariia,RUS,319.00,2. 80.00,3. 65.00,6. 47.00,6. 47.00,10. (34.00),2. 80.00,2012,speed,WOMEN
3,4,Ropek,Edyta,POL,306.00,7. 43.00,2. 80.00,12. (28.00),1. 100.00,8. 40.00,7. 43.00,2012,speed,WOMEN
4,5,Miroslaw,Aleksandra,POL,242.00,8. 40.00,5. 51.00,,,1. 100.00,5. 51.00,2012,speed,WOMEN
5,6,Bruckner,Esther,FRA,236.00,3. 65.00,1. 100.00,,,5. 51.00,16. 20.00,2012,speed,WOMEN
6,7,Buczek,Klaudia,POL,210.00,9. 37.00,7. 43.00,14. 24.00,2. 80.00,13. 26.00,,2012,speed,WOMEN
7,8,Prokopiuk,Monika,POL,206.00,4. 55.00,13. 26.00,5. 51.00,8. 40.00,19. (14.00),10. 34.00,2012,speed,WOMEN
8,9,Titova,Natalia,RUS,195.00,,,3. 65.00,,3. 65.00,3. 65.00,2012,speed,WOMEN
9,10,Polekhina,Kseniya,RUS,188.00,,6. 47.00,4. 55.00,,11. 31.00,4. 55.00,2012,speed,WOMEN
10,11,Savisko,Anastasiya,UKR,165.00,12. 28.00,14. (24.00),13. 26.00,7. 43.00,9. 37.00,11. 31.00,2012,speed,WOMEN
11,12,Jaubert,Anouck,FRA,142.00,6. 47.00,12. 28.00,,,7. 43.00,14. 24.00,2012,speed,WOMEN
12,13,He,CuiLian,CHN,112.00,10. 34.00,11. 31.00,,,,6. 47.00,2012,speed,WOMEN
13,14,Pichler,Stefanie,AUT,102.00,,,7. 43.00,11. 31.00,12. 28.00,,2012,speed,WOMEN
14,15,Heitz,Margot,FRA,82.00,,,8. 40.00,,16. 20.00,15. 22.00,2012,speed,WOMEN
15,16,Yurina,Valentina,RUS,55.00,,,,9. 37.00,17. 18.00,,2012,speed,WOMEN
16,17,PAN,Xuhua,CHN,54.00,,19. 14.00,,,,8. 40.00,2012,speed,WOMEN
17,18,Kaplina,Iuliia,RUS,53.00,,9. 37.00,,,18. 16.00,,2012,speed,WOMEN
18,19,Morandi,Sara,ITA,51.00,,,,5. 51.00,,,2012,speed,WOMEN
19,20,Lee,Hung Ying,TPE,49.00,11. 31.00,17. 18.00,,,,,2012,speed,WOMEN
20,21,Tsyganova,Anna,RUS,47.00,,,,,6. 47.00,,2012,speed,WOMEN
21,22,wang,yang,CHN,46.00,,16. 20.00,,,,13. 26.00,2012,speed,WOMEN
22,23,RenZeng,WangMu,CHN,38.00,,21. 10.00,,,,12. 28.00,2012,speed,WOMEN
23,24,Ustimenko,Mariya,UKR,37.00,,,9. 37.00,,,,2012,speed,WOMEN
24,25,Rojas,Andrea,ECU,34.00,,,10. 34.00,,,,2012,speed,WOMEN
25,25,Tita,Supita,INA,34.00,,10. 34.00,,,,,2012,speed,WOMEN
26,25,Vaytsekhovskaya,Yulia,RUS,34.00,,,,10. 34.00,,,2012,speed,WOMEN
27,28,Correa,Sofia,ECU,31.00,,,11. 31.00,,,,2012,speed,WOMEN
28,29,Motovilova,Svetlana,RUS,28.00,,,,12. 28.00,,,2012,speed,WOMEN
29,30,Kim,Solah,KOR,26.00,13. 26.00,,,,,,2012,speed,WOMEN
30,30,Shelpakova,Polina,RUS,26.00,,,,13. 26.00,,,2012,speed,WOMEN
31,32,JIANG,Rong,CHN,25.00,,22. 9.00,,,,18. 16.00,2012,speed,WOMEN
32,33,Jeong,Woonwha,KOR,24.00,14. 24.00,,,,,,2012,speed,WOMEN
33,33,Stepanova,Nataliia,RUS,24.00,,,,,14. 24.00,,2012,speed,WOMEN
34,35,Boyko,Mariya,UKR,22.00,,,15. 22.00,,,,2012,speed,WOMEN
35,35,Elmer,Alexandra,AUT,22.00,,,,,15. 22.00,,2012,speed,WOMEN
36,35,Lestari,Puji,INA,22.00,,15. 22.00,,,,,2012,speed,WOMEN
37,38,Korcova,Lucia,SVK,20.00,,,16. 20.00,,,,2012,speed,WOMEN
38,39,Korcova,Simona,SVK,18.00,,,17. 18.00,,,,2012,speed,WOMEN
39,39,gesang,wangmu,CHN,18.00,,,,,,17. 18.00,2012,speed,WOMEN
40,41,yang,weiling,CHN,16.00,,18. 16.00,,,,,2012,speed,WOMEN
41,42,Lach,Nina,AUT,12.00,,,,,20. 12.00,,2012,speed,WOMEN
42,42,RENQING,LaMu,CHN,12.00,,20. 12.00,,,,,2012,speed,WOMEN
43,44,Wu,Jacquelyn,USA,10.00,,,,,21. 10.00,,2012,speed,WOMEN
44,45,Krizova,Eva,CZE,9.00,,,,,22. 9.00,,2012,speed,WOMEN
45,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,2012,speed,WOMEN
