,Rank,Name,Name.1,Nation,Points,Munich 24.08.2013,Vail 07.06.2013,Toronto 01.06.2013,Innsbruck 17.05.2013,Log-Dragomer 11.05.2013,Kitzbühel 26.04.2013,Millau 05.04.2013,Chongqing 22.03.2013,2013,event,gender
0,1,Sharafutdinov,Dmitrii,RUS,516.00,4. 55.00,1. 100.00,,2. 80.00,3. 65.00,3. 65.00,5. 51.00,1. 100.00,2013,boulder,MEN
1,2,Schubert,Jakob,AUT,394.00,10. 34.00,9. 37.00,3. 65.00,7. 41.00,9. 37.00,1. 100.00,13. (26.00),2. 80.00,2013,boulder,MEN
2,3,McColl,Sean,CAN,377.00,8. 40.00,4. 55.00,6. 47.00,4. 55.00,1. 100.00,7. 43.00,9. 37.00,,2013,boulder,MEN
3,4,Gelmanov,Rustam,RUS,372.00,3. 65.00,2. 80.00,5. 51.00,11. (31.00),10. 34.00,8. 40.00,6. 47.00,4. 55.00,2013,boulder,MEN
4,5,Fischhuber,Kilian,AUT,371.00,14. 24.00,5. 51.00,1. 100.00,3. 65.00,15. 22.00,22. 9.00,1. 100.00,,2013,boulder,MEN
5,6,Glairon Mondet,Guillaume,FRA,353.00,,12. 28.00,7. 43.00,6. 47.00,12. 28.00,2. 80.00,2. 80.00,6. 47.00,2013,boulder,MEN
6,7,Verhoeven,Jorg,NED,352.00,25. (5.00),3. 65.00,2. 80.00,5. 51.00,13. 26.00,12. 28.00,3. 65.00,9. 37.00,2013,boulder,MEN
7,8,Hojer,Jan,GER,332.00,7. 43.00,28. (3.00),8. 40.00,1. 100.00,2. 80.00,9. 37.00,25. 6.00,13. 26.00,2013,boulder,MEN
8,9,Caleyron,Thomas,FRA,217.00,,8. 40.00,12. 28.00,13. 26.00,14. 24.00,14. 24.00,14. 24.00,5. 51.00,2013,boulder,MEN
9,10,Sugimoto,Rei,JPN,216.00,1. 100.00,17. 18.00,4. 55.00,,,,7. 43.00,,2013,boulder,MEN
10,11,Kruder,Jernej,SLO,213.00,13. 26.00,7. 43.00,11. 31.00,29. 1.00,11. 31.00,6. 47.00,,10. 34.00,2013,boulder,MEN
11,12,Lachat,Cédric,SUI,205.00,11. 31.00,,,12. 28.00,4. 55.00,5. 51.00,8. 40.00,,2013,boulder,MEN
12,13,Tauporn,Thomas,GER,200.00,2. 80.00,,,,6. 47.00,4. 55.00,17. 18.00,,2013,boulder,MEN
13,14,Hori,Tsukuru,JPN,193.00,,15. 22.00,13. 26.00,27. 3.00,7. 43.00,,10. 34.00,3. 65.00,2013,boulder,MEN
14,15,Baumann,Jonas,GER,158.00,17. 18.00,,10. 34.00,9. 35.00,,,11. 31.00,8. 40.00,2013,boulder,MEN
15,16,Becan,Klemen,SLO,124.00,,16. 20.00,16. 20.00,16. 20.00,17. 18.00,10. 34.00,20. 12.00,,2013,boulder,MEN
16,17,Bonder,Jeremy,FRA,113.00,,14. 24.00,14. 24.00,17. 17.00,16. 20.00,,12. 28.00,,2013,boulder,MEN
17,18,Ennemoser,Lukas,AUT,106.00,29. 1.00,23. 7.00,18. 16.00,15. 22.00,25. 5.00,,4. 55.00,,2013,boulder,MEN
18,19,Shalagin,Mykhaylo,UKR,100.00,5. 51.00,,,9. 35.00,21. 9.00,25. 5.00,,,2013,boulder,MEN
19,20,Huerta,Mauricio,MEX,99.00,,11. 31.00,9. 37.00,20. 12.00,18. 16.00,27. 3.00,,,2013,boulder,MEN
20,21,Scarperi,Stefan,ITA,88.00,21. 9.00,21. 10.00,19. 14.00,7. 41.00,19. 14.00,,,,2013,boulder,MEN
21,22,Barrans,David,GBR,86.00,18. 16.00,13. 26.00,,,8. 40.00,,27. 4.00,,2013,boulder,MEN
22,23,Kassay,James,AUS,68.00,,,,,5. 51.00,23. 7.00,21. 10.00,,2013,boulder,MEN
23,24,Ozawa,Shinta,JPN,67.00,27. 3.00,20. 12.00,21. 10.00,14. 24.00,,,,17. 18.00,2013,boulder,MEN
24,25,Nakano,Minoru,JPN,53.00,,,,,,,15. 22.00,11. 31.00,2013,boulder,MEN
25,26,Amma,Sachi,JPN,47.00,6. 47.00,,,,,,,,2013,boulder,MEN
26,26,Danker,Stefan,GER,47.00,,,,23. 7.00,21. 9.00,11. 31.00,,,2013,boulder,MEN
27,26,Robinson,Paul,USA,47.00,,6. 47.00,,,,,,,2013,boulder,MEN
