,Rank,Name,Name.1,Nation,Points,Kranj 16.11.2013,Valence 01.11.2013,Wujiang 19.10.2013,Mokpo 11.10.2013,Perm 27.09.2013,Puurs 20.09.2013,Imst 09.08.2013,Briançon 19.07.2013,2013,event,gender
0,1,KIM,Jain,KOR,625.00,4. (55.00),1. 100.00,2. 80.00,2. 80.00,1. 100.00,1. 100.00,3. 65.00,1. 100.00,2013,lead,WOMEN
1,2,Markovic,Mina,SLO,605.00,3. 65.00,2. 80.00,1. 100.00,1. 100.00,4. (55.00),2. 80.00,1. 100.00,2. 80.00,2013,lead,WOMEN
2,3,Oda,Momoka,JPN,491.00,1. 100.00,3. 65.00,5. 51.00,3. 65.00,3. 65.00,3. 65.00,2. 80.00,20. (12.00),2013,lead,WOMEN
3,4,Röck,Magdalena,AUT,374.00,5. 51.00,8. 40.00,3. 65.00,6. 47.00,2. 80.00,8. 40.00,5. 51.00,8. (40.00),2013,lead,WOMEN
4,5,Fakhritdinova,Dinara,RUS,354.00,6. 47.00,4. 55.00,4. 55.00,,6. 47.00,4. 55.00,8. 40.00,4. 55.00,2013,lead,WOMEN
5,6,Janicot,Hélène,FRA,340.00,9. 37.00,14. (24.00),10. 34.00,4. 55.00,5. 51.00,7. 43.00,4. 55.00,3. 65.00,2013,lead,WOMEN
6,7,Noguchi,Akiyo,JPN,301.00,2. 80.00,7. 43.00,9. 37.00,7. 43.00,,5. 51.00,,6. 47.00,2013,lead,WOMEN
7,8,Posch,Katharina,AUT,259.00,11. 31.00,9. 37.00,7. 43.00,11. 31.00,7. 43.00,11. 31.00,13. (26.00),7. 43.00,2013,lead,WOMEN
8,9,Verhoeven,Anak,BEL,212.00,7. 43.00,5. 51.00,,5. 51.00,,6. 47.00,,16. 20.00,2013,lead,WOMEN
9,10,van Bergen,Nikki,NED,206.00,21. 10.00,11. 31.00,6. 47.00,9. 37.00,13. 24.00,16. 20.00,21. (10.00),9. 37.00,2013,lead,WOMEN
10,11,Bacher,Barbara,AUT,175.00,14. 24.00,18. 16.00,11. 31.00,18. (16.00),13. 24.00,10. 34.00,17. 18.00,12. 28.00,2013,lead,WOMEN
11,12,Brumagne,Mathilde,BEL,170.00,25. 6.00,17. 18.00,,10. 34.00,9. 37.00,12. 28.00,9. 37.00,21. 10.00,2013,lead,WOMEN
12,13,Kobayashi,Yuka,JPN,163.00,17. 18.00,16. 20.00,13. 26.00,13. 26.00,11. 29.00,15. 22.00,19. (14.00),15. 22.00,2013,lead,WOMEN
13,14,Malamid,Evgeniia,RUS,137.00,10. 34.00,,,,11. 29.00,22. 9.00,6. 47.00,17. 18.00,2013,lead,WOMEN
14,15,Lavarda,Jenny,ITA,115.00,22. 9.00,,,,10. 34.00,9. 37.00,30. 1.00,10. 34.00,2013,lead,WOMEN
15,16,Vidmar,Maja,SLO,114.00,8. 40.00,6. 47.00,,,,,15. 22.00,26. 5.00,2013,lead,WOMEN
16,17,Ota,Risa,JPN,106.00,,,8. 40.00,8. 40.00,,,,13. 26.00,2013,lead,WOMEN
17,18,Chereshneva,Yana,RUS,99.00,,,12. 28.00,,8. 40.00,,12. 28.00,28. 3.00,2013,lead,WOMEN
18,19,Pilz,Jessica,AUT,97.00,12. 28.00,13. 26.00,,,,,7. 43.00,,2013,lead,WOMEN
19,20,Romain,Salomé,FRA,89.00,19. 14.00,10. 34.00,,,,13. 26.00,,18. 15.00,2013,lead,WOMEN
20,21,Sustersic,Tina,SLO,88.00,26. 5.00,12. 28.00,,,25. 6.00,21. 10.00,11. 31.00,23. 8.00,2013,lead,WOMEN
21,22,Stotz,Rebekka,SUI,87.00,15. 22.00,,,,,14. 24.00,10. 34.00,24. 7.00,2013,lead,WOMEN
22,23,Saurwein,Katharina,AUT,82.00,,19. 14.00,15. 22.00,14. 24.00,,,16. 20.00,29. 2.00,2013,lead,WOMEN
23,24,Hafsaas,Tina Johnsen,NOR,57.00,18. 16.00,26. 5.00,,,,20. 12.00,14. 24.00,,2013,lead,WOMEN
24,25,Durif,Charlotte,FRA,51.00,,,,,,,,5. 51.00,2013,lead,WOMEN
25,26,Onoe,Aya,JPN,48.00,13. 26.00,15. 22.00,,,,,,,2013,lead,WOMEN
26,27,SA,Sol,KOR,47.00,,,,12. 28.00,,17. 18.00,,30. 1.00,2013,lead,WOMEN
27,28,Choong,Katherine,SUI,39.00,24. 7.00,,,,,23. 8.00,,14. 24.00,2013,lead,WOMEN
28,29,Stütz,Christina,AUT,37.00,,23. 8.00,,,,24. 7.00,18. 16.00,25. 6.00,2013,lead,WOMEN
29,30,Sigrist,Manuela,SUI,34.00,30. 1.00,24. 7.00,,,,19. 14.00,20. 12.00,,2013,lead,WOMEN
30,31,Serrière,Julia,FRA,31.00,,,,,,,,11. 31.00,2013,lead,WOMEN
31,32,Ghisolfi,Claudia,ITA,25.00,,22. 9.00,,,,18. 16.00,,,2013,lead,WOMEN
32,33,JIANG,Rong,CHN,24.00,,,18. 16.00,,23. 8.00,,,,2013,lead,WOMEN
33,33,RENQING,LaMu,CHN,24.00,,,14. 24.00,,,,,,2013,lead,WOMEN
34,33,Samoilina,Anastasiia,RUS,24.00,,,,,13. 24.00,,,,2013,lead,WOMEN
35,36,Szekely,Andrea Brigitta,HUN,22.00,,,,15. 22.00,,,,,2013,lead,WOMEN
