,Rank,Name,Name.1,Nation,Points,Wujiang 19.10.2013,Haiyang 15.10.2013,Mokpo 11.10.2013,Perm 27.09.2013,Arco 07.09.2013,Baku 22.06.2013,Chongqing 22.03.2013,2013,event,gender
0,1,Gaidamakina,Alina,RUS,515.00,4. 55.00,1. 100.00,2. 80.00,1. 100.00,1. 100.00,2. 80.00,9. (37.00),2013,speed,WOMEN
1,2,Kaplina,Iuliia,RUS,471.00,1. 100.00,4. 55.00,1. 100.00,7. (43.00),5. 51.00,1. 100.00,3. 65.00,2013,speed,WOMEN
2,3,Miroslaw,Aleksandra,POL,402.00,5. 51.00,2. 80.00,5. 51.00,4. 55.00,17. (16.00),3. 65.00,1. 100.00,2013,speed,WOMEN
3,4,Krasavina,Mariia,RUS,388.00,2. 80.00,3. 65.00,4. 55.00,3. 65.00,2. 80.00,7. 43.00,7. (43.00),2013,speed,WOMEN
4,5,Levochkina,Yuliya,RUS,377.00,3. 65.00,6. 47.00,3. 65.00,2. 80.00,8. 40.00,8. (40.00),2. 80.00,2013,speed,WOMEN
5,6,Jaubert,Anouck,FRA,291.00,8. 40.00,5. 51.00,7. 43.00,8. (40.00),4. 55.00,6. 47.00,4. 55.00,2013,speed,WOMEN
6,7,Buczek,Klaudia,POL,233.00,7. 43.00,14. 24.00,8. 40.00,5. 51.00,15. (22.00),5. 51.00,14. 24.00,2013,speed,WOMEN
7,8,Heitz,Margot,FRA,209.00,13. 26.00,12. 28.00,9. 37.00,18. 16.00,17. (16.00),4. 55.00,6. 47.00,2013,speed,WOMEN
8,9,Prokopiuk,Monika,POL,196.00,10. 34.00,11. 31.00,11. 31.00,9. 37.00,7. 43.00,22. (7.00),16. 20.00,2013,speed,WOMEN
9,10,Ropek,Edyta,POL,191.00,9. 37.00,13. 26.00,10. 34.00,20. 12.00,11. 31.00,,5. 51.00,2013,speed,WOMEN
10,11,Marenych,Alla,UKR,164.00,12. 28.00,8. 40.00,12. 28.00,,9. 37.00,11. 31.00,,2013,speed,WOMEN
11,12,Polekhina,Kseniya,RUS,112.00,,,,6. 47.00,3. 65.00,,,2013,speed,WOMEN
12,13,Savisko,Anastasiya,UKR,105.00,11. 31.00,9. 37.00,,,,9. 37.00,,2013,speed,WOMEN
13,14,Esmaeilzadeh,Farnaz,IRI,93.00,20. 12.00,10. 34.00,6. 47.00,,,,,2013,speed,WOMEN
14,15,Tita,Supita,INA,90.00,6. 47.00,7. 43.00,,,,,,2013,speed,WOMEN
15,16,Pichler,Stefanie,AUT,88.00,,,,12. 28.00,10. 34.00,13. 26.00,,2013,speed,WOMEN
16,17,Saurwein,Katharina,AUT,82.00,18. 16.00,,13. 26.00,,14. 24.00,,18. 16.00,2013,speed,WOMEN
17,18,Tsyganova,Anna,RUS,71.00,,,,14. 24.00,6. 47.00,,,2013,speed,WOMEN
18,19,He,CuiLian,CHN,66.00,15. 22.00,15. 22.00,,,,,15. 22.00,2013,speed,WOMEN
19,20,Iakovleva,Natalia,RUS,65.00,,,,10. 34.00,,,11. 31.00,2013,speed,WOMEN
20,21,Ulzhabayeva,Tamara,KAZ,60.00,,,,,,10. 34.00,13. 26.00,2013,speed,WOMEN
21,22,PAN,Xuhua,CHN,44.00,14. 24.00,16. 20.00,,,,,,2013,speed,WOMEN
22,23,Chudziak,Patrycja,POL,42.00,,,,15. 22.00,16. 20.00,,,2013,speed,WOMEN
23,24,Bruckner,Esther,FRA,40.00,,,,,,,8. 40.00,2013,speed,WOMEN
24,25,RENQING,LaMu,CHN,36.00,17. 18.00,17. 18.00,,,,,,2013,speed,WOMEN
25,25,RenZeng,WangMu,CHN,36.00,16. 20.00,18. 16.00,,,,,,2013,speed,WOMEN
26,27,wang,yang,CHN,34.00,,,,,,,10. 34.00,2013,speed,WOMEN
27,28,Motovilova,Svetlana,RUS,31.00,,,,11. 31.00,,,,2013,speed,WOMEN
28,29,Golikova,Anastasiia,RUS,28.00,,,,,,12. 28.00,,2013,speed,WOMEN
29,29,Ota,Risa,JPN,28.00,19. 14.00,19. 14.00,,,,,,2013,speed,WOMEN
30,29,Titova,Natalia,RUS,28.00,,,,,,,12. 28.00,2013,speed,WOMEN
31,29,Zaichenko,Anastasiya,UKR,28.00,,,,,12. 28.00,,,2013,speed,WOMEN
32,33,Shatalova,Varvara,RUS,26.00,,,,13. 26.00,,,,2013,speed,WOMEN
33,33,Zanetti,Martina,ITA,26.00,,,,,13. 26.00,,,2013,speed,WOMEN
34,35,Lach,Nina,AUT,25.00,,,,22. 9.00,17. 16.00,,,2013,speed,WOMEN
35,36,Elmer,Alexandra,AUT,24.00,,,,,,14. 24.00,,2013,speed,WOMEN
36,36,Jeong,Woonwha,KOR,24.00,,,14. 24.00,,,,,2013,speed,WOMEN
37,38,Brozek,Anna,POL,22.00,,,,,,15. 22.00,,2013,speed,WOMEN
38,39,Iskakova,Aliya,KAZ,20.00,,,,,,16. 20.00,,2013,speed,WOMEN
39,39,Timofeeva,Elena,RUS,20.00,,,,16. 20.00,,,,2013,speed,WOMEN
40,41,Huseynova,Konul,AZE,18.00,,,,,,17. 18.00,,2013,speed,WOMEN
41,41,Stepanova,Nataliia,RUS,18.00,,,,17. 18.00,,,,2013,speed,WOMEN
42,41,yang,weiling,CHN,18.00,,,,,,,17. 18.00,2013,speed,WOMEN
43,44,Sultanova,Aysel,AZE,16.00,,,,,,18. 16.00,,2013,speed,WOMEN
44,45,Bogdanova,Maria,RUS,14.00,,,,19. 14.00,,,,2013,speed,WOMEN
45,45,Hanina,Diana Vadim,AZE,14.00,,,,,,19. 14.00,,2013,speed,WOMEN
46,47,Seferova,Sima,AZE,12.00,,,,,,20. 12.00,,2013,speed,WOMEN
47,48,Krasavina,Nadazhda,RUS,10.00,,,,21. 10.00,,,,2013,speed,WOMEN
48,48,Mammadova,Reyhan,AZE,10.00,,,,,,21. 10.00,,2013,speed,WOMEN
49,50,Malysheva,Daria,RUS,8.00,,,,23. 8.00,,,,2013,speed,WOMEN
50,51,Khutorova,Yulia,RUS,7.00,,,,24. 7.00,,,,2013,speed,WOMEN
51,51,Piraliyeva,Ayten,AZE,7.00,,,,,,22. 7.00,,2013,speed,WOMEN
52,51,QULIYEVA,Sems,AZE,7.00,,,,,,22. 7.00,,2013,speed,WOMEN
53,51,Sima,Safarova,AZE,7.00,,,,,,22. 7.00,,2013,speed,WOMEN
