,Rank,Name,Name.1,Nation,Points,Laval 27.06.2014,Haiyang 20.06.2014,Vail 06.06.2014,Toronto 31.05.2014,Innsbruck 16.05.2014,Grindelwald 10.05.2014,Baku 03.05.2014,Chongqing 26.04.2014,2014,event,gender
0,1,Hojer,Jan,GER,558.00,4. 55.00,1. 100.00,7. 43.00,2. 80.00,10. (34.00),1. 100.00,2. 80.00,1. 100.00,2014,boulder,MEN
1,2,Sharafutdinov,Dmitrii,RUS,467.00,21. 9.00,7. 43.00,1. 100.00,,4. 55.00,2. 80.00,1. 100.00,2. 80.00,2014,boulder,MEN
2,3,Glairon Mondet,Guillaume,FRA,461.00,2. 80.00,3. 65.00,2. 80.00,1. 100.00,5. 51.00,10. 34.00,15. (22.00),5. 51.00,2014,boulder,MEN
3,4,Gelmanov,Rustam,RUS,337.00,1. 100.00,,20. 12.00,5. 51.00,3. 65.00,15. 22.00,3. 65.00,15. 22.00,2014,boulder,MEN
4,5,Fischhuber,Kilian,AUT,325.00,,,5. 51.00,8. 40.00,1. 100.00,3. 65.00,4. 55.00,19. 14.00,2014,boulder,MEN
5,6,McColl,Sean,CAN,302.00,7. 43.00,2. 80.00,3. 65.00,3. 65.00,8. 40.00,21. 9.00,,,2014,boulder,MEN
6,7,Bonder,Jeremy,FRA,272.00,3. 65.00,,4. 55.00,7. 43.00,22. 9.00,17. 18.00,5. 51.00,11. 31.00,2014,boulder,MEN
7,8,Kruder,Jernej,SLO,227.00,10. 32.00,,15. 22.00,9. 37.00,7. 43.00,6. 47.00,16. 20.00,13. 26.00,2014,boulder,MEN
8,9,CHON,Jongwon,KOR,195.00,15. 22.00,4. 55.00,16. 20.00,4. 55.00,,,,7. 43.00,2014,boulder,MEN
9,10,Verhoeven,Jorg,NED,193.00,17. 18.00,13. 26.00,17. 18.00,17. 18.00,14. 24.00,,14. 24.00,3. 65.00,2014,boulder,MEN
10,11,Kassay,James,AUS,192.00,16. 20.00,,26. 5.00,6. 47.00,27. 2.00,16. 20.00,7. 43.00,4. 55.00,2014,boulder,MEN
11,12,Fujii,Kokoro,JPN,178.00,,,6. 47.00,10. 34.00,13. 26.00,,6. 47.00,14. 24.00,2014,boulder,MEN
12,13,Hori,Tsukuru,JPN,172.00,29. (1.00),8. 40.00,25. 6.00,13. 26.00,23. 7.00,5. 51.00,28. 2.00,8. 40.00,2014,boulder,MEN
13,14,Rugens,Rolands,LAT,150.00,25. 5.00,,9. 37.00,16. 20.00,25. 5.00,12. 28.00,17. 18.00,9. 37.00,2014,boulder,MEN
14,15,Mecherzynski-Wiktor,Andrzej,POL,136.00,13. 26.00,9. 37.00,,,27. 2.00,9. 37.00,,10. 34.00,2014,boulder,MEN
15,16,Farrell,Thomas,AUS,95.00,18. 16.00,,13. 26.00,12. 28.00,15. 22.00,27. 3.00,,,2014,boulder,MEN
16,16,Levier,Alban,FRA,95.00,5. 51.00,,,,,29. 1.00,11. 31.00,20. 12.00,2014,boulder,MEN
17,18,Moroni,Gabriele,ITA,93.00,10. 32.00,,,,17. 18.00,7. 43.00,,,2014,boulder,MEN
18,19,Yamauchi,Makoto,JPN,92.00,,,,,,8. 40.00,10. 34.00,17. 18.00,2014,boulder,MEN
19,20,Danker,Stefan,GER,88.00,,,8. 40.00,14. 24.00,,14. 24.00,,,2014,boulder,MEN
20,21,Timonov,Vadim,RUS,87.00,23. 7.00,,,,12. 28.00,25. 5.00,,6. 47.00,2014,boulder,MEN
21,22,Caleyron,Thomas,FRA,85.00,8. 40.00,,23. 8.00,,9. 37.00,,,,2014,boulder,MEN
22,23,Sugimoto,Rei,JPN,83.00,,,,,,4. 55.00,,12. 28.00,2014,boulder,MEN
23,24,Ondra,Adam,CZE,80.00,,,,,2. 80.00,,,,2014,boulder,MEN
24,25,Tauporn,Thomas,GER,77.00,9. 37.00,,,,11. 31.00,21. 9.00,,,2014,boulder,MEN
25,26,Narasaki,Tomoa,JPN,75.00,,5. 51.00,,21. 10.00,,19. 14.00,,,2014,boulder,MEN
26,27,de Leeuw,Nicky,NED,71.00,14. 24.00,,,22. 9.00,20. 12.00,,13. 26.00,,2014,boulder,MEN
27,28,Vorotnikov,Vasya,USA,62.00,,,11. 31.00,11. 31.00,,,,,2014,boulder,MEN
28,29,Petrakov,Artem,RUS,57.00,,11. 31.00,,,,,21. 10.00,18. 16.00,2014,boulder,MEN
29,30,Ghisolfi,Stefano,ITA,47.00,,6. 47.00,,,,,,,2014,boulder,MEN
30,30,Julien,Stephane,FRA,47.00,6. 47.00,,,,,,,,2014,boulder,MEN
31,30,Piccolruaz,Michael,ITA,47.00,,,,,6. 47.00,,,,2014,boulder,MEN
32,33,Scarperi,Stefan,ITA,44.00,,,,,,,9. 37.00,24. 7.00,2014,boulder,MEN
33,34,Huerta,Mauricio,MEX,43.00,,,,28. 3.00,,,8. 40.00,,2014,boulder,MEN
34,35,Baumann,Jonas,GER,37.00,,,,,16. 20.00,,20. 12.00,26. 5.00,2014,boulder,MEN
35,36,Takata,Tomoaki,JPN,35.00,23. 7.00,,,,,,12. 28.00,,2014,boulder,MEN
36,37,Rubtsov,Aleksey,RUS,34.00,,10. 34.00,,,,,,,2014,boulder,MEN
37,37,Traversi,Carlo,USA,34.00,,,10. 34.00,,,,,,2014,boulder,MEN
38,39,Baratzadeh,Gholamali,IRI,32.00,21. 9.00,,,,,24. 7.00,18. 16.00,,2014,boulder,MEN
39,39,Heiniger,Kevin,SUI,32.00,19. 14.00,,,,27. 2.00,18. 16.00,,,2014,boulder,MEN
40,39,Larson,Josh,USA,32.00,,,12. 28.00,27. 4.00,,,,,2014,boulder,MEN
41,39,Qu,HaiBin,CHN,32.00,,12. 28.00,,,,,,27. 4.00,2014,boulder,MEN
42,43,Stranik,Martin,CZE,31.00,,,,,,11. 31.00,,,2014,boulder,MEN
43,44,D'Anastasio,Robert,USA,30.00,,,18. 16.00,19. 14.00,,,,,2014,boulder,MEN
44,45,Holowach,Jason,CAN,29.00,,,24. 7.00,15. 22.00,,,,,2014,boulder,MEN
45,46,Barrans,David,GBR,28.00,12. 28.00,,,,,,,,2014,boulder,MEN
46,47,Baltrunas,Kipras,LTU,26.00,,,,,,13. 26.00,,,2014,boulder,MEN
47,47,Lee,Donggun,KOR,26.00,,14. 24.00,29. 2.00,,,,,,2014,boulder,MEN
48,47,O'Rourke,Michael,USA,26.00,,,19. 14.00,20. 12.00,,,,,2014,boulder,MEN
49,50,Senbongi,Yosuke,JPN,24.00,,,14. 24.00,,,,,,2014,boulder,MEN
50,51,Seto,Keita,JPN,22.00,,15. 22.00,,,,,,,2014,boulder,MEN
51,52,Gavrilov,Vlas,RUS,20.00,,,,,,,,16. 20.00,2014,boulder,MEN
52,52,Phillips,Nathan,GBR,20.00,,16. 20.00,,,,,,,2014,boulder,MEN
53,54,Landman,Tyler,GBR,19.00,,,28. 3.00,18. 16.00,,,,,2014,boulder,MEN
54,54,Wang,Qinghua,CHN,19.00,,22. 9.00,,,,,,21. 10.00,2014,boulder,MEN
55,56,Higuchi,Masahiro,JPN,18.00,,17. 18.00,,,,,,,2014,boulder,MEN
56,57,Ter-Minasyan,Arman,RUS,17.00,,,,,19. 14.00,27. 3.00,,,2014,boulder,MEN
57,58,Kim,Jabee,KOR,16.00,,18. 16.00,,,,,,,2014,boulder,MEN
58,58,Skofic,Domen,SLO,16.00,,,,,18. 16.00,,,,2014,boulder,MEN
59,60,Jubes Angarita,Marco Antonio,ESP,15.00,,,,,,29. 1.00,19. 14.00,,2014,boulder,MEN
60,61,Qu,Changfeng,CHN,14.00,,19. 14.00,,,,,,,2014,boulder,MEN
61,62,Blaser,Benjamin,SUI,12.00,,,,,,20. 12.00,,,2014,boulder,MEN
62,62,Mawem,Mickael,FRA,12.00,20. 12.00,,,,,,,,2014,boulder,MEN
63,62,Park,Jihwan,KOR,12.00,,20. 12.00,,,,,,,2014,boulder,MEN
64,65,Conrad,Mathias,GER,11.00,,,,,27. 2.00,21. 9.00,,,2014,boulder,MEN
65,65,De Alba Flores,Santiago,MEX,11.00,,,,25. 6.00,,,25. 5.00,,2014,boulder,MEN
66,67,Becan,Jure,SLO,10.00,,,,,21. 10.00,,,,2014,boulder,MEN
67,67,Lamb,Andrew,USA,10.00,,,21. 10.00,,,,,,2014,boulder,MEN
68,67,Ma,ZiDa,CHN,10.00,,21. 10.00,,,,,,,2014,boulder,MEN
69,70,Coleman,Nathaniel,USA,9.00,,,22. 9.00,,,,,,2014,boulder,MEN
70,70,Glowka,Jakub,POL,9.00,,,,,,,,22. 9.00,2014,boulder,MEN
71,72,Bunsch,Piotr,POL,8.00,,,,,,,22. 8.00,,2014,boulder,MEN
72,72,Coley,Orrin,GBR,8.00,,,,,,,22. 8.00,,2014,boulder,MEN
73,72,Dornauer,Alfons,AUT,8.00,27. 3.00,,,,25. 5.00,,,,2014,boulder,MEN
74,72,Khaibullin,Rishat,KAZ,8.00,,,,,,,,23. 8.00,2014,boulder,MEN
75,72,Sethna,Eric,CAN,8.00,,,,23. 8.00,,,,,2014,boulder,MEN
76,72,Suolang,Jiacuo,CHN,8.00,,23. 8.00,,,,,,,2014,boulder,MEN
77,72,Zerr,Joel,USA,8.00,,,,,,,24. 7.00,30. 1.00,2014,boulder,MEN
78,79,Andersson,Daniel,SWE,7.00,,,,,23. 7.00,,,,2014,boulder,MEN
79,79,Eveleigh,Marc,CAN,7.00,,,,24. 7.00,,,,,2014,boulder,MEN
80,79,Tang,Siu-hei,HKG,7.00,,24. 7.00,,,,,,,2014,boulder,MEN
81,82,Ogata,Yoshiyuki,JPN,6.00,,,,,,,,25. 6.00,2014,boulder,MEN
82,82,Spencer,Nathaniel,USA,6.00,,25. 6.00,,,,,,,2014,boulder,MEN
83,84,Hemund,Kevin,SUI,5.00,,,,,,25. 5.00,,,2014,boulder,MEN
84,84,Sanchez González,Ignacio,ESP,5.00,,,,,,,25. 5.00,,2014,boulder,MEN
85,84,Uchida,Lucas,CAN,5.00,,,,26. 5.00,,,,,2014,boulder,MEN
86,84,Weiler,Elias,AUT,5.00,25. 5.00,,,,,,,,2014,boulder,MEN
87,88,Doustarian,Arash,IRI,4.00,,,,,,,27. 4.00,,2014,boulder,MEN
88,88,Woods,Daniel,USA,4.00,,,27. 4.00,,,,,,2014,boulder,MEN
89,90,Chan,Cheung-chi Shoji,HKG,3.00,,,,,,,,28. 3.00,2014,boulder,MEN
90,90,Khazanov,Alex,ISR,3.00,27. 3.00,,,,,,,,2014,boulder,MEN
91,92,Beliakov,Oleg,RUS,2.00,,,,,,,28. 2.00,,2014,boulder,MEN
92,92,Ruangrit,Winai,THA,2.00,,,,,,,,29. 2.00,2014,boulder,MEN
93,92,Schellingerhout,Elko,NED,2.00,,,,29. 2.00,,,,,2014,boulder,MEN
94,92,Söderin,Geir,SWE,2.00,,,,,27. 2.00,,,,2014,boulder,MEN
95,96,Catari Ramones,Carlos Jose,ESP,1.00,29. 1.00,,,,,,,,2014,boulder,MEN
96,96,Dabrundashvili,Guram,GEO,1.00,,,,,,,30. 1.00,,2014,boulder,MEN
97,96,Lazure,Sebastien,CAN,1.00,,,,30. 1.00,,,,,2014,boulder,MEN
98,96,Muller,Josh,CAN,1.00,,,30. 1.00,,,,,,2014,boulder,MEN
99,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,2014,boulder,MEN
