,Rank,Name,Name.1,Nation,Points,1531,1529,1528,1527,1526,1523,1524,1525,2014,event,gender,athlete_id
0,1,Schubert,Jakob,AUT,516.00,5. 51.00,4. 55.00,17. (18.00),1. 100.00,3. 65.00,3. 65.00,2. 80.00,1. 100.00,2014,lead,MEN,6550
1,2,McColl,Sean,CAN,440.00,2. 80.00,5. 51.00,5. 51.00,5. 51.00,2. 80.00,6. 47.00,9. (37.00),2. 80.00,2014,lead,MEN,5089
2,3,Ondra,Adam,CZE,428.00,1. 100.00,1. 100.00,19. 14.00,9. 37.00,1. 100.00,8. 40.00,27. (4.00),9. 37.00,2014,lead,MEN,8372
3,4,Desgranges,Romain,FRA,414.00,7. 43.00,7. (43.00),3. 65.00,3. 65.00,4. 55.00,2. 80.00,5. 51.00,4. 55.00,2014,lead,MEN,3554
4,5,Skofic,Domen,SLO,410.00,4. 55.00,3. 65.00,4. 55.00,2. 80.00,7. 43.00,14. (24.00),3. 65.00,6. 47.00,2014,lead,MEN,8958
5,6,Julian Puigblanque,Ramón,ESP,346.00,8. 40.00,25. (6.00),2. 80.00,4. 55.00,6. 47.00,4. 55.00,6. 47.00,15. 22.00,2014,lead,MEN,3521
6,7,Amma,Sachi,JPN,345.00,3. 65.00,2. 80.00,,,,1. 100.00,1. 100.00,,2014,lead,MEN,7225
7,8,Supper,Gautier,FRA,315.00,12. 28.00,8. 40.00,8. 40.00,8. 40.00,5. 51.00,5. 51.00,18. (16.00),3. 65.00,2014,lead,MEN,6498
8,9,Ghisolfi,Stefano,ITA,313.00,6. 47.00,18. 16.00,1. 100.00,6. 47.00,8. 40.00,16. 20.00,25. (6.00),7. 43.00,2014,lead,MEN,8323
9,10,Midtboe,Magnus,NOR,252.00,,6. 47.00,12. 28.00,10. 34.00,10. 34.00,10. 32.00,7. 43.00,10. 34.00,2014,lead,MEN,5800
10,11,Matsushima,Akito,JPN,217.00,11. 31.00,20. 12.00,6. 47.00,7. 43.00,,15. 22.00,11. 31.00,11. 31.00,2014,lead,MEN,3206
11,12,Min,Hyunbin,KOR,142.00,,,,11. 31.00,27. 3.00,9. 37.00,16. 20.00,5. 51.00,2014,lead,MEN,7229
12,13,Lechner,Mario,AUT,123.00,,14. 24.00,7. 43.00,17. 18.00,13. 26.00,,,20. 12.00,2014,lead,MEN,6987
13,14,Romain,Manuel,FRA,113.00,,,,,15. 22.00,7. 43.00,12. 28.00,16. 20.00,2014,lead,MEN,7056
14,15,Ballet,Thomas,FRA,111.00,,,,,12. 28.00,12. 28.00,4. 55.00,,2014,lead,MEN,7663
15,16,JonasMcRae,Elan,CAN,108.00,17. 18.00,19. 14.00,10. 34.00,14. 24.00,22. 9.00,,,22. 9.00,2014,lead,MEN,10080
16,16,Primozic,Urban,SLO,108.00,9. 37.00,,,,11. 31.00,,8. 40.00,,2014,lead,MEN,8137
17,18,Halenke,Sebastian,GER,105.00,13. 26.00,,,,9. 37.00,18. 16.00,13. 26.00,,2014,lead,MEN,9426
18,19,Vettorata,Francesco,ITA,98.00,10. 34.00,,,,16. 20.00,10. 32.00,20. 12.00,,2014,lead,MEN,10404
19,20,Korenaga,Keiichiro,JPN,95.00,,9. 37.00,,,17. 18.00,,,8. 40.00,2014,lead,MEN,10173
20,21,Park,Jihwan,KOR,80.00,,,,16. 20.00,,20. 12.00,15. 22.00,13. 26.00,2014,lead,MEN,7230
21,22,Timmermans,Loïc,BEL,72.00,15. 22.00,23. 8.00,18. 16.00,24. 7.00,19. 14.00,,,26. 5.00,2014,lead,MEN,9492
22,23,Cano Blazquez,Javier,ESP,62.00,26. 5.00,29. 2.00,13. 26.00,15. 22.00,,,24. 7.00,,2014,lead,MEN,7999
23,24,Fakiryanov,Dmitrii,RUS,60.00,,,,,,13. 26.00,10. 34.00,,2014,lead,MEN,10279
24,25,KIM,Hanwool,KOR,56.00,,,,13. 26.00,20. 12.00,,,17. 18.00,2014,lead,MEN,8503
