,Rank,Name,Name.1,Nation,Points,Wujiang 18.10.2014,Mokpo 11.10.2014,Arco 30.08.2014,Chamonix 10.07.2014,Haiyang 20.06.2014,Baku 03.05.2014,Chongqing 26.04.2014,2014,event,gender
0,1,Boldyrev,Danyil,UKR,461.00,10. (34.00),3. 65.00,5. 51.00,1. 100.00,3. 65.00,1. 100.00,2. 80.00,2014,speed,MEN
1,2,Hroza,Libor,CZE,419.00,2. 80.00,2. 80.00,1. 100.00,7. 43.00,8. (40.00),5. 51.00,3. 65.00,2014,speed,MEN
2,3,Dzienski,Marcin,POL,402.00,8. 40.00,1. 100.00,4. 55.00,2. 80.00,2. 80.00,11. (31.00),6. 47.00,2014,speed,MEN
3,4,Zhong,QiXin,CHN,365.00,1. 100.00,,16. 20.00,8. 40.00,1. 100.00,3. 65.00,8. 40.00,2014,speed,MEN
4,5,Mawem,Bassa,FRA,361.00,3. 65.00,4. 55.00,2. 80.00,4. 55.00,7. (43.00),4. 55.00,5. 51.00,2014,speed,MEN
5,6,Kokorin,Stanislav,RUS,339.00,4. 55.00,7. 43.00,6. 47.00,16. (20.00),6. 47.00,6. 47.00,1. 100.00,2014,speed,MEN
6,7,Vaitsekhovskii,Evgenii,RUS,312.00,6. 47.00,5. 51.00,15. (22.00),14. 24.00,4. 55.00,2. 80.00,4. 55.00,2014,speed,MEN
7,8,Shevchenko,Arsenii,RUS,247.00,7. 43.00,6. 47.00,7. 43.00,10. 34.00,9. 37.00,7. 43.00,11. (31.00),2014,speed,MEN
8,9,Nambot,Quentin,FRA,165.00,9. 37.00,9. 37.00,8. 40.00,5. 51.00,,,,2014,speed,MEN
9,10,Gontero,Leonardo,ITA,124.00,,,9. 37.00,11. 31.00,,10. 34.00,15. 22.00,2014,speed,MEN
10,11,Gontaryk,Yaroslav,UKR,120.00,,,14. 24.00,19. 13.00,,8. 40.00,7. 43.00,2014,speed,MEN
11,12,Santoni,Alessandro,ITA,112.00,,,3. 65.00,6. 47.00,,,,2014,speed,MEN
12,13,Stewart-Patterson,Robert,CAN,109.00,13. 26.00,8. 40.00,22. 9.00,17. 18.00,,,18. 16.00,2014,speed,MEN
13,14,Shikov,Aleksandr,RUS,107.00,5. 51.00,,12. 28.00,12. 28.00,,,,2014,speed,MEN
14,15,Komosinski,Jedrzej,POL,101.00,,,11. 31.00,18. 16.00,,12. 28.00,13. 26.00,2014,speed,MEN
15,16,Alipourshenazandifar,Reza,IRI,89.00,,,,3. 65.00,,14. 24.00,,2014,speed,MEN
