,Rank,Name,Name.1,Nation,Points,Laval 27.06.2014,Haiyang 20.06.2014,Vail 06.06.2014,Toronto 31.05.2014,Innsbruck 16.05.2014,Grindelwald 10.05.2014,Baku 03.05.2014,Chongqing 26.04.2014,2014,event,gender
0,1,Noguchi,Akiyo,JPN,610.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,3. 65.00,4. (55.00),2. 80.00,3. 65.00,2014,boulder,WOMEN
1,2,Coxsey,Shauna,GBR,556.00,5. 51.00,2. 80.00,5. (51.00),2. 80.00,1. 100.00,1. 100.00,3. 65.00,2. 80.00,2014,boulder,WOMEN
2,3,Stöhr,Anna,AUT,488.00,6. 47.00,3. 65.00,3. 65.00,8. (40.00),2. 80.00,2. 80.00,1. 100.00,5. 51.00,2014,boulder,WOMEN
3,4,Wurm,Juliane,GER,430.00,3. 65.00,5. 51.00,7. 43.00,5. 51.00,8. (40.00),3. 65.00,4. 55.00,1. 100.00,2014,boulder,WOMEN
4,5,Nonaka,Miho,JPN,300.00,2. 80.00,6. 47.00,11. 31.00,4. 55.00,6. 47.00,8. 40.00,,,2014,boulder,WOMEN
5,6,Puccio,Alex,USA,289.00,,,10. 34.00,3. 65.00,9. 37.00,5. 51.00,6. 47.00,4. 55.00,2014,boulder,WOMEN
6,7,Thévenet,Marine,FRA,277.00,9. 37.00,,6. 47.00,14. 24.00,5. 51.00,12. 28.00,7. 43.00,6. 47.00,2014,boulder,WOMEN
7,8,Gibert,Fanny,FRA,270.00,4. 55.00,,2. 80.00,12. 28.00,13. 26.00,23. 7.00,11. 31.00,7. 43.00,2014,boulder,WOMEN
8,9,Saurwein,Katharina,AUT,197.00,16. 20.00,8. 40.00,9. 37.00,16. 20.00,7. 43.00,,12. 28.00,21. 9.00,2014,boulder,WOMEN
9,10,Oda,Momoka,JPN,174.00,,10. 34.00,,,10. 32.00,10. 34.00,8. 40.00,10. 34.00,2014,boulder,WOMEN
10,11,Klingler,Petra,SUI,171.00,14. 24.00,7. 43.00,,7. 43.00,25. 5.00,18. 16.00,,8. 40.00,2014,boulder,WOMEN
11,12,Retschy,Monika,GER,141.00,18. 16.00,,12. 28.00,10. 34.00,12. 28.00,,13. 26.00,21. 9.00,2014,boulder,WOMEN
12,13,Onoe,Aya,JPN,136.00,12. 28.00,12. 28.00,15. 22.00,18. 16.00,19. 13.00,29. 1.00,,12. 28.00,2014,boulder,WOMEN
