,Rank,Name,Name.1,Nation,Points,Wujiang 18.10.2014,Mokpo 11.10.2014,Arco 30.08.2014,Chamonix 10.07.2014,Haiyang 20.06.2014,Baku 03.05.2014,Chongqing 26.04.2014,2014,event,gender
0,1,Krasavina,Mariia,RUS,510.00,1. 100.00,6. (47.00),3. 65.00,3. 65.00,1. 100.00,1. 100.00,2. 80.00,2014,speed,WOMEN
1,2,Kaplina,Iuliia,RUS,476.00,3. 65.00,1. 100.00,15. (22.00),5. 51.00,2. 80.00,2. 80.00,1. 100.00,2014,speed,WOMEN
2,3,Jaubert,Anouck,FRA,455.00,2. 80.00,2. 80.00,1. 100.00,4. (55.00),3. 65.00,3. 65.00,3. 65.00,2014,speed,WOMEN
3,4,Buczek,Klaudia,POL,290.00,4. 55.00,4. 55.00,18. (16.00),7. 43.00,7. 43.00,7. 43.00,5. 51.00,2014,speed,WOMEN
4,5,Levochkina,Yuliya,RUS,265.00,,,2. 80.00,12. 28.00,5. 51.00,5. 51.00,4. 55.00,2014,speed,WOMEN
5,6,Miroslaw,Aleksandra,POL,250.00,,,16. 20.00,2. 80.00,4. 55.00,4. 55.00,8. 40.00,2014,speed,WOMEN
6,7,Gaidamakina,Alina,RUS,242.00,,,13. 26.00,1. 100.00,6. 47.00,6. 47.00,15. 22.00,2014,speed,WOMEN
7,7,Prokopiuk,Monika,POL,242.00,7. 43.00,5. 51.00,6. 47.00,8. 40.00,9. 37.00,15. (22.00),14. 24.00,2014,speed,WOMEN
8,9,Ropek,Edyta,POL,225.00,5. 51.00,8. 40.00,9. 37.00,16. (20.00),10. 34.00,13. 26.00,9. 37.00,2014,speed,WOMEN
9,10,Chudziak,Patrycja,POL,204.00,6. 47.00,3. 65.00,4. 55.00,9. 37.00,,,,2014,speed,WOMEN
10,11,Marenych,Alla,UKR,194.00,8. 40.00,7. 43.00,5. 51.00,19. 14.00,,16. 20.00,13. 26.00,2014,speed,WOMEN
11,12,Tsyganova,Anna,RUS,133.00,,,7. 43.00,18. 16.00,,8. 40.00,10. 34.00,2014,speed,WOMEN
12,13,Elmer,Alexandra,AUT,105.00,,,10. 34.00,6. 47.00,,14. 24.00,,2014,speed,WOMEN
13,14,Heitz,Margot,FRA,89.00,,,,14. 24.00,,10. 34.00,11. 31.00,2014,speed,WOMEN
14,15,Polekhina,Kseniya,RUS,84.00,,,,,,9. 37.00,6. 47.00,2014,speed,WOMEN
