,Rank,Name,Name.1,Nation,Points,Kranj 14.11.2015,Wujiang 17.10.2015,Puurs 26.09.2015,Stavanger 21.08.2015,Imst 31.07.2015,Briançon 17.07.2015,Chamonix 10.07.2015,2015,event,gender
0,1,Ondra,Adam,CZE,458.00,1. 100.00,1. 100.00,10. (32.00),2. 80.00,4. 55.00,7. 43.00,2. 80.00,2015,lead,MEN
1,2,Supper,Gautier,FRA,400.00,8. (40.00),7. 43.00,4. 55.00,1. 100.00,5. 51.00,1. 100.00,5. 51.00,2015,lead,MEN
2,3,Schubert,Jakob,AUT,396.00,3. 65.00,5. 51.00,2. 80.00,4. 55.00,2. 80.00,3. 65.00,6. (47.00),2015,lead,MEN
3,4,Skofic,Domen,SLO,376.00,5. 51.00,2. 80.00,1. 100.00,7. 43.00,3. 65.00,9. 37.00,9. (37.00),2015,lead,MEN
4,5,Desgranges,Romain,FRA,354.00,6. 47.00,12. (28.00),6. 47.00,3. 65.00,1. 100.00,8. 40.00,4. 55.00,2015,lead,MEN
5,6,Julian Puigblanque,Ramón,ESP,335.00,4. 55.00,4. 55.00,3. 65.00,10. 34.00,13. 26.00,26. (5.00),1. 100.00,2015,lead,MEN
6,7,Halenke,Sebastian,GER,259.00,12. 28.00,6. 47.00,10. 32.00,8. 40.00,6. 47.00,12. (27.00),3. 65.00,2015,lead,MEN
7,8,McColl,Sean,CAN,253.00,2. 80.00,3. 65.00,,13. 26.00,,5. 51.00,11. 31.00,2015,lead,MEN
8,9,Ghisolfi,Stefano,ITA,252.00,13. 26.00,26. (5.00),5. 51.00,5. 51.00,10. 34.00,6. 47.00,7. 43.00,2015,lead,MEN
9,10,Nakano,Minoru,JPN,240.00,7. 43.00,8. 40.00,14. 24.00,,11. 31.00,2. 80.00,15. 22.00,2015,lead,MEN
10,11,Joannes,Thomas,FRA,177.00,15. 22.00,,13. 26.00,14. 24.00,8. 40.00,11. 31.00,10. 34.00,2015,lead,MEN
11,12,Vettorata,Francesco,ITA,165.00,10. 34.00,11. 31.00,9. 37.00,6. 47.00,22. 9.00,24. 7.00,,2015,lead,MEN
12,13,Primozic,Urban,SLO,163.00,14. 24.00,,12. 28.00,11. 31.00,7. 43.00,12. 27.00,21. 10.00,2015,lead,MEN
13,14,Timmermans,Loïc,BEL,134.00,20. 12.00,17. 18.00,15. 22.00,12. 28.00,16. 20.00,10. 34.00,24. (7.00),2015,lead,MEN
14,15,Rudigier,Max,AUT,124.00,17. 18.00,15. 22.00,8. 40.00,15. 22.00,15. 22.00,,,2015,lead,MEN
15,16,Midtboe,Magnus,NOR,113.00,,,,9. 37.00,12. 28.00,16. 20.00,12. 28.00,2015,lead,MEN
16,17,Korenaga,Keiichiro,JPN,96.00,16. 20.00,10. 34.00,,,,17. 18.00,14. 24.00,2015,lead,MEN
17,18,Fakiryanov,Dmitrii,RUS,95.00,,,,,,4. 55.00,8. 40.00,2015,lead,MEN
18,19,Higuchi,Masahiro,JPN,85.00,27. 4.00,,7. 43.00,,,15. 22.00,18. 16.00,2015,lead,MEN
19,20,Hanke,Christoph,GER,81.00,26. 5.00,21. 10.00,16. 20.00,16. 20.00,28. 2.00,14. 24.00,,2015,lead,MEN
20,21,Chernikov,Mikhail,RUS,74.00,,,25. 6.00,18. 16.00,18. 16.00,18. 16.00,16. 20.00,2015,lead,MEN
21,22,JonasMcRae,Elan,CAN,69.00,18. 16.00,13. 26.00,24. 7.00,29. 2.00,21. 10.00,23. 8.00,,2015,lead,MEN
22,23,Hanssens,Stephane,BEL,62.00,,,18. 16.00,22. 9.00,9. 37.00,,,2015,lead,MEN
23,24,Lechner,Mario,AUT,46.00,22. 9.00,18. 16.00,22. 9.00,20. 12.00,,,,2015,lead,MEN
24,25,Bombardi,Marcello,ITA,42.00,,,21. 10.00,19. 14.00,17. 18.00,,,2015,lead,MEN
25,26,Ballet,Thomas,FRA,40.00,24. 7.00,,26. 5.00,17. 18.00,,21. 10.00,,2015,lead,MEN
26,26,Park,Jihwan,KOR,40.00,,,,,14. 24.00,27. 4.00,20. 12.00,2015,lead,MEN
27,26,Takata,Tomoaki,JPN,40.00,19. 14.00,27. 4.00,28. 2.00,26. 5.00,20. 12.00,29. (2.00),27. 3.00,2015,lead,MEN
28,29,Röck,Bernhard,AUT,38.00,,14. 24.00,,23. 8.00,25. 6.00,,,2015,lead,MEN
29,30,Amma,Sachi,JPN,37.00,9. 37.00,,,,,,,2015,lead,MEN
30,30,Shimatani,Naoki,JPN,37.00,,9. 37.00,,,,,,2015,lead,MEN
31,32,Blein,Charli,FRA,36.00,,,17. 18.00,,,,17. 18.00,2015,lead,MEN
32,33,Hojer,Jan,GER,31.00,11. 31.00,,,,,,,2015,lead,MEN
33,34,Nomura,Shinichiro,JPN,28.00,,16. 20.00,,,,,23. 8.00,2015,lead,MEN
34,35,Hada,Yuki,JPN,26.00,,,,,,,13. 26.00,2015,lead,MEN
35,36,Bonzom,Maël,FRA,25.00,23. 8.00,,19. 14.00,,,,27. 3.00,2015,lead,MEN
36,37,Lehmann,Sascha,SUI,20.00,25. 6.00,,,,,,19. 14.00,2015,lead,MEN
37,38,Hakamada,Naoto,JPN,18.00,,23. 8.00,,27. 4.00,,25. 6.00,,2015,lead,MEN
38,38,KIM,Hanwool,KOR,18.00,,,,,30. 1.00,20. 12.00,26. 5.00,2015,lead,MEN
39,38,Parmentier,Hugo,FRA,18.00,,,,,,22. 9.00,22. 9.00,2015,lead,MEN
40,41,Bergant,Martin,SLO,15.00,30. 1.00,,,,,19. 14.00,,2015,lead,MEN
41,42,Lightner,Kai,USA,14.00,,,,,19. 14.00,,,2015,lead,MEN
42,42,Puman,Hannes,SWE,14.00,,,,25. 6.00,23. 8.00,,,2015,lead,MEN
43,42,Qu,HaiBin,CHN,14.00,,19. 14.00,,,,,,2015,lead,MEN
44,45,Cano Blazquez,Javier,ESP,12.00,,,20. 12.00,,,,,2015,lead,MEN
45,45,Ma,ZiDa,CHN,12.00,,20. 12.00,,,,,,2015,lead,MEN
46,47,Mobråten,Martin,NOR,10.00,,,,21. 10.00,,,,2015,lead,MEN
47,47,Reuser,Tim,NED,10.00,21. 10.00,,,,,,,2015,lead,MEN
48,49,Wang,Qinghua,CHN,9.00,,22. 9.00,,,,,,2015,lead,MEN
49,50,Kauffmann,Antoine,BEL,8.00,,,23. 8.00,,,,,2015,lead,MEN
50,50,Schiestl,Matthias,AUT,8.00,,,,,26. 5.00,,27. 3.00,2015,lead,MEN
51,52,Firnenburg,Ruben,GER,7.00,,,,,24. 7.00,,,2015,lead,MEN
52,52,Köb,Lukas,AUT,7.00,,,,24. 7.00,,,,2015,lead,MEN
53,52,Qu,Changfeng,CHN,7.00,,24. 7.00,,,,,,2015,lead,MEN
54,55,Jech,Martin,CZE,6.00,,25. 6.00,,,,,,2015,lead,MEN
55,55,Kryukov,Valeriy,UKR,6.00,,,,,,,25. 6.00,2015,lead,MEN
56,57,Bydtaev,Sergei,RUS,4.00,,,,,27. 4.00,,,2015,lead,MEN
57,57,Tekles,Martin,GER,4.00,29. 2.00,,,,28. 2.00,,,2015,lead,MEN
58,57,Vogt,Dimitri,SUI,4.00,,,27. 4.00,,,,,2015,lead,MEN
59,60,Chan,Cheung-chi Shoji,HKG,3.00,,28. 3.00,,,,,,2015,lead,MEN
60,60,Parma,Georg,AUT,3.00,28. 3.00,,,,,,,2015,lead,MEN
61,60,Vernaison,Clement,FRA,3.00,,,,,,28. 3.00,,2015,lead,MEN
62,60,Wechsler,Or,ISR,3.00,,,,28. 3.00,,,,2015,lead,MEN
63,64,BianBa,ZhaXi,CHN,2.00,,29. 2.00,,,,,,2015,lead,MEN
64,64,Ferenc,Kamil,POL,2.00,,,28. 2.00,,,,,2015,lead,MEN
65,66,Bosi,William,GBR,1.00,,,30. 1.00,,,,,2015,lead,MEN
66,66,Cho,Seungwoon,KOR,1.00,,,,,,,30. 1.00,2015,lead,MEN
67,66,Högström,Magnus,SWE,1.00,,,,30. 1.00,,,,2015,lead,MEN
68,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,2015,lead,MEN
