,Rank,Name,Name.1,Nation,Points,1594,1588,1587,1581,1610,2015,event,gender,athlete_id
0,1,Zhong,QiXin,CHN,405.00,8. 40.00,3. 65.00,1. 100.00,1. 100.00,1. 100.00,2015,speed,MEN,7994
1,2,Hroza,Libor,CZE,322.00,2. 80.00,1. 100.00,5. 51.00,3. 65.00,13. 26.00,2015,speed,MEN,5651
2,3,Boldyrev,Danyil,UKR,295.00,4. 55.00,2. 80.00,2. 80.00,2. 80.00,,2015,speed,MEN,7964
3,4,Dzienski,Marcin,POL,277.00,5. 51.00,4. 55.00,8. 40.00,5. 51.00,2. 80.00,2015,speed,MEN,8525
4,5,Mawem,Bassa,FRA,254.00,3. 65.00,15. 22.00,6. 47.00,4. 55.00,3. 65.00,2015,speed,MEN,6
5,6,Shilov,Aleksandr,RUS,216.00,6. 47.00,8. 40.00,11. 31.00,6. 47.00,5. 51.00,2015,speed,MEN,12994
6,7,Alipourshenazandifar,Reza,IRI,208.00,1. 100.00,,3. 65.00,7. 43.00,,2015,speed,MEN,10635
7,8,Kokorin,Stanislav,RUS,169.00,7. 43.00,7. 43.00,4. 55.00,12. 28.00,,2015,speed,MEN,8560
8,8,Nambot,Quentin,FRA,169.00,10. 34.00,10. 34.00,7. 43.00,10. 34.00,14. 24.00,2015,speed,MEN,9771
9,10,Maimuratov,Amir,KAZ,128.00,,5. 51.00,9. 37.00,8. 40.00,,2015,speed,MEN,9619
10,11,Komosinski,Jedrzej,POL,117.00,,20. 12.00,10. 34.00,14. 24.00,6. 47.00,2015,speed,MEN,6980
11,12,Moro,Guillaume,FRA,110.00,13. 26.00,6. 47.00,,,9. 37.00,2015,speed,MEN,10052
12,13,Ou,ZhiYong,CHN,94.00,9. 37.00,,16. 20.00,9. 37.00,,2015,speed,MEN,13437
13,14,Stewart-Patterson,Robert,CAN,91.00,,18. 16.00,15. 22.00,11. 31.00,15. 22.00,2015,speed,MEN,9606
14,15,Vaitsekhovskii,Evgenii,RUS,82.00,16. 20.00,19. 14.00,12. 28.00,16. 20.00,,2015,speed,MEN,6132
15,16,Shevchenko,Arsenii,RUS,81.00,,13. 26.00,,,4. 55.00,2015,speed,MEN,9700
16,17,McColl,Sean,CAN,64.00,19. 14.00,,,24. 7.00,7. 43.00,2015,speed,MEN,5089
17,18,LIN,PengHui,CHN,62.00,14. 24.00,,20. 12.00,13. 26.00,,2015,speed,MEN,13436
18,19,Deulin,Vladislav,RUS,49.00,11. 31.00,17. 18.00,,,,2015,speed,MEN,10613
19,19,Gontero,Leonardo,ITA,49.00,,25. 5.00,14. 24.00,,16. 20.00,2015,speed,MEN,9436
20,21,Luzhetskii,Sergei,RUS,48.00,,,13. 26.00,15. 22.00,,2015,speed,MEN,9696
21,22,Brosler,John,USA,40.00,,,,,8. 40.00,2015,speed,MEN,11380
22,23,Timofeev,Dmitrii,RUS,37.00,,9. 37.00,,,,2015,speed,MEN,10851
23,24,Khaibullin,Rishat,KAZ,36.00,,,17. 18.00,17. 18.00,,2015,speed,MEN,9567
