,Rank,Name,Name.1,Nation,Points,Kranj 14.11.2015,Wujiang 17.10.2015,Puurs 26.09.2015,Stavanger 21.08.2015,Imst 31.07.2015,Briançon 17.07.2015,Chamonix 10.07.2015,2015,event,gender
0,1,Markovic,Mina,SLO,527.00,1. 100.00,6. 47.00,2. 80.00,1. 100.00,1. 100.00,8. (40.00),1. 100.00,2015,lead,WOMEN
1,2,KIM,Jain,KOR,461.00,4. 55.00,1. 100.00,1. 100.00,4. 55.00,12. (28.00),1. 100.00,5. 51.00,2015,lead,WOMEN
2,3,Pilz,Jessica,AUT,435.00,2. 80.00,3. 65.00,4. (55.00),2. 80.00,3. 65.00,2. 80.00,3. 65.00,2015,lead,WOMEN
3,4,Verhoeven,Anak,BEL,381.00,5. 51.00,2. 80.00,3. 65.00,3. 65.00,8. (40.00),3. 65.00,4. 55.00,2015,lead,WOMEN
4,5,Janicot,Hélène,FRA,298.00,6. 47.00,4. 55.00,7. 43.00,5. 51.00,4. 55.00,11. (31.00),6. 47.00,2015,lead,WOMEN
5,6,Kobayashi,Yuka,JPN,234.00,12. 28.00,5. 51.00,8. 40.00,8. 40.00,5. 51.00,14. 24.00,15. (22.00),2015,lead,WOMEN
6,7,Garnbret,Janja,SLO,225.00,3. 65.00,,,,2. 80.00,,2. 80.00,2015,lead,WOMEN
7,8,Ota,Risa,JPN,217.00,10. 34.00,10. 32.00,,7. 43.00,13. 26.00,5. 51.00,11. 31.00,2015,lead,WOMEN
8,9,Kalan,Tjasa,SLO,207.00,26. (5.00),14. 24.00,10. 34.00,6. 47.00,6. 47.00,9. 37.00,17. 18.00,2015,lead,WOMEN
9,10,Becerra,Mathilde,FRA,201.00,7. 43.00,,13. 26.00,9. 37.00,16. 20.00,4. 55.00,16. 20.00,2015,lead,WOMEN
10,11,Chanourdie,Julia,FRA,175.00,9. 37.00,,5. 51.00,14. 24.00,10. 34.00,16. 20.00,22. 9.00,2015,lead,WOMEN
11,12,Posch,Katharina,AUT,173.00,15. 22.00,8. 40.00,11. 31.00,12. 28.00,14. 24.00,12. 28.00,21. (10.00),2015,lead,WOMEN
12,13,Schranz,Christine,AUT,171.00,8. 40.00,,15. 22.00,18. 16.00,7. 43.00,15. 22.00,12. 28.00,2015,lead,WOMEN
13,14,Miller,Delaney,USA,169.00,,13. 26.00,12. 28.00,24. 7.00,11. 31.00,7. 43.00,10. 34.00,2015,lead,WOMEN
14,15,Röck,Magdalena,AUT,166.00,11. 31.00,7. 43.00,9. 37.00,19. 14.00,24. 7.00,10. 34.00,26. (5.00),2015,lead,WOMEN
15,16,Romain,Salomé,FRA,117.00,27. 4.00,,6. 47.00,,15. 22.00,24. 7.00,9. 37.00,2015,lead,WOMEN
16,17,Fakhritdinova,Dinara,RUS,109.00,,,27. 3.00,27. 4.00,20. 12.00,6. 47.00,7. 43.00,2015,lead,WOMEN
17,18,Onoe,Aya,JPN,96.00,,12. 28.00,,16. 20.00,,23. 8.00,8. 40.00,2015,lead,WOMEN
18,19,Dufraisse,Alizée,FRA,94.00,16. 20.00,,16. 20.00,17. 18.00,28. 3.00,13. 26.00,24. 7.00,2015,lead,WOMEN
19,20,Lavarda,Jenny,ITA,86.00,23. 8.00,9. 37.00,22. 9.00,20. 12.00,21. 10.00,21. 10.00,,2015,lead,WOMEN
20,21,van Bergen,Nikki,NED,84.00,19. 14.00,,14. 24.00,,23. 8.00,19. 14.00,14. 24.00,2015,lead,WOMEN
21,22,Rosen,Kajsa,SWE,71.00,,,,10. 34.00,9. 37.00,,,2015,lead,WOMEN
22,23,Fredman,Netta,ISR,64.00,28. 3.00,10. 32.00,25. 6.00,21. 10.00,,28. 1.00,20. 12.00,2015,lead,WOMEN
23,24,Malamid,Evgeniia,RUS,62.00,,,30. 1.00,11. 31.00,27. 4.00,,13. 26.00,2015,lead,WOMEN
24,25,Schubert,Hannah,AUT,54.00,14. 24.00,,,,19. 14.00,18. 16.00,,2015,lead,WOMEN
25,26,Ghisolfi,Claudia,ITA,42.00,,,17. 18.00,,17. 18.00,25. 6.00,,2015,lead,WOMEN
26,26,Stotz,Rebekka,SUI,42.00,,,23. 7.00,13. 26.00,22. 9.00,,,2015,lead,WOMEN
27,28,Choong,Katherine,SUI,39.00,,,,15. 22.00,26. 5.00,20. 12.00,,2015,lead,WOMEN
28,29,Fiser,Julia,AUT,27.00,22. 9.00,,,,,17. 18.00,,2015,lead,WOMEN
29,30,Bacher,Barbara,AUT,26.00,29. 2.00,,18. 16.00,25. 6.00,29. 2.00,,,2015,lead,WOMEN
30,30,Noguchi,Akiyo,JPN,26.00,13. 26.00,,,,,,,2015,lead,WOMEN
31,32,Tajima,Aika,JPN,22.00,,15. 22.00,,,,,,2015,lead,WOMEN
32,33,Hafsaas,Tina Johnsen,NOR,21.00,,,20. 12.00,22. 9.00,,,,2015,lead,WOMEN
33,34,Vejmolova,Iva,CZE,20.00,20. 12.00,,,26. 5.00,30. 1.00,,29. 2.00,2015,lead,WOMEN
34,34,YOSHIMURA,Moe,JPN,20.00,,16. 20.00,,,,,,2015,lead,WOMEN
35,36,Hiroshige,Yuki,JPN,18.00,,17. 18.00,,,,,,2015,lead,WOMEN
36,36,Kamin,Rebeka,SLO,18.00,17. 18.00,,,,,,,2015,lead,WOMEN
37,36,Koller,Anne-Sophie,SUI,18.00,,,,,,27. 4.00,19. 14.00,2015,lead,WOMEN
38,39,Durif,Charlotte,FRA,16.00,,,,,,,18. 16.00,2015,lead,WOMEN
39,39,Kazbekova,Ievgeniia,UKR,16.00,,,,,18. 16.00,,,2015,lead,WOMEN
40,39,Shimizu,Natsuko,JPN,16.00,,18. 16.00,,,,,,2015,lead,WOMEN
41,39,Slemensek,Tjasa,SLO,16.00,18. 16.00,,,,,,,2015,lead,WOMEN
42,43,Ring,Alina,SUI,15.00,,,23. 7.00,23. 8.00,,,,2015,lead,WOMEN
43,44,BAIMA,YuZhen,CHN,14.00,,19. 14.00,,,,,,2015,lead,WOMEN
44,44,Thompson-Smith,Molly,GBR,14.00,,,19. 14.00,,,,,2015,lead,WOMEN
45,46,Gollo,Asja,ITA,13.00,,,,,25. 6.00,28. 1.00,25. 6.00,2015,lead,WOMEN
46,46,Kümin,Andrea,SUI,13.00,,,21. 10.00,,,,28. 3.00,2015,lead,WOMEN
47,48,PUBU,ZhuoMa,CHN,12.00,,20. 12.00,,,,,,2015,lead,WOMEN
48,49,Holfeld,Johanna,GER,10.00,21. 10.00,,,,,,,2015,lead,WOMEN
49,49,Hulliger,Michelle,SUI,10.00,24. 7.00,,27. 3.00,,,,,2015,lead,WOMEN
50,51,Berthier,Nolwen,FRA,9.00,,,26. 5.00,,,,27. 4.00,2015,lead,WOMEN
51,51,Terenteva,Galina,RUS,9.00,,,,,,22. 9.00,,2015,lead,WOMEN
52,53,Söderlund,Matilda,SWE,8.00,,,,,,,23. 8.00,2015,lead,WOMEN
53,54,Meke,Veronika,SLO,6.00,25. 6.00,,,,,,,2015,lead,WOMEN
54,55,Marigo,Léa,FRA,5.00,,,,,,26. 5.00,,2015,lead,WOMEN
55,56,Doumont,Heloïse,BEL,3.00,,,,29. 2.00,,28. 1.00,,2015,lead,WOMEN
56,56,Sandbu,Maria Davies,NOR,3.00,,,,28. 3.00,,,,2015,lead,WOMEN
57,58,Clostermann,Chiara Maria,GER,2.00,,,29. 2.00,,,,,2015,lead,WOMEN
58,59,Kim Theisen,Michelle,DEN,1.00,,,,30. 1.00,,,,2015,lead,WOMEN
59,59,RENQING,LaMu,CHN,1.00,,,,,,28. 1.00,,2015,lead,WOMEN
