,Rank,Name,Name.1,Nation,Points,Wujiang 17.10.2015,Chamonix 10.07.2015,Haiyang 26.06.2015,Chongqing 20.06.2015,Saanich15 17.05.2015,2015,event,gender
0,1,Krasavina,Mariia,RUS,400.00,1. 100.00,3. 65.00,4. 55.00,1. 100.00,2. 80.00,2015,speed,WOMEN
1,2,Jaubert,Anouck,FRA,390.00,2. 80.00,1. 100.00,1. 100.00,4. 55.00,4. 55.00,2015,speed,WOMEN
2,3,Kaplina,Iuliia,RUS,365.00,4. 55.00,2. 80.00,3. 65.00,3. 65.00,1. 100.00,2015,speed,WOMEN
3,4,Tsyganova,Anna,RUS,291.00,8. 40.00,4. 55.00,2. 80.00,5. 51.00,3. 65.00,2015,speed,WOMEN
4,5,Ropek,Edyta,POL,284.00,3. 65.00,5. 51.00,5. 51.00,2. 80.00,9. 37.00,2015,speed,WOMEN
5,6,Miroslaw,Aleksandra,POL,239.00,5. 51.00,7. 43.00,6. 47.00,6. 47.00,5. 51.00,2015,speed,WOMEN
6,7,Buczek,Klaudia,POL,198.00,7. 43.00,9. 37.00,8. 40.00,11. 31.00,6. 47.00,2015,speed,WOMEN
7,8,Chudziak,Patrycja,POL,148.00,,15. 22.00,7. 43.00,7. 43.00,8. 40.00,2015,speed,WOMEN
8,9,Marenych,Alla,UKR,131.00,6. 47.00,10. 34.00,12. 28.00,15. 22.00,,2015,speed,WOMEN
9,10,Prokopiuk,Monika,POL,117.00,,20. 12.00,9. 37.00,10. 34.00,10. 34.00,2015,speed,WOMEN
10,11,Lach,Nina,AUT,107.00,10. 34.00,18. 16.00,11. 31.00,13. 26.00,,2015,speed,WOMEN
11,12,Brozek,Anna,POL,102.00,16. 20.00,16. 20.00,15. 22.00,8. 40.00,,2015,speed,WOMEN
12,13,Sarisson,Aurelia,FRA,76.00,,12. 28.00,16. 20.00,,12. 28.00,2015,speed,WOMEN
13,14,Ulzhabayeva,Tamara,KAZ,71.00,,,10. 34.00,9. 37.00,,2015,speed,WOMEN
14,15,Motovilova,Svetlana,RUS,55.00,11. 31.00,14. 24.00,,,,2015,speed,WOMEN
15,16,Marlenova,Assel,KAZ,54.00,,,13. 26.00,12. 28.00,,2015,speed,WOMEN
16,17,Esmaeilzadeh,Farnaz,IRI,52.00,,22. 9.00,,,7. 43.00,2015,speed,WOMEN
17,18,Elmer,Alexandra,AUT,51.00,9. 37.00,19. 14.00,,,,2015,speed,WOMEN
18,19,Zhiznevskaya,Alexandra,KAZ,48.00,,,14. 24.00,14. 24.00,,2015,speed,WOMEN
19,20,Levochkina,Yuliya,RUS,47.00,,6. 47.00,,,,2015,speed,WOMEN
20,21,Timofeeva,Elena,RUS,40.00,,8. 40.00,,,,2015,speed,WOMEN
21,22,Rojas,Andrea,ECU,38.00,12. 28.00,21. 10.00,,,,2015,speed,WOMEN
22,23,Lugovenko,Yana,UKR,31.00,,11. 31.00,,,,2015,speed,WOMEN
23,23,Meister,Erica,USA,31.00,,,,,11. 31.00,2015,speed,WOMEN
24,25,Stewart-Patterson,Alison,CAN,28.00,,29. 2.00,,,13. 26.00,2015,speed,WOMEN
25,26,Gaidamakina,Alina,RUS,26.00,,13. 26.00,,,,2015,speed,WOMEN
26,26,PUBU,ZhuoMa,CHN,26.00,13. 26.00,,,,,2015,speed,WOMEN
27,28,Ota,Risa,JPN,24.00,14. 24.00,,,,,2015,speed,WOMEN
28,28,Trinidad,Sidney,USA,24.00,,,,,14. 24.00,2015,speed,WOMEN
29,30,KIM,Jain,KOR,22.00,15. 22.00,,,,,2015,speed,WOMEN
30,30,Moss,Elena,CAN,22.00,,,,,15. 22.00,2015,speed,WOMEN
31,32,Dube-Laroche,Maggy,CAN,20.00,,,,,16. 20.00,2015,speed,WOMEN
32,32,Sim,"Mingxin, Judith",SGP,20.00,,,,16. 20.00,,2015,speed,WOMEN
33,34,Golikova,Anastasiia,RUS,18.00,,17. 18.00,,,,2015,speed,WOMEN
34,34,Trottier,Evelyna,CAN,18.00,,,,,17. 18.00,2015,speed,WOMEN
35,36,Andrier,Victoire,FRA,8.00,,23. 8.00,,,,2015,speed,WOMEN
36,37,Deschamps,Margaux,FRA,7.00,,24. 7.00,,,,2015,speed,WOMEN
37,38,Pichler,Stefanie,AUT,5.00,,25. 5.00,,,,2015,speed,WOMEN
38,38,Zakharova,Margaryta,UKR,5.00,,25. 5.00,,,,2015,speed,WOMEN
39,40,Porta,Silvia,ITA,4.00,,27. 4.00,,,,2015,speed,WOMEN
40,41,Randi,Giorgia,ITA,3.00,,28. 3.00,,,,2015,speed,WOMEN
41,42,Kan,Daria,RUS,1.00,,30. 1.00,,,,2015,speed,WOMEN
42,5 best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,5 best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,5 best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,5 best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,5 best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,5 best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,5 best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,5 best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,5 best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,5 best competition results are counting for IFSC Climbing Worldcup 2015. Not counting points are in brackets.,2015,speed,WOMEN
