,Rank,Name,Name.1,Nation,Points,MunichWC 12.08.2016,VailWC 10.06.2016,TyrolWC 20.05.2016,NaviMumbaiWC 14.05.2016,ChongqingWC 30.04.2016,KazoWC 23.04.2016,MeiringenWC 15.04.2016,2016,event,gender
0,1,Narasaki,Tomoa,JPN,462.00,1. 100.00,2. 80.00,2. 80.00,2. 80.00,1. 100.00,15. 22.00,18. (16.00),2016,boulder,MEN
1,2,Fujii,Kokoro,JPN,395.00,8. 40.00,1. 100.00,10. (34.00),1. 100.00,4. 55.00,3. 65.00,9. 35.00,2016,boulder,MEN
2,3,Rubtsov,Aleksey,RUS,372.00,3. 65.00,3. 65.00,16. (20.00),3. 65.00,5. 51.00,13. 26.00,1. 100.00,2016,boulder,MEN
3,4,CHON,Jongwon,KOR,344.00,2. 80.00,13. 26.00,1. 100.00,4. 55.00,3. 65.00,,17. 18.00,2016,boulder,MEN
4,5,Gelmanov,Rustam,RUS,270.00,,5. 51.00,27. 3.00,5. 51.00,9. 37.00,1. 100.00,12. 28.00,2016,boulder,MEN
5,6,McColl,Sean,CAN,244.00,,6. 47.00,3. 65.00,10. 34.00,7. 43.00,7. 43.00,20. 12.00,2016,boulder,MEN
6,7,Stranik,Martin,CZE,214.00,17. 18.00,7. 43.00,6. 47.00,19. 14.00,,20. 12.00,2. 80.00,2016,boulder,MEN
7,8,Bonder,Jeremy,FRA,205.00,7. 43.00,,,6. 47.00,10. 34.00,4. 55.00,13. 26.00,2016,boulder,MEN
8,9,Hojer,Jan,GER,177.00,,21. 9.00,,18. 16.00,2. 80.00,9. 37.00,9. 35.00,2016,boulder,MEN
9,10,Kruder,Jernej,SLO,169.00,28. (3.00),11. 31.00,14. 24.00,15. 22.00,12. 28.00,8. 40.00,14. 24.00,2016,boulder,MEN
10,11,Levier,Alban,FRA,160.00,10. 34.00,,11. 31.00,,14. 24.00,18. 16.00,4. 55.00,2016,boulder,MEN
11,12,Sharafutdinov,Dmitrii,RUS,159.00,13. 26.00,,5. 51.00,,11. 31.00,5. 51.00,,2016,boulder,MEN
12,13,Verhoeven,Jorg,NED,143.00,,12. 28.00,,,6. 47.00,28. 3.00,3. 65.00,2016,boulder,MEN
13,14,Piccolruaz,Michael,ITA,142.00,15. 22.00,21. 9.00,17. 17.00,,19. 14.00,2. 80.00,,2016,boulder,MEN
14,14,Rugens,Rolands,LAT,142.00,,19. 13.00,4. 55.00,,17. 18.00,6. 47.00,21. 9.00,2016,boulder,MEN
15,16,Mawem,Mickael,FRA,134.00,5. 51.00,,9. 37.00,,,25. 5.00,7. 41.00,2016,boulder,MEN
16,17,Landman,Tyler,GBR,131.00,,10. 34.00,,,15. 22.00,12. 28.00,6. 47.00,2016,boulder,MEN
17,17,Ogata,Yoshiyuki,JPN,131.00,29. 1.00,4. 55.00,,9. 37.00,23. 7.00,11. 31.00,,2016,boulder,MEN
18,19,Cornu,Manuel,FRA,111.00,6. 47.00,,7. 43.00,,23. 7.00,19. 14.00,,2016,boulder,MEN
19,20,Moroni,Gabriele,ITA,100.00,,9. 37.00,15. 22.00,,,,7. 41.00,2016,boulder,MEN
20,21,Hori,Tsukuru,JPN,95.00,25. 5.00,25. 5.00,,12. 28.00,13. 26.00,,11. 31.00,2016,boulder,MEN
