,Rank,Name,Name.1,Nation,Points,KranjWC 26.11.2016,XiamenWC 22.10.2016,ArcoWC 26.08.2016,ImstWC 19.08.2016,BriançonWC 22.07.2016,VillarsWC 15.07.2016,ChamonixWC 11.07.2016,2016,event,gender
0,1,Skofic,Domen,SLO,472.00,2. 80.00,9. 37.00,4. 55.00,1. 100.00,1. 100.00,13. (25.00),1. 100.00,2016,lead,MEN
1,2,Schubert,Jakob,AUT,402.00,3. 65.00,3. 65.00,2. 80.00,2. 80.00,8. (40.00),6. 47.00,3. 65.00,2016,lead,MEN
2,3,Desgranges,Romain,FRA,380.00,7. 43.00,5. 51.00,1. 100.00,4. 55.00,2. 80.00,27. (4.00),5. 51.00,2016,lead,MEN
3,4,Ghisolfi,Stefano,ITA,356.00,4. 55.00,1. 100.00,9. 37.00,6. 47.00,9. 37.00,9. (37.00),2. 80.00,2016,lead,MEN
4,5,Supper,Gautier,FRA,281.00,13. 26.00,4. 55.00,22. (9.00),3. 65.00,4. 55.00,13. 25.00,4. 55.00,2016,lead,MEN
5,6,McColl,Sean,CAN,279.00,9. 37.00,10. 34.00,,,3. 65.00,1. 100.00,7. 43.00,2016,lead,MEN
6,7,Halenke,Sebastian,GER,255.00,1. 100.00,,6. 47.00,5. 51.00,26. 5.00,26. 5.00,6. 47.00,2016,lead,MEN
7,8,Joannes,Thomas,FRA,232.00,10. 34.00,6. 47.00,11. 31.00,11. 31.00,15. (22.00),3. 65.00,14. 24.00,2016,lead,MEN
8,9,Higuchi,Masahiro,JPN,213.00,14. 24.00,7. 43.00,,13. 26.00,5. 51.00,7. 43.00,13. 26.00,2016,lead,MEN
9,10,Primozic,Urban,SLO,199.00,6. 47.00,,12. 28.00,17. 18.00,7. 43.00,5. 51.00,20. 12.00,2016,lead,MEN
10,11,Korenaga,Keiichiro,JPN,197.00,24. 7.00,20. 12.00,14. 24.00,9. 37.00,,2. 80.00,9. 37.00,2016,lead,MEN
11,12,Fakiryanov,Dmitrii,RUS,196.00,5. 51.00,2. 80.00,3. 65.00,,,,,2016,lead,MEN
12,13,KIM,Hanwool,KOR,190.00,,8. 40.00,13. 26.00,8. 40.00,11. 31.00,15. 22.00,11. 31.00,2016,lead,MEN
13,14,Vettorata,Francesco,ITA,173.00,11. 31.00,,7. 43.00,12. 28.00,12. 28.00,28. 3.00,8. 40.00,2016,lead,MEN
14,15,Lehmann,Sascha,SUI,133.00,23. 8.00,,16. 20.00,15. 22.00,6. 47.00,18. 16.00,16. 20.00,2016,lead,MEN
15,16,Julian Puigblanque,Ramón,ESP,128.00,,26. 5.00,8. 40.00,7. 43.00,13. 26.00,25. 6.00,23. 8.00,2016,lead,MEN
16,17,Bailey,Sean,USA,120.00,26. 5.00,,23. 8.00,,14. 24.00,4. 55.00,12. 28.00,2016,lead,MEN
17,18,Rudigier,Max,AUT,100.00,12. 28.00,17. 18.00,10. 34.00,16. 20.00,,,,2016,lead,MEN
18,19,Timmermans,Loïc,BEL,95.00,,11. 31.00,,10. 34.00,27. 4.00,20. 12.00,19. 14.00,2016,lead,MEN
19,20,Shimatani,Naoki,JPN,92.00,21. 10.00,19. 14.00,,,,10. 34.00,10. 34.00,2016,lead,MEN
