,Rank,Name,Name.1,Nation,Points,KranjWC 26.11.2016,XiamenWC 22.10.2016,ArcoWC 26.08.2016,ImstWC 19.08.2016,BriançonWC 22.07.2016,VillarsWC 15.07.2016,ChamonixWC 11.07.2016,2016,event,gender
0,1,Garnbret,Janja,SLO,530.00,3. 65.00,1. 100.00,3. 65.00,5. (51.00),1. 100.00,1. 100.00,1. 100.00,2016,lead,WOMEN
1,2,Verhoeven,Anak,BEL,495.00,1. 100.00,2. 80.00,1. 100.00,4. 55.00,8. (40.00),2. 80.00,2. 80.00,2016,lead,WOMEN
2,3,KIM,Jain,KOR,395.00,6. (47.00),3. 65.00,2. 80.00,3. 65.00,4. 55.00,3. 65.00,3. 65.00,2016,lead,WOMEN
3,4,Röck,Magdalena,AUT,345.00,,9. 37.00,9. 37.00,1. 100.00,3. 65.00,5. 51.00,4. 55.00,2016,lead,WOMEN
4,5,Markovic,Mina,SLO,306.00,4. 55.00,5. 51.00,5. 51.00,2. 80.00,,15. 22.00,6. 47.00,2016,lead,WOMEN
5,6,Kobayashi,Yuka,JPN,239.00,7. 43.00,11. 31.00,7. 43.00,12. 28.00,23. (8.00),7. 43.00,5. 51.00,2016,lead,WOMEN
6,7,Becerra,Mathilde,FRA,236.00,8. 40.00,10. 34.00,4. 55.00,17. (18.00),6. 47.00,13. 26.00,10. 34.00,2016,lead,WOMEN
7,8,Chanourdie,Julia,FRA,230.00,9. 37.00,6. 47.00,8. 40.00,6. 47.00,13. (26.00),12. 28.00,11. 31.00,2016,lead,WOMEN
8,9,Pilz,Jessica,AUT,223.00,13. 26.00,8. 40.00,,,2. 80.00,4. 55.00,15. 22.00,2016,lead,WOMEN
9,10,Janicot,Hélène,FRA,197.00,29. (1.00),13. 26.00,12. 28.00,11. 31.00,5. 51.00,9. 37.00,14. 24.00,2016,lead,WOMEN
10,11,Koller,Anne-Sophie,SUI,190.00,18. 16.00,,6. 47.00,8. 40.00,16. 20.00,14. 24.00,7. 43.00,2016,lead,WOMEN
11,12,Schranz,Christine,AUT,170.00,17. 18.00,,10. 34.00,9. 37.00,25. 6.00,6. 47.00,12. 28.00,2016,lead,WOMEN
12,13,Romain,Salomé,FRA,155.00,21. 10.00,7. 43.00,19. 14.00,13. 26.00,15. 22.00,8. 40.00,24. (7.00),2016,lead,WOMEN
