,Rank,Name,Name.1,Nation,Points,XiamenWC 22.10.2016,Wujiang 18.10.2016,ArcoWC 26.08.2016,VillarsWC 15.07.2016,ChamonixWC 11.07.2016,NanjingWC 07.05.2016,ChongqingWC 30.04.2016,2016,event,gender
0,1,Kaplina,Iuliia,RUS,520.00,2. 80.00,2. 80.00,2. 80.00,2. 80.00,25. (6.00),1. 100.00,1. 100.00,2016,speed,WOMEN
1,2,Jaubert,Anouck,FRA,506.00,4. 55.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,8. (40.00),5. 51.00,2016,speed,WOMEN
2,3,Buczek,Klaudia,POL,398.00,1. 100.00,4. 55.00,3. 65.00,11. (31.00),4. 55.00,7. 43.00,2. 80.00,2016,speed,WOMEN
3,4,Miroslaw,Aleksandra,POL,367.00,6. 47.00,3. 65.00,4. 55.00,16. (20.00),2. 80.00,4. 55.00,3. 65.00,2016,speed,WOMEN
4,5,Tsyganova,Anna,RUS,297.00,3. 65.00,15. 22.00,,8. 40.00,3. 65.00,3. 65.00,8. 40.00,2016,speed,WOMEN
5,6,Sarisson,Aurelia,FRA,266.00,8. 40.00,8. 40.00,5. 51.00,5. 51.00,15. (22.00),6. 47.00,9. 37.00,2016,speed,WOMEN
6,7,Marenych,Alla,UKR,251.00,16. 20.00,7. 43.00,9. 37.00,18. (16.00),12. 28.00,2. 80.00,7. 43.00,2016,speed,WOMEN
7,8,Brozek,Anna,POL,248.00,9. 37.00,5. 51.00,6. 47.00,4. 55.00,10. 34.00,14. 24.00,14. (24.00),2016,speed,WOMEN
8,9,Ropek,Edyta,POL,223.00,10. 34.00,14. 24.00,14. 24.00,7. 43.00,5. 51.00,,6. 47.00,2016,speed,WOMEN
9,10,Lach,Nina,AUT,199.00,13. 26.00,12. 28.00,10. 34.00,13. (26.00),8. 40.00,9. 37.00,10. 34.00,2016,speed,WOMEN
10,11,Motovilova,Svetlana,RUS,195.00,7. 43.00,6. 47.00,8. 40.00,10. 34.00,11. 31.00,,,2016,speed,WOMEN
11,12,Fleuret,Elma,FRA,177.00,5. 51.00,9. 37.00,,3. 65.00,14. 24.00,,,2016,speed,WOMEN
12,13,Andrier,Victoire,FRA,141.00,11. 31.00,10. 34.00,12. 28.00,26. 5.00,7. 43.00,,,2016,speed,WOMEN
13,14,Elmer,Alexandra,AUT,123.00,,,11. 31.00,14. 24.00,19. 14.00,12. 28.00,13. 26.00,2016,speed,WOMEN
14,15,He,CuiLian,CHN,115.00,15. 22.00,16. 20.00,,,,5. 51.00,15. 22.00,2016,speed,WOMEN
15,16,Chudziak,Patrycja,POL,95.00,,,15. 22.00,6. 47.00,13. 26.00,,,2016,speed,WOMEN
16,17,Timofeeva,Elena,RUS,91.00,,,7. 43.00,12. 28.00,16. 20.00,,,2016,speed,WOMEN
17,18,Ita Triana,Purnamasari,INA,89.00,,,,,,10. 34.00,4. 55.00,2016,speed,WOMEN
18,19,PUBU,ZhuoMa,CHN,87.00,14. 24.00,13. 26.00,,,,15. 22.00,18. 15.00,2016,speed,WOMEN
19,20,Pichler,Stefanie,AUT,81.00,,,,22. 9.00,21. 10.00,11. 31.00,11. 31.00,2016,speed,WOMEN
20,21,Kan,Daria,RUS,74.00,,,,9. 37.00,9. 37.00,,,2016,speed,WOMEN
21,22,Ivanova,Elizaveta,RUS,69.00,,,,15. 22.00,6. 47.00,,,2016,speed,WOMEN
22,23,Niu,Di,CHN,59.00,12. 28.00,11. 31.00,,,,,,2016,speed,WOMEN
23,24,Dhorifatus,Syafiiyah,INA,54.00,,,,,,13. 26.00,12. 28.00,2016,speed,WOMEN
24,25,Rojas,Andrea,ECU,50.00,,,16. 20.00,17. 18.00,20. 12.00,,,2016,speed,WOMEN
25,26,BAIMA,YuZhen,CHN,48.00,19. 14.00,18. 16.00,,,,17. 18.00,,2016,speed,WOMEN
26,26,Prokopiuk,Monika,POL,48.00,,,17. 18.00,19. 14.00,18. 16.00,,,2016,speed,WOMEN
27,28,Dalla Brida,Elisabetta,ITA,45.00,,,13. 26.00,21. 10.00,22. 9.00,,,2016,speed,WOMEN
28,29,TIAN,PeiYang,CHN,40.00,,,,,,16. 20.00,16. 20.00,2016,speed,WOMEN
29,30,RENQING,LaMu,CHN,36.00,17. 18.00,,,,,,17. 18.00,2016,speed,WOMEN
30,31,Karami,Azam,IRI,34.00,18. 16.00,17. 18.00,,,,,,2016,speed,WOMEN
31,32,Meister,Erica,USA,30.00,,,,20. 12.00,17. 18.00,,,2016,speed,WOMEN
32,32,Porta,Silvia,ITA,30.00,,,18. 16.00,24. 7.00,24. 7.00,,,2016,speed,WOMEN
33,34,zhuoma,renzeng,CHN,26.00,20. 12.00,19. 14.00,,,,,,2016,speed,WOMEN
34,35,Randi,Giorgia,ITA,25.00,,,20. 12.00,23. 8.00,26. 5.00,,,2016,speed,WOMEN
35,36,Fossali,Giulia,ITA,24.00,,,21. 10.00,25. 6.00,23. 8.00,,,2016,speed,WOMEN
36,37,Oba,Miwa,JPN,15.00,,,,,,,18. 15.00,2016,speed,WOMEN
37,38,Esmailzadeh,Farnaz,IRI,14.00,,,19. 14.00,,,,,2016,speed,WOMEN
38,39,Durif,Charlotte,FRA,13.00,,,22. 9.00,,27. 4.00,,,2016,speed,WOMEN
39,40,Kolkotina,Tetiana,UKR,8.00,,,23. 8.00,,,,,2016,speed,WOMEN
40,41,Zanetti,Martina,ITA,7.00,,,24. 7.00,,,,,2016,speed,WOMEN
41,42,Shymkova,Anastasia,UKR,6.00,,,25. 6.00,,,,,2016,speed,WOMEN
42,43,Stewart-Patterson,Alison,CAN,5.00,,,26. 5.00,,,,,2016,speed,WOMEN
43,44,Zanetti,Alessandra,ITA,4.00,,,27. 4.00,,,,,2016,speed,WOMEN
44,45,Ebner,Andrea,ITA,3.00,,,28. 3.00,,,,,2016,speed,WOMEN
45,46,Georgieva,Maria,BUL,2.00,,,29. 2.00,,,,,2016,speed,WOMEN
46,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2016. Not counting points are in brackets.,2016,speed,WOMEN
