,Rank,Name,Name.1,Nation,Points,6198,6252,6182,6174,6170,6166,6158,2017,event,gender,athlete_id
0,1,CHON,Jongwon,KOR,453.00,4. 55.00,1. 100.00,1. 100.00,7. 43.00,4. 55.00,1. 100.00,12. (28.00),2017,boulder,MEN,11183
1,2,Narasaki,Tomoa,JPN,404.00,2. 80.00,6. 47.00,9. 37.00,2. 80.00,2. 80.00,2. 80.00,21. (9.00),2017,boulder,MEN,10618
2,3,Rubtsov,Aleksey,RUS,399.00,10. 34.00,3. 65.00,4. 55.00,1. 100.00,23. (7.00),3. 65.00,2. 80.00,2017,boulder,MEN,9046
3,4,Watabe,Keita,JPN,372.00,,8. 40.00,6. 47.00,3. 65.00,1. 100.00,4. 55.00,3. 65.00,2017,boulder,MEN,9102
4,5,Fujii,Kokoro,JPN,327.00,6. 47.00,4. 55.00,5. 51.00,9. 37.00,11. (29.00),9. 37.00,1. 100.00,2017,boulder,MEN,10172
5,6,Sugimoto,Rei,JPN,278.00,,2. 80.00,10. 34.00,11. 31.00,6. 47.00,11. 31.00,4. 55.00,2017,boulder,MEN,7465
6,7,Hojer,Jan,GER,235.00,1. 100.00,17. 18.00,16. 20.00,,7. 43.00,12. 28.00,13. 26.00,2017,boulder,MEN,6623
7,8,Ogata,Yoshiyuki,JPN,232.00,5. 51.00,7. 43.00,3. 65.00,17. 18.00,27. (3.00),17. 18.00,9. 37.00,2017,boulder,MEN,12501
8,9,Kruder,Jernej,SLO,201.00,29. 1.00,9. 37.00,8. 40.00,23. 7.00,3. 65.00,,5. 51.00,2017,boulder,MEN,6488
9,10,Schubert,Jakob,AUT,186.00,9. 37.00,5. 51.00,,5. 51.00,,8. 40.00,23. 7.00,2017,boulder,MEN,6550
10,11,Firnenburg,David,GER,183.00,14. 24.00,13. 26.00,,20. 12.00,8. 40.00,10. 34.00,6. 47.00,2017,boulder,MEN,9425
11,12,Narasaki,Meichi,JPN,182.00,21. 9.00,12. 28.00,2. 80.00,25. (5.00),11. 29.00,15. 22.00,19. 14.00,2017,boulder,MEN,12432
12,13,Cornu,Manuel,FRA,174.00,11. 31.00,,,12. 28.00,5. 51.00,6. 47.00,17. 17.00,2017,boulder,MEN,11091
13,14,Hori,Tsukuru,JPN,165.00,,18. 16.00,7. 43.00,14. 23.00,9. 37.00,7. 43.00,27. 3.00,2017,boulder,MEN,7226
14,15,Ishimatsu,Taisei,JPN,112.00,3. 65.00,,,6. 47.00,,,,2017,boulder,MEN,57094
15,16,Harada,Kai,JPN,100.00,23. 7.00,25. 5.00,19. 14.00,,15. 22.00,5. 51.00,29. 1.00,2017,boulder,MEN,14023
16,16,Pelorson,Nicolas,FRA,100.00,,,,8. 40.00,27. 3.00,13. 26.00,11. 31.00,2017,boulder,MEN,11042
17,18,Rugens,Rolands,LAT,97.00,,,,23. 7.00,13. 26.00,14. 24.00,8. 40.00,2017,boulder,MEN,8245
18,19,Timonov,Vadim,RUS,96.00,13. 26.00,14. 24.00,,,10. 34.00,20. 12.00,,2017,boulder,MEN,7575
19,20,Mawem,Mickael,FRA,91.00,18. 15.00,,,4. 55.00,,29. 1.00,16. 20.00,2017,boulder,MEN,12720
20,21,Moroni,Gabriele,ITA,80.00,25. 5.00,,20. 12.00,16. 20.00,,,7. 43.00,2017,boulder,MEN,5176
21,22,Topishko,Sergii,UKR,75.00,15. 22.00,,,,19. 14.00,25. 5.00,10. 34.00,2017,boulder,MEN,5804
22,23,INOUE,Yuji,JPN,70.00,20. 12.00,23. 7.00,15. 22.00,,21. 9.00,16. 20.00,,2017,boulder,MEN,57190
23,24,Sharafutdinov,Dmitrii,RUS,65.00,,10. 34.00,,,,23. 7.00,14. 24.00,2017,boulder,MEN,5781
24,25,Landman,Tyler,GBR,62.00,,,17. 18.00,13. 26.00,17. 18.00,,,2017,boulder,MEN,6724
25,25,Peharc,Anze,SLO,62.00,8. 40.00,15. 22.00,,,,,,2017,boulder,MEN,10825
26,27,Bonder,Jeremy,FRA,57.00,23. 7.00,,,10. 34.00,21. 9.00,,23. 7.00,2017,boulder,MEN,9991
27,28,Baratzadeh,Gholamali,IRI,54.00,,11. 31.00,,,29. 1.00,,15. 22.00,2017,boulder,MEN,7348
28,29,Megos,Alexander,GER,43.00,7. 43.00,,,,,,,2017,boulder,MEN,9058
29,30,Phillips,Nathan,GBR,40.00,18. 15.00,,,,14. 24.00,29. 1.00,,2017,boulder,MEN,10709
30,31,Watanabe,Kaito,JPN,39.00,,,21. 9.00,19. 14.00,,18. 16.00,,2017,boulder,MEN,14020
31,32,Bailey,Sean,USA,34.00,27. 3.00,,11. 31.00,,,,,2017,boulder,MEN,10775
32,33,Khazanov,Alex,ISR,32.00,,,18. 16.00,18. 16.00,,,,2017,boulder,MEN,9537
33,34,Levier,Alban,FRA,30.00,,,,14. 23.00,23. 7.00,,,2017,boulder,MEN,10922
34,35,Flor Vazquez,Jonatan,ESP,28.00,12. 28.00,,,,,,,2017,boulder,MEN,12719
35,35,Verhoeven,Jorg,NED,28.00,,,12. 28.00,,,,,2017,boulder,MEN,3115
36,37,Hada,Yuki,JPN,27.00,,21. 9.00,,21. 9.00,,,21. 9.00,2017,boulder,MEN,12326
37,37,Lazure,Sebastien,CAN,27.00,,29. 1.00,13. 26.00,,,,,2017,boulder,MEN,9402
