,Rank,Name,Name.1,Nation,Points,KranjWC 11.11.2017,XiamenWC 14.10.2017,Wujiang 07.10.2017,EdinburghWC 23.09.2017,ArcoWC 25.08.2017,BriançonWC 28.07.2017,ChamonixWC 12.07.2017,VillarsWC 07.07.2017,2017,event,gender
0,1,Desgranges,Romain,FRA,477.00,9. 37.00,22. (9.00),5. 51.00,1. 100.00,10. 34.00,1. 100.00,4. 55.00,1. 100.00,2017,lead,MEN
1,2,Ghisolfi,Stefano,ITA,413.00,5. 51.00,7. 43.00,1. 100.00,2. 80.00,18. (16.00),3. 65.00,7. 43.00,11. 31.00,2017,lead,MEN
2,3,Korenaga,Keiichiro,JPN,373.00,10. (32.00),1. 100.00,8. 40.00,10. 34.00,5. 51.00,10. 34.00,2. 80.00,10. 34.00,2017,lead,MEN
3,4,Skofic,Domen,SLO,325.00,4. 55.00,17. 18.00,4. 55.00,4. 55.00,21. (10.00),9. 37.00,13. 25.00,2. 80.00,2017,lead,MEN
4,5,Bombardi,Marcello,ITA,289.00,7. 43.00,23. (8.00),17. 18.00,12. 28.00,9. 37.00,6. 47.00,1. 100.00,18. 16.00,2017,lead,MEN
5,6,Schubert,Jakob,AUT,265.00,1. 100.00,,,3. 65.00,1. 100.00,,,,2017,lead,MEN
6,7,Joannes,Thomas,FRA,221.00,12. 28.00,9. 37.00,16. 20.00,5. 51.00,6. 47.00,19. 14.00,27. (2.00),14. 24.00,2017,lead,MEN
7,8,KIM,Hanwool,KOR,213.00,14. 24.00,10. 34.00,3. 65.00,13. 26.00,15. 22.00,13. 26.00,16. 16.00,29. (2.00),2017,lead,MEN
8,9,Samoilov,Fedir,UKR,193.00,15. 22.00,5. 51.00,25. 6.00,9. 37.00,24. 7.00,,26. 5.00,3. 65.00,2017,lead,MEN
9,10,Vettorata,Francesco,ITA,182.00,6. 47.00,14. 24.00,14. 24.00,,16. 19.00,14. 24.00,9. 35.00,22. 9.00,2017,lead,MEN
10,11,Bailey,Sean,USA,173.00,,,,6. 47.00,16. 19.00,5. 51.00,16. 16.00,8. 40.00,2017,lead,MEN
11,11,Puman,Hannes,SWE,173.00,28. (3.00),21. 10.00,19. 13.00,14. 24.00,7. 43.00,17. 18.00,12. 28.00,9. 37.00,2017,lead,MEN
12,11,Rudigier,Max,AUT,173.00,,18. 16.00,18. 16.00,7. 43.00,3. 65.00,12. 28.00,27. 2.00,28. 3.00,2017,lead,MEN
13,14,Hada,Yuki,JPN,170.00,13. 26.00,16. 20.00,,,23. 8.00,,3. 65.00,5. 51.00,2017,lead,MEN
14,15,Narasaki,Tomoa,JPN,166.00,25. 6.00,2. 80.00,2. 80.00,,,,,,2017,lead,MEN
15,16,Fujii,Kokoro,JPN,162.00,17. 18.00,6. 47.00,10. 34.00,,,,9. 35.00,12. 28.00,2017,lead,MEN
16,17,Hanke,Christoph,GER,153.00,18. 16.00,26. (5.00),13. 26.00,18. 16.00,19. 14.00,20. 12.00,15. 22.00,6. 47.00,2017,lead,MEN
17,17,Hojer,Jan,GER,153.00,8. 40.00,27. 4.00,15. 22.00,30. 1.00,,,11. 31.00,4. 55.00,2017,lead,MEN
18,19,Higuchi,Masahiro,JPN,144.00,30. 1.00,11. 31.00,21. 10.00,21. 10.00,11. 31.00,4. 55.00,25. 6.00,,2017,lead,MEN
19,20,Ogata,Yoshiyuki,JPN,140.00,16. 20.00,15. 22.00,7. 43.00,,4. 55.00,,,,2017,lead,MEN
