,Rank,Name,Name.1,Nation,Points,6206,6331,6248,6202,6194,6170,6166,2017,event,gender,athlete_id
0,1,Deulin,Vladislav,RUS,470.00,1. 100.00,8. 40.00,8. (40.00),1. 100.00,3. 65.00,3. 65.00,1. 100.00,2017,speed,MEN,10613
1,2,Alipourshenazandifar,Reza,IRI,351.00,12. 28.00,,,2. 80.00,1. 100.00,1. 100.00,7. 43.00,2017,speed,MEN,10635
2,3,Fossali,Ludovico,ITA,346.00,4. 55.00,9. 37.00,1. 100.00,3. 65.00,4. 55.00,10. 34.00,16. (20.00),2017,speed,MEN,10596
3,4,Shikov,Aleksandr,RUS,338.00,14. (24.00),1. 100.00,4. 55.00,13. 26.00,13. 26.00,2. 80.00,5. 51.00,2017,speed,MEN,10856
4,5,Kokorin,Stanislav,RUS,331.00,15. (22.00),12. 28.00,2. 80.00,9. 37.00,2. 80.00,13. 26.00,2. 80.00,2017,speed,MEN,8560
5,6,Gontero,Leonardo,ITA,284.00,11. 31.00,13. (26.00),3. 65.00,6. 47.00,7. 43.00,5. 51.00,6. 47.00,2017,speed,MEN,9436
6,7,Zhong,QiXin,CHN,196.00,6. 47.00,6. 47.00,,15. 22.00,,7. 43.00,9. 37.00,2017,speed,MEN,7994
7,8,Moro,Guillaume,FRA,181.00,7. 43.00,18. 16.00,5. 51.00,10. 34.00,9. 37.00,,,2017,speed,MEN,10052
8,9,Boldyrev,Danyil,UKR,167.00,,,,4. 55.00,,6. 47.00,3. 65.00,2017,speed,MEN,7964
9,10,Dzienski,Marcin,POL,164.00,21. (10.00),11. 31.00,15. 22.00,14. 24.00,5. 51.00,16. 20.00,18. 16.00,2017,speed,MEN,8525
10,11,Jaelolo,Aspar,INA,160.00,2. 80.00,2. 80.00,,,,,,2017,speed,MEN,11470
11,12,Santoni,Alessandro,ITA,158.00,23. (8.00),19. 14.00,6. 47.00,7. 43.00,17. 18.00,15. 22.00,19. 14.00,2017,speed,MEN,10004
12,13,Pavlenko,Kostiantyn,UKR,147.00,3. 65.00,10. 34.00,,,,14. 24.00,14. 24.00,2017,speed,MEN,11071
13,14,Hroza,Libor,CZE,144.00,,,,8. 40.00,14. 24.00,8. 40.00,8. 40.00,2017,speed,MEN,5651
14,14,Timofeev,Dmitrii,RUS,144.00,5. 51.00,5. 51.00,,16. 20.00,15. 22.00,,,2017,speed,MEN,10851
15,16,Bogomolov,Arsenii,RUS,136.00,10. 34.00,,,11. 31.00,19. 14.00,11. 31.00,13. 26.00,2017,speed,MEN,12643
16,17,Artamonov,Georgy,RUS,128.00,17. 18.00,23. 8.00,,,8. 40.00,12. 28.00,10. 34.00,2017,speed,MEN,10189
17,17,Shilov,Aleksandr,RUS,128.00,13. 26.00,7. 43.00,,,,9. 37.00,15. 22.00,2017,speed,MEN,12994
18,19,Mawem,Bassa,FRA,110.00,,,,,,4. 55.00,4. 55.00,2017,speed,MEN,6
19,20,Zodda,Gian Luca,ITA,108.00,27. 4.00,29. 2.00,16. 20.00,5. 51.00,11. 31.00,,,2017,speed,MEN,12092
20,21,Sabri,Sabri,INA,92.00,9. 37.00,4. 55.00,,,,,,2017,speed,MEN,10734
21,22,Halasa,Rafal,POL,88.00,22. 9.00,22. 9.00,7. 43.00,18. 15.00,20. 12.00,,,2017,speed,MEN,9494
22,23,Rindi,Sufriyanto,INA,81.00,18. 16.00,3. 65.00,,,,,,2017,speed,MEN,10993
23,24,Li,JinXin,CHN,80.00,19. 14.00,16. 20.00,,,,17. 18.00,12. 28.00,2017,speed,MEN,61433
24,25,Abudzar,Yulianto,INA,66.00,16. 20.00,20. 12.00,,,10. 34.00,,,2017,speed,MEN,6807
25,26,Muhammad,Hinayah,INA,58.00,8. 40.00,17. 18.00,,,,,,2017,speed,MEN,66109
26,27,Kriz,Jan,CZE,47.00,,,9. 37.00,21. 10.00,,,,2017,speed,MEN,10059
27,27,Luzhetskii,Sergei,RUS,47.00,,,,,6. 47.00,,,2017,speed,MEN,9696
28,29,Hojer,Jan,GER,44.00,28. 3.00,26. 5.00,10. 34.00,,29. 2.00,,,2017,speed,MEN,6623
29,30,LIN,PengHui,CHN,43.00,,,,,,20. 12.00,11. 31.00,2017,speed,MEN,13436
30,31,Septo Wibowo Siburian,Pangeran,INA,42.00,,15. 22.00,,,16. 20.00,,,2017,speed,MEN,66103
31,32,Knapp,Lukas,AUT,41.00,,,11. 31.00,24. 6.00,27. 4.00,,,2017,speed,MEN,12675
32,32,Zama,Stanislao,ITA,41.00,,,13. 26.00,18. 15.00,,,,2017,speed,MEN,11250
33,34,Lee,Yongsu,KOR,40.00,26. 5.00,24. 7.00,,,,21. 10.00,17. 18.00,2017,speed,MEN,13497
34,35,Ou,ZhiYong,CHN,36.00,20. 12.00,14. 24.00,,,,,,2017,speed,MEN,13437
35,35,WANG,FengQi,CHN,36.00,25. 6.00,21. 10.00,,,,19. 14.00,25. 6.00,2017,speed,MEN,14484
36,37,Granja,Carlos,ECU,28.00,,,,12. 28.00,,,,2017,speed,MEN,11575
37,37,Levin,Josh,USA,28.00,,,12. 28.00,,,,,2017,speed,MEN,8211
38,37,Mamiri,Tonny,INA,28.00,,,,,12. 28.00,,,2017,speed,MEN,9574
39,40,Firnenburg,David,GER,24.00,,,14. 24.00,,,,,2017,speed,MEN,9425
40,41,Dorigatti,Cristian,ITA,21.00,,,,20. 12.00,22. 9.00,,,2017,speed,MEN,13204
41,42,Huang,DiChong,CHN,20.00,,,,,,23. 8.00,20. 12.00,2017,speed,MEN,13575
42,43,Cano Blazquez,Javier,ESP,19.00,30. 1.00,,17. 18.00,,,,,2017,speed,MEN,7999
43,44,Finn-Henry,Michael,USA,18.00,,,,17. 18.00,,,,2017,speed,MEN,60066
44,45,Maimuratov,Amir,KAZ,16.00,,,,,,18. 16.00,,2017,speed,MEN,9619
45,45,Myrzabekov,Alimzhan,KAZ,16.00,,,,,,24. 7.00,22. 9.00,2017,speed,MEN,12438
46,45,Romig,Jordan,USA,16.00,,,18. 16.00,,,,,2017,speed,MEN,12962
47,45,Syabbuddin,Syabbuddin,INA,16.00,,,,,18. 16.00,,,2017,speed,MEN,66100
48,49,Milne,Maximillian,GBR,14.00,,,19. 14.00,,,,,2017,speed,MEN,13513
49,50,Czubkowski,Joseph,GBR,12.00,,,20. 12.00,,,,,2017,speed,MEN,57754
50,50,Devyaterikov,Artyom,KAZ,12.00,,,,,,27. 4.00,23. 8.00,2017,speed,MEN,6940
51,50,Kim,Jungju,KOR,12.00,29. 2.00,27. 4.00,,,25. 6.00,,,2017,speed,MEN,12809
52,50,Molchanov,Alexey,KAZ,12.00,,,,,,26. 5.00,24. 7.00,2017,speed,MEN,8013
53,54,Chae,Sungjoon,KOR,10.00,,,,,,,21. 10.00,2017,speed,MEN,10107
54,54,Cingari,Alessandro,ITA,10.00,,,,,21. 10.00,,,2017,speed,MEN,13996
55,56,AU,Chi-fung,HKG,9.00,,,,30. 1.00,28. 3.00,,26. 5.00,2017,speed,MEN,10733
56,56,Averdunk,Alexander,GER,9.00,,,21. 9.00,,,,,2017,speed,MEN,11150
57,56,Bratschi,Noah,USA,9.00,,,,22. 9.00,,,,2017,speed,MEN,13882
58,56,CHEN,ZhiXuan,CHN,9.00,,,,,,22. 9.00,,2017,speed,MEN,12294
59,56,Coley,Orrin,GBR,9.00,,,21. 9.00,,,,,2017,speed,MEN,11522
60,61,Ernsberger,Merritt,USA,8.00,,,,23. 8.00,,,,2017,speed,MEN,67802
61,61,Ridal,William,GBR,8.00,,,23. 8.00,,,,,2017,speed,MEN,10493
62,61,Tiapkin,Ihor,UKR,8.00,,,,,23. 8.00,,,2017,speed,MEN,13762
63,64,Asrar,Ehsan,IRI,7.00,24. 7.00,,,,,,,2017,speed,MEN,14523
64,64,Cho,Seungwoon,KOR,7.00,,,,,24. 7.00,,,2017,speed,MEN,8509
65,64,Matthews,Thomas,GBR,7.00,,,24. 7.00,,,,,2017,speed,MEN,12892
66,67,Muehring,Luke,USA,6.00,,25. 6.00,,,,,,2017,speed,MEN,13942
67,67,Pan,YuFei,CHN,6.00,,,,,,25. 6.00,,2017,speed,MEN,12940
68,67,Peña,Juan Martin,ECU,6.00,,,,24. 6.00,,,,2017,speed,MEN,66342
69,67,Roberts,Aidan,GBR,6.00,,,25. 6.00,,,,,2017,speed,MEN,13415
70,71,Dunne,Aiden,GBR,5.00,,,26. 5.00,,,,,2017,speed,MEN,12652
71,71,Panfilov,Alexey,KAZ,5.00,,,,,,29. 2.00,28. 3.00,2017,speed,MEN,10841
72,71,Rodley,Luke,USA,5.00,,,,26. 5.00,,,,2017,speed,MEN,61653
73,71,Sordyl,Tomasz,POL,5.00,,,,,26. 5.00,,,2017,speed,MEN,10586
74,71,Yurin,Andrey,KAZ,5.00,,,,,,28. 3.00,29. 2.00,2017,speed,MEN,13405
75,76,Oakes,Samuel,GBR,4.00,,,27. 4.00,,,,,2017,speed,MEN,13178
