,Rank,Name,Name.1,Nation,Points,MunichWC 18.08.2017,MumbaiWC 24.06.2017,VailWC 09.06.2017,TokyoWC 06.05.2017,NanjingWC 29.04.2017,ChongqingWC 22.04.2017,MeiringenWC 07.04.2017,2017,event,gender
0,1,Coxsey,Shauna,GBR,560.00,2. 80.00,1. 100.00,1. 100.00,4. (55.00),1. 100.00,2. 80.00,1. 100.00,2017,boulder,WOMEN
1,2,Garnbret,Janja,SLO,470.00,1. 100.00,,7. 43.00,1. 100.00,2. 80.00,1. 100.00,6. 47.00,2017,boulder,WOMEN
2,3,Noguchi,Akiyo,JPN,381.00,3. 65.00,3. 65.00,2. 80.00,2. 80.00,13. 26.00,3. 65.00,21. (9.00),2017,boulder,WOMEN
3,4,Nonaka,Miho,JPN,377.00,10. (34.00),2. 80.00,3. 65.00,3. 65.00,3. 65.00,9. 37.00,3. 65.00,2017,boulder,WOMEN
4,5,Klingler,Petra,SUI,290.00,6. 47.00,4. 55.00,6. 47.00,6. 47.00,9. (37.00),7. 43.00,5. 51.00,2017,boulder,WOMEN
5,6,Gejo,Stasa,SRB,234.00,4. 55.00,,27. 3.00,8. 40.00,10. 34.00,6. 47.00,4. 55.00,2017,boulder,WOMEN
6,7,Kadic,Katja,SLO,227.00,11. 31.00,5. 51.00,5. 51.00,21. (9.00),7. 43.00,11. 31.00,16. 20.00,2017,boulder,WOMEN
7,8,Tracy,Michaela,GBR,190.00,15. (21.00),13. 26.00,10. 34.00,10. 34.00,11. 31.00,15. 22.00,7. 43.00,2017,boulder,WOMEN
8,9,Gibert,Fanny,FRA,187.00,8. 40.00,,,5. 51.00,12. 28.00,12. 28.00,8. 40.00,2017,boulder,WOMEN
9,10,Onoe,Aya,JPN,165.00,,6. 47.00,11. 31.00,12. 27.00,5. 51.00,21. 9.00,,2017,boulder,WOMEN
10,11,Kotake,Mei,JPN,164.00,,7. 43.00,13. 26.00,20. 12.00,6. 47.00,20. 12.00,14. 24.00,2017,boulder,WOMEN
11,12,SA,Sol,KOR,163.00,19. (14.00),17. 18.00,8. 40.00,14. 24.00,17. 18.00,13. 26.00,9. 37.00,2017,boulder,WOMEN
12,13,Caulier,Chloe,BEL,158.00,20. 12.00,20. (12.00),15. 20.00,7. 43.00,15. 21.00,8. 40.00,15. 22.00,2017,boulder,WOMEN
13,14,Bestvater,Alma,GER,118.00,,10. 34.00,15. 20.00,9. 37.00,,29. 1.00,13. 26.00,2017,boulder,WOMEN
14,15,Stöhr,Anna,AUT,115.00,,,,16. 20.00,8. 40.00,4. 55.00,,2017,boulder,WOMEN
15,16,Saurwein,Katharina,AUT,109.00,29. 1.00,,12. 28.00,,,,2. 80.00,2017,boulder,WOMEN
16,17,Puccio,Alex,USA,106.00,5. 51.00,,4. 55.00,,,,,2017,boulder,WOMEN
17,18,KIM,Jain,KOR,101.00,,,,11. 31.00,4. 55.00,18. 15.00,,2017,boulder,WOMEN
18,18,Retschy,Monika,GER,101.00,,16. 20.00,21. 9.00,18. 16.00,15. 21.00,10. 34.00,29. 1.00,2017,boulder,WOMEN
19,20,Yip,Alannah,CAN,97.00,,9. 37.00,,,21. 9.00,5. 51.00,,2017,boulder,WOMEN
