,Rank,Name,Name.1,Nation,Points,XiamenWC 14.10.2017,Wujiang 07.10.2017,EdinburghWC 23.09.2017,ArcoWC 25.08.2017,VillarsWC 07.07.2017,NanjingWC 29.04.2017,ChongqingWC 22.04.2017,2017,event,gender
0,1,Jaubert,Anouck,FRA,545.00,1. 100.00,2. 80.00,1. 100.00,1. 100.00,1. 100.00,3. 65.00,5. (51.00),2017,speed,WOMEN
1,2,Kaplina,Iuliia,RUS,525.00,23. (8.00),1. 100.00,3. 65.00,2. 80.00,2. 80.00,1. 100.00,1. 100.00,2017,speed,WOMEN
2,3,Krasavina,Mariia,RUS,395.00,7. 43.00,6. 47.00,2. 80.00,11. (31.00),3. 65.00,2. 80.00,2. 80.00,2017,speed,WOMEN
3,4,Tsyganova,Anna,RUS,331.00,3. 65.00,8. 40.00,,3. 65.00,5. 51.00,4. 55.00,4. 55.00,2017,speed,WOMEN
4,5,Marenych,Alla,UKR,280.00,6. 47.00,9. 37.00,7. 43.00,9. 37.00,12. (28.00),5. 51.00,3. 65.00,2017,speed,WOMEN
5,6,Sarisson,Aurelia,FRA,276.00,5. 51.00,5. 51.00,8. 40.00,5. 51.00,13. (26.00),7. 43.00,8. 40.00,2017,speed,WOMEN
6,7,Brozek,Anna,POL,271.00,11. (31.00),10. 34.00,4. 55.00,4. 55.00,7. 43.00,9. 37.00,6. 47.00,2017,speed,WOMEN
7,8,Ropek,Edyta,POL,213.00,17. 18.00,21. (10.00),10. 34.00,7. 43.00,9. 37.00,6. 47.00,10. 34.00,2017,speed,WOMEN
8,9,Buczek,Klaudia,POL,179.00,19. (14.00),12. 28.00,9. 37.00,8. 40.00,17. 18.00,10. 34.00,15. 22.00,2017,speed,WOMEN
9,10,Andrier,Victoire,FRA,177.00,12. 28.00,11. 31.00,5. 51.00,16. 20.00,6. 47.00,,,2017,speed,WOMEN
10,11,Timofeeva,Elena,RUS,173.00,8. 40.00,16. 20.00,,14. 24.00,25. 6.00,8. 40.00,7. 43.00,2017,speed,WOMEN
11,12,Ivanova,Elizaveta,RUS,142.00,15. 22.00,3. 65.00,,,4. 55.00,,,2017,speed,WOMEN
12,13,Susanti Rahayu,Aries,INA,135.00,2. 80.00,4. 55.00,,,,,,2017,speed,WOMEN
13,14,Dalla Brida,Elisabetta,ITA,120.00,16. 20.00,18. 16.00,6. 47.00,15. 22.00,18. 15.00,,,2017,speed,WOMEN
14,15,Lestari,Puji,INA,112.00,4. 55.00,13. 26.00,,,11. 31.00,,,2017,speed,WOMEN
15,16,SONG,YiLing,CHN,111.00,14. 24.00,14. 24.00,,,,13. 26.00,9. 37.00,2017,speed,WOMEN
16,17,He,CuiLian,CHN,100.00,10. 34.00,15. 22.00,,,,14. 24.00,16. 20.00,2017,speed,WOMEN
17,18,NI,MingWei,CHN,87.00,21. 10.00,17. 18.00,,,,12. 28.00,11. 31.00,2017,speed,WOMEN
18,19,Wellyanti,Santi,INA,80.00,9. 37.00,7. 43.00,,,,,,2017,speed,WOMEN
19,20,Chudziak,Patrycja,POL,60.00,,,,13. 26.00,10. 34.00,,,2017,speed,WOMEN
20,21,Niu,Di,CHN,59.00,,,,,,11. 31.00,12. 28.00,2017,speed,WOMEN
21,22,Fleuret,Elma,FRA,58.00,,,11. 31.00,17. 18.00,21. 9.00,,,2017,speed,WOMEN
22,23,Porta,Silvia,ITA,57.00,,,13. 26.00,12. 28.00,28. 3.00,,,2017,speed,WOMEN
23,24,Rojas,Andrea,ECU,54.00,,,,6. 47.00,24. 7.00,,,2017,speed,WOMEN
24,25,Lach,Nina,AUT,53.00,,,12. 28.00,18. 16.00,21. 9.00,,,2017,speed,WOMEN
25,26,Marlenova,Assel,KAZ,48.00,,,,,,15. 22.00,13. 26.00,2017,speed,WOMEN
26,27,Dhorifatus,Syafiiyah,INA,40.00,18. 16.00,20. 12.00,,,20. 12.00,,,2017,speed,WOMEN
27,27,Elmer,Alexandra,AUT,40.00,,,15. 22.00,21. 10.00,23. 8.00,,,2017,speed,WOMEN
28,27,Remizova,Elena,RUS,40.00,,,,,8. 40.00,,,2017,speed,WOMEN
29,30,Panteleeva,Iuliia,RUS,38.00,,,,,,19. 14.00,14. 24.00,2017,speed,WOMEN
30,30,RenZeng,WangMu,CHN,38.00,,,,,,16. 20.00,17. 18.00,2017,speed,WOMEN
31,32,Esmaeilzadeh,Farnaz,IRI,34.00,,,,10. 34.00,,,,2017,speed,WOMEN
32,33,Ulzhabayeva,Tamara,KAZ,32.00,,,,,,18. 16.00,18. 16.00,2017,speed,WOMEN
33,33,Vasi,Francesca,ITA,32.00,,,16. 20.00,24. 7.00,26. 5.00,,,2017,speed,WOMEN
34,35,Fitriyani,Fitriyani,INA,30.00,13. 26.00,26. 4.00,,,,,,2017,speed,WOMEN
35,36,Randi,Giorgia,ITA,29.00,,,17. 18.00,22. 9.00,29. 2.00,,,2017,speed,WOMEN
36,37,Prokopiuk,Monika,POL,27.00,,,14. 24.00,28. 3.00,,,,2017,speed,WOMEN
37,38,Kümin,Andrea,SUI,26.00,,,,,,20. 12.00,19. 14.00,2017,speed,WOMEN
38,39,Sharova,Svetlana,RUS,24.00,,,,,14. 24.00,,,2017,speed,WOMEN
39,40,Motovilova,Svetlana,RUS,22.00,,,,,15. 22.00,,,2017,speed,WOMEN
40,40,Yip,Alannah,CAN,22.00,,,,,,21. 10.00,20. 12.00,2017,speed,WOMEN
41,42,Kan,Daria,RUS,20.00,,,,,16. 20.00,,,2017,speed,WOMEN
42,42,Shiraishi,Ashima,USA,20.00,,25. 6.00,19. 14.00,,,,,2017,speed,WOMEN
43,44,Kim,Seohyun,KOR,18.00,,,,,,17. 18.00,,2017,speed,WOMEN
44,45,Fakhritdinova,Dinara,RUS,16.00,24. 7.00,22. 9.00,,,,,,2017,speed,WOMEN
45,45,Sallsabillah,Rajiah,INA,16.00,20. 12.00,26. 4.00,,,,,,2017,speed,WOMEN
46,45,Spurrell,Christy,CAN,16.00,,,18. 16.00,,,,,2017,speed,WOMEN
47,48,Handayani,Farina,INA,15.00,,,,,18. 15.00,,,2017,speed,WOMEN
48,49,Golikova,Anastasiia,RUS,14.00,,,,19. 14.00,,,,2017,speed,WOMEN
49,49,PAN,Xuhua,CHN,14.00,,19. 14.00,,,,,,2017,speed,WOMEN
50,51,Watkin,Philippa,GBR,12.00,,,20. 12.00,,,,,2017,speed,WOMEN
51,51,Zanetti,Martina,ITA,12.00,,,,20. 12.00,,,,2017,speed,WOMEN
52,53,de la Torre,Jennifer,USA,10.00,,,21. 10.00,,,,,2017,speed,WOMEN
53,54,Jung,Saedasom,KOR,9.00,,,,,,22. 9.00,,2017,speed,WOMEN
54,54,TIAN,PeiYang,CHN,9.00,22. 9.00,,,,,,,2017,speed,WOMEN
55,54,Wood,Jennifer,GBR,9.00,,,22. 9.00,,,,,2017,speed,WOMEN
56,57,Buhrfeind,Claire,USA,8.00,,,,23. 8.00,,,,2017,speed,WOMEN
57,57,Morrison,Kitty,GBR,8.00,,,23. 8.00,,,,,2017,speed,WOMEN
58,57,Pilz,Jessica,AUT,8.00,,23. 8.00,,,,,,2017,speed,WOMEN
59,60,Neame,Joanna,GBR,7.00,,,24. 7.00,,,,,2017,speed,WOMEN
60,60,Son,Sunga,KOR,7.00,,24. 7.00,,,,,,2017,speed,WOMEN
61,62,Morandini,Sara,ITA,6.00,,,,25. 6.00,,,,2017,speed,WOMEN
62,63,Wos,Natalia,POL,5.00,,,,26. 5.00,,,,2017,speed,WOMEN
63,64,Condie,Kyra,USA,4.00,,,,27. 4.00,,,,2017,speed,WOMEN
64,64,Kolkotina,Tetiana,UKR,4.00,,,,,27. 4.00,,,2017,speed,WOMEN
65,66,Zaichenko,Anastasiya,UKR,2.00,,,,29. 2.00,,,,2017,speed,WOMEN
66,67,Ring,Alina,SUI,1.00,,,,,30. 1.00,,,2017,speed,WOMEN
67,67,Zanetti,Alessandra,ITA,1.00,,,,30. 1.00,,,,2017,speed,WOMEN
68,"6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.","6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2017. Maximum number of counting results per discipline: Lead: 7, Boulder: 6, Speed: 6. Not counting points are in brackets.",2017,speed,WOMEN
