,Rank,Name,Name.1,Nation,Points,MunichWC 17.08.2018,VailWC 08.06.2018,TokyoWC 02.06.2018,TaianWC 12.05.2018,ChongqingWC 05.05.2018,MoscowWC 21.04.2018,MeiringenWC 13.04.2018,2018,event,gender
0,1,Kruder,Jernej,SLO,442.00,2. 80.00,4. 55.00,8. (38.00),2. 80.00,6. 47.00,2. 80.00,1. 100.00,2018,boulder,MEN
1,2,Narasaki,Tomoa,JPN,400.00,9. 35.00,3. 65.00,2. 80.00,8. 40.00,11. (31.00),1. 100.00,2. 80.00,2018,boulder,MEN
2,3,Sugimoto,Rei,JPN,334.00,8. 40.00,1. 100.00,3. 65.00,4. 55.00,12. (28.00),10. 34.00,8. 40.00,2018,boulder,MEN
3,4,Rubtsov,Aleksey,RUS,296.00,14. (23.00),9. 37.00,5. 51.00,12. 27.00,3. 65.00,5. 51.00,3. 65.00,2018,boulder,MEN
4,5,Vezonik,Gregor,SLO,280.00,1. 100.00,14. 24.00,,3. 65.00,13. 26.00,3. 65.00,,2018,boulder,MEN
5,6,Fujii,Kokoro,JPN,260.00,7. 43.00,18. (16.00),16. 20.00,5. 51.00,1. 100.00,17. 18.00,12. 28.00,2018,boulder,MEN
6,7,CHON,Jongwon,KOR,247.00,,7. 43.00,4. 55.00,6. 47.00,,4. 55.00,6. 47.00,2018,boulder,MEN
7,8,Takata,Tomoaki,JPN,218.00,17. 18.00,6. 47.00,11. 31.00,10. 34.00,25. (5.00),9. 37.00,5. 51.00,2018,boulder,MEN
8,9,INOUE,Yuji,JPN,207.00,5. 51.00,8. 40.00,13. 26.00,11. 31.00,15. 22.00,28. (3.00),9. 37.00,2018,boulder,MEN
9,9,Schubert,Jakob,AUT,207.00,3. 65.00,,,12. 27.00,4. 55.00,25. 5.00,4. 55.00,2018,boulder,MEN
10,11,Moroni,Gabriele,ITA,197.00,18. 16.00,29. (1.00),1. 100.00,14. 24.00,23. 7.00,6. 47.00,27. 3.00,2018,boulder,MEN
11,12,Khazanov,Alex,ISR,184.00,,17. 18.00,19. 14.00,1. 100.00,21. 9.00,7. 43.00,,2018,boulder,MEN
12,13,Hojer,Jan,GER,172.00,12. 28.00,10. 34.00,,7. 43.00,5. 51.00,,18. 16.00,2018,boulder,MEN
13,13,Ogata,Yoshiyuki,JPN,172.00,4. 55.00,13. 26.00,23. 7.00,18. 16.00,10. 34.00,25. (5.00),10. 34.00,2018,boulder,MEN
14,15,Mawem,Mickael,FRA,166.00,6. 47.00,11. 31.00,7. 43.00,21. 9.00,20. 12.00,,14. 24.00,2018,boulder,MEN
15,16,Harada,Kai,JPN,129.00,,15. 22.00,6. 47.00,23. 7.00,21. 9.00,14. 24.00,16. 20.00,2018,boulder,MEN
16,16,Watabe,Keita,JPN,129.00,9. 35.00,27. 3.00,27. (3.00),9. 37.00,23. 7.00,8. 40.00,23. 7.00,2018,boulder,MEN
17,18,Cornu,Manuel,FRA,125.00,16. 20.00,,18. 16.00,25. 5.00,7. 41.00,,7. 43.00,2018,boulder,MEN
18,19,Ishimatsu,Taisei,JPN,114.00,13. 26.00,,23. 7.00,15. 22.00,9. 37.00,19. 13.00,21. 9.00,2018,boulder,MEN
19,20,McColl,Sean,CAN,112.00,,,,20. 12.00,2. 80.00,16. 20.00,,2018,boulder,MEN
20,21,Murai,Ryuichi,JPN,99.00,,5. 51.00,,19. 14.00,14. 24.00,21. 10.00,,2018,boulder,MEN
21,22,Bailey,Sean,USA,91.00,27. 3.00,2. 80.00,,27. 3.00,,,26. 5.00,2018,boulder,MEN
22,23,Levier,Alban,FRA,84.00,,25. 5.00,,23. 7.00,7. 41.00,22. 9.00,15. 22.00,2018,boulder,MEN
23,23,Topishko,Sergii,UKR,84.00,,23. 7.00,12. 28.00,,29. 1.00,15. 22.00,13. 26.00,2018,boulder,MEN
24,25,Peharc,Anze,SLO,61.00,21. 9.00,,20. 12.00,16. 20.00,16. 19.00,,29. 1.00,2018,boulder,MEN
25,26,Piccolruaz,Michael,ITA,50.00,,,8. 38.00,,,,20. 12.00,2018,boulder,MEN
26,27,Flohé,Yannick,GER,47.00,20. 12.00,,,27. 3.00,18. 16.00,18. 16.00,,2018,boulder,MEN
27,28,Phillips,Nathan,GBR,46.00,,,,17. 18.00,16. 19.00,,21. 9.00,2018,boulder,MEN
28,29,Coleman,Nathaniel,USA,43.00,,16. 20.00,26. 5.00,,,,17. 18.00,2018,boulder,MEN
29,30,Hada,Yuki,JPN,42.00,19. 14.00,12. 28.00,,,,,,2018,boulder,MEN
30,31,Schröter,Thilo Jeldrik,NOR,38.00,,,,,,11. 31.00,23. 7.00,2018,boulder,MEN
31,32,Rugens,Rolands,LAT,36.00,,,,,,25. 5.00,11. 31.00,2018,boulder,MEN
32,33,Narasaki,Meichi,JPN,34.00,,,10. 34.00,,,,,2018,boulder,MEN
33,34,Averdunk,Alexander,GER,31.00,11. 31.00,,,,,,,2018,boulder,MEN
34,35,Stranik,Martin,CZE,28.00,,29. 1.00,,,,12. 27.00,,2018,boulder,MEN
35,36,Collin,Nicolas,BEL,27.00,,,,,,12. 27.00,,2018,boulder,MEN
36,37,Dornauer,Alfons,AUT,26.00,14. 23.00,,,,27. 3.00,,,2018,boulder,MEN
37,38,Holowach,Jason,CAN,25.00,,,15. 22.00,,27. 3.00,,,2018,boulder,MEN
38,39,Ridal,William,GBR,24.00,,,14. 24.00,,,,,2018,boulder,MEN
39,40,Marschner,Kim,GER,19.00,,,17. 18.00,,29. 1.00,,,2018,boulder,MEN
40,41,Cousins,Matthew,GBR,18.00,21. 9.00,,,21. 9.00,,,,2018,boulder,MEN
41,41,Sharafutdinov,Dmitrii,RUS,18.00,23. 6.00,,21. 9.00,,,,27. 3.00,2018,boulder,MEN
42,43,Dohi,Keita,JPN,17.00,27. 3.00,21. 9.00,,25. 5.00,,,,2018,boulder,MEN
43,43,Weiler,Elias,AUT,17.00,,20. 12.00,,,25. 5.00,,,2018,boulder,MEN
44,45,Lightner,Kai,USA,16.00,,21. 9.00,23. 7.00,,,,,2018,boulder,MEN
45,46,Flor Vazquez,Jonatan,ESP,15.00,29. 1.00,,,,19. 14.00,,,2018,boulder,MEN
46,47,Ometz,Baptiste,SUI,14.00,,,,,,,19. 14.00,2018,boulder,MEN
47,47,Roberts,Aidan,GBR,14.00,,19. 14.00,,,,,,2018,boulder,MEN
48,47,Watanabe,Kaito,JPN,14.00,,,,,,23. 7.00,23. 7.00,2018,boulder,MEN
49,50,Lopez Mateos,Eric,ESP,13.00,,,,,,19. 13.00,,2018,boulder,MEN
50,51,Farrell,Thomas,AUS,9.00,,,21. 9.00,,,,,2018,boulder,MEN
51,52,Unger,Simon,GER,8.00,,,,,,23. 7.00,29. 1.00,2018,boulder,MEN
52,53,Bombardi,Marcello,ITA,7.00,23. 6.00,,29. 1.00,,,,,2018,boulder,MEN
53,53,Wills,Colin,USA,7.00,,23. 7.00,,,,,,2018,boulder,MEN
54,55,Kleesattel,Max,GER,6.00,23. 6.00,,,,,,,2018,boulder,MEN
55,55,Megos,Alexander,GER,6.00,23. 6.00,,,,,,,2018,boulder,MEN
56,57,Lazure,Sebastien,CAN,5.00,,25. 5.00,,,,,,2018,boulder,MEN
57,58,Pan,YuFei,CHN,4.00,,27. 3.00,,29. 1.00,,,,2018,boulder,MEN
58,59,Kitae,YUYA,JPN,3.00,,,27. 3.00,,,,,2018,boulder,MEN
59,60,Chiam Kai Chen,Asher Gavin,SGP,1.00,,,,29. 1.00,,,,2018,boulder,MEN
60,60,Favre,Nils,SUI,1.00,,,,,,29. 1.00,,2018,boulder,MEN
61,60,Firnenburg,David,GER,1.00,29. 1.00,,,,,,,2018,boulder,MEN
62,60,Heiniger,Kevin,SUI,1.00,,,,,,,29. 1.00,2018,boulder,MEN
63,60,Higuchi,Masahiro,JPN,1.00,,,29. 1.00,,,,,2018,boulder,MEN
64,60,Piazza,Riccardo,ITA,1.00,,,,,,29. 1.00,,2018,boulder,MEN
65,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2018. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2018. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2018. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2018. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2018. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2018. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2018. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2018. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2018. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2018. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2018. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2018. Not counting points are in brackets.,2018,boulder,MEN
