,Rank,Name,Name.1,Nation,Points,XiamenWC 27.10.2018,Wujiang 20.10.2018,KranjWC 29.09.2018,ArcoWC 27.07.2018,BriançonWC 20.07.2018,ChamonixWC 11.07.2018,VillarsWC 06.07.2018,2018,event,gender
0,1,Schubert,Jakob,AUT,495.00,16. (20.00),2. 80.00,2. 80.00,1. 100.00,4. 55.00,2. 80.00,1. 100.00,2018,lead,MEN
1,2,Ghisolfi,Stefano,ITA,466.00,2. 80.00,5. 51.00,1. 100.00,2. 80.00,5. (51.00),1. 100.00,4. 55.00,2018,lead,MEN
2,3,Desgranges,Romain,FRA,356.00,6. 47.00,1. 100.00,20. 12.00,9. 37.00,2. 80.00,27. (4.00),2. 80.00,2018,lead,MEN
3,3,Skofic,Domen,SLO,356.00,1. 100.00,19. (14.00),12. 28.00,3. 65.00,3. 65.00,4. 55.00,7. 43.00,2018,lead,MEN
4,5,Min,Hyunbin,KOR,251.00,3. 65.00,3. 65.00,,8. 40.00,17. 18.00,18. 16.00,6. 47.00,2018,lead,MEN
5,6,Megos,Alexander,GER,230.00,,,,12. 28.00,1. 100.00,3. 65.00,9. 37.00,2018,lead,MEN
6,7,Homma,Taisei,JPN,217.00,5. 51.00,8. 40.00,13. 26.00,,9. 37.00,7. 43.00,16. 20.00,2018,lead,MEN
7,8,Lehmann,Sascha,SUI,206.00,8. 40.00,17. 18.00,25. (6.00),6. 47.00,7. 43.00,8. 40.00,17. 18.00,2018,lead,MEN
8,9,Hada,Yuki,JPN,192.00,7. 43.00,20. (12.00),7. 43.00,14. 24.00,12. 28.00,19. 14.00,8. 40.00,2018,lead,MEN
9,10,Vettorata,Francesco,ITA,168.00,15. 22.00,6. 47.00,6. 47.00,22. 9.00,20. 12.00,11. 31.00,,2018,lead,MEN
10,11,Bombardi,Marcello,ITA,154.00,18. 16.00,9. 37.00,4. 55.00,20. 12.00,23. 8.00,13. 26.00,,2018,lead,MEN
11,11,Nishida,Hidemasa,JPN,154.00,4. 55.00,4. 55.00,23. 8.00,11. 31.00,,25. 5.00,,2018,lead,MEN
12,13,Rudigier,Max,AUT,141.00,14. 24.00,16. 20.00,21. 10.00,19. 14.00,15. 22.00,,5. 51.00,2018,lead,MEN
13,14,Higuchi,Masahiro,JPN,133.00,23. 8.00,10. 34.00,3. 65.00,18. 16.00,21. 10.00,,,2018,lead,MEN
14,15,Tanaka,Shuta,JPN,127.00,,,,5. 51.00,29. 1.00,6. 47.00,12. 28.00,2018,lead,MEN
15,16,Narasaki,Tomoa,JPN,124.00,11. 31.00,,,,,12. 28.00,3. 65.00,2018,lead,MEN
16,17,Samoilov,Fedir,UKR,116.00,9. 37.00,7. 43.00,11. 31.00,26. 5.00,,,,2018,lead,MEN
17,18,Bailey,Sean,USA,103.00,,,,10. 34.00,10. 34.00,10. 34.00,30. 1.00,2018,lead,MEN
18,19,Nakano,Minoru,JPN,99.00,22. 9.00,14. 24.00,15. 22.00,,16. 20.00,,14. 24.00,2018,lead,MEN
19,20,Joannes,Thomas,FRA,94.00,,,19. 14.00,13. 26.00,6. 47.00,,24. 7.00,2018,lead,MEN
20,21,Bosi,William,GBR,92.00,,,9. 37.00,,27. 4.00,5. 51.00,,2018,lead,MEN
21,22,Shimizu,Hiroto,JPN,91.00,,11. 31.00,,16. 20.00,8. 40.00,,,2018,lead,MEN
22,23,Puman,Hannes,SWE,87.00,,,27. 4.00,23. 8.00,14. 24.00,16. 20.00,11. 31.00,2018,lead,MEN
23,24,Fujii,Kokoro,JPN,86.00,,,8. 40.00,,,20. 12.00,10. 34.00,2018,lead,MEN
24,25,Timmermans,Loïc,BEL,80.00,12. 28.00,23. 8.00,,17. 18.00,,,13. 26.00,2018,lead,MEN
25,26,McColl,Sean,CAN,77.00,,,5. 51.00,,13. 26.00,,,2018,lead,MEN
26,27,Ogata,Yoshiyuki,JPN,74.00,13. 26.00,24. 7.00,14. 24.00,,,28. 3.00,19. 14.00,2018,lead,MEN
27,28,Nakagami,Taito,JPN,73.00,25. 6.00,15. 22.00,22. 9.00,15. 22.00,19. 14.00,,,2018,lead,MEN
28,29,Konecny,Jakub,CZE,62.00,,,18. 16.00,,22. 9.00,9. 37.00,,2018,lead,MEN
29,30,Collin,Nicolas,BEL,61.00,10. 34.00,12. 27.00,,,,,,2018,lead,MEN
30,31,Ondra,Adam,CZE,55.00,,,,4. 55.00,,,,2018,lead,MEN
31,32,Flohé,Yannick,GER,48.00,,,,21. 10.00,,15. 22.00,18. 16.00,2018,lead,MEN
32,32,Parma,Georg,AUT,48.00,17. 18.00,18. 16.00,28. 3.00,,29. 1.00,,21. 10.00,2018,lead,MEN
33,34,Ginés López,Alberto,ESP,43.00,,,,7. 43.00,,,,2018,lead,MEN
34,35,Qu,HaiBin,CHN,39.00,20. 12.00,12. 27.00,,,,,,2018,lead,MEN
35,36,Harada,Kai,JPN,36.00,,,10. 34.00,,,,29. 2.00,2018,lead,MEN
36,37,Potocar,Luka,SLO,32.00,,,,,28. 3.00,24. 7.00,15. 22.00,2018,lead,MEN
37,38,Julian Puigblanque,Ramón,ESP,31.00,,,,,11. 31.00,,,2018,lead,MEN
38,39,Halenke,Sebastian,GER,29.00,,,26. 5.00,,,14. 24.00,,2018,lead,MEN
39,39,Pope,James,GBR,29.00,,,16. 20.00,28. 3.00,25. 6.00,,,2018,lead,MEN
40,41,KIM,Hanwool,KOR,26.00,,,24. 7.00,,,21. 10.00,22. 9.00,2018,lead,MEN
41,42,JonasMcRae,Elan,CAN,20.00,21. 10.00,21. 10.00,,,,,,2018,lead,MEN
42,43,Dohi,Keita,JPN,18.00,,,,,,17. 18.00,,2018,lead,MEN
43,43,Firnenburg,David,GER,18.00,,,17. 18.00,,,,,2018,lead,MEN
44,45,Kuhnel,Martin,USA,16.00,24. 7.00,22. 9.00,,,,,,2018,lead,MEN
45,45,Monchois,Nao,FRA,16.00,,,,,18. 16.00,,,2018,lead,MEN
46,47,Hojer,Jan,GER,15.00,,,,24. 7.00,,,23. 8.00,2018,lead,MEN
47,48,Piccolruaz,Michael,ITA,14.00,19. 14.00,,,,,,,2018,lead,MEN
48,49,Avezou,Sam,FRA,12.00,,,,,24. 7.00,25. 5.00,,2018,lead,MEN
49,49,Supper,Gautier,FRA,12.00,,,,,,,20. 12.00,2018,lead,MEN
50,51,Shemla,Yuval,ISR,9.00,,,,,,22. 9.00,,2018,lead,MEN
