,Rank,Name,Name.1,Nation,Points,7182,7179,7149,7185,7164,7137,7140,7134,2018,event,gender,athlete_id
0,1,Mawem,Bassa,FRA,448.00,1. 100.00,9. 37.00,8. 40.00,3. 65.00,4. 55.00,1. 100.00,5. 51.00,,2018,speed,MEN,6
1,2,Boldyrev,Danyil,UKR,437.00,14. 24.00,8. 40.00,1. 100.00,1. 100.00,3. 65.00,7. 43.00,3. 65.00,,2018,speed,MEN,7964
2,3,Timofeev,Dmitrii,RUS,429.00,4. 55.00,7. 43.00,4. 55.00,2. 80.00,11. 31.00,3. 65.00,1. 100.00,15. (22.00),2018,speed,MEN,10851
3,4,Alipourshenazandifar,Reza,IRI,415.00,3. 65.00,3. 65.00,3. 65.00,9. 37.00,8. 40.00,,7. 43.00,1. 100.00,2018,speed,MEN,10635
4,5,Shilov,Aleksandr,RUS,358.00,13. 26.00,4. 55.00,2. 80.00,5. 51.00,2. 80.00,10. 34.00,10. 32.00,,2018,speed,MEN,12994
5,6,Jaelolo,Aspar,INA,341.00,2. 80.00,1. 100.00,,,,4. 55.00,2. 80.00,13. 26.00,2018,speed,MEN,11470
6,7,Shikov,Aleksandr,RUS,289.00,,16. 20.00,9. 37.00,14. 24.00,1. 100.00,9. 37.00,6. 47.00,14. 24.00,2018,speed,MEN,10856
7,8,Fossali,Ludovico,ITA,272.00,15. 22.00,2. 80.00,15. 22.00,6. 47.00,17. (18.00),15. 22.00,10. 32.00,6. 47.00,2018,speed,MEN,10596
8,9,Li,JinXin,CHN,254.00,7. 43.00,6. 47.00,,10. 34.00,6. 47.00,,4. 55.00,12. 28.00,2018,speed,MEN,61433
9,10,Deulin,Vladislav,RUS,237.00,5. 51.00,13. 26.00,5. 51.00,,,21. 9.00,16. 20.00,2. 80.00,2018,speed,MEN,10613
10,11,Kokorin,Stanislav,RUS,219.00,,22. 9.00,10. 34.00,13. 26.00,12. 28.00,5. 51.00,8. 40.00,11. 31.00,2018,speed,MEN,8560
11,12,Sabri,Sabri,INA,198.00,9. 37.00,20. 12.00,,,,2. 80.00,13. 26.00,7. 43.00,2018,speed,MEN,10734
12,13,Pavlenko,Kostiantyn,UKR,173.00,19. 14.00,11. 31.00,11. 31.00,,5. 51.00,20. 12.00,17. 16.00,17. 18.00,2018,speed,MEN,11071
13,14,Kriz,Jan,CZE,166.00,17. 18.00,18. 16.00,7. 43.00,15. 22.00,18. 16.00,,,5. 51.00,2018,speed,MEN,10059
