,Rank,Name,Name.1,Nation,Points,MunichWC 17.08.2018,VailWC 08.06.2018,TokyoWC 02.06.2018,TaianWC 12.05.2018,ChongqingWC 05.05.2018,MoscowWC 21.04.2018,MeiringenWC 13.04.2018,2018,event,gender
0,1,Nonaka,Miho,JPN,500.00,2. 80.00,2. 80.00,2. 80.00,2. 80.00,2. 80.00,2. (80.00),1. 100.00,2018,boulder,WOMEN
1,2,Noguchi,Akiyo,JPN,495.00,3. 65.00,3. 65.00,1. 100.00,1. 100.00,1. 100.00,3. 65.00,3. (65.00),2018,boulder,WOMEN
2,3,Gibert,Fanny,FRA,320.00,4. 55.00,4. 55.00,7. 43.00,3. 65.00,8. (40.00),5. 51.00,5. 51.00,2018,boulder,WOMEN
3,4,Garnbret,Janja,SLO,280.00,1. 100.00,,,,,1. 100.00,2. 80.00,2018,boulder,WOMEN
4,5,Kadic,Katja,SLO,246.00,5. 51.00,23. (7.00),11. 31.00,7. 43.00,6. 47.00,10. 34.00,8. 40.00,2018,boulder,WOMEN
5,6,Gejo,Stasa,SRB,222.00,,,4. 55.00,4. 55.00,3. 65.00,15. 22.00,13. 25.00,2018,boulder,WOMEN
6,7,Kipriianova,Ekaterina,RUS,210.00,6. 47.00,,3. 65.00,10. 34.00,4. 55.00,21. 9.00,,2018,boulder,WOMEN
7,8,Ito,Futaba,JPN,179.00,7. 43.00,,6. 47.00,13. 26.00,16. 20.00,8. 40.00,27. 3.00,2018,boulder,WOMEN
8,9,Coxsey,Shauna,GBR,174.00,,7. 43.00,9. 37.00,,,6. 47.00,6. 47.00,2018,boulder,WOMEN
9,10,Bestvater,Alma,GER,168.00,12. 28.00,6. 47.00,5. 51.00,23. 7.00,12. 28.00,23. 7.00,,2018,boulder,WOMEN
10,11,Pilz,Jessica,AUT,154.00,18. 16.00,,,16. 20.00,5. 51.00,14. 24.00,7. 43.00,2018,boulder,WOMEN
11,12,SA,Sol,KOR,153.00,,8. 38.00,16. 20.00,14. 24.00,,7. 43.00,12. 28.00,2018,boulder,WOMEN
12,13,Condie,Kyra,USA,136.00,25. 5.00,5. 51.00,14. 24.00,6. 47.00,21. 9.00,,,2018,boulder,WOMEN
13,14,Caulier,Chloe,BEL,132.00,21. 9.00,,21. 9.00,,7. 43.00,9. 37.00,10. 34.00,2018,boulder,WOMEN
14,15,Klingler,Petra,SUI,117.00,9. 37.00,,,,,4. 55.00,13. 25.00,2018,boulder,WOMEN
15,16,Sandoz,Mélanie,FRA,113.00,15. 22.00,,,21. 9.00,9. 37.00,12. 28.00,17. 17.00,2018,boulder,WOMEN
16,17,Puccio,Alex,USA,100.00,,1. 100.00,,,,,,2018,boulder,WOMEN
17,18,Färber,Johanna,AUT,99.00,,27. 3.00,19. 14.00,5. 51.00,15. 22.00,,21. 9.00,2018,boulder,WOMEN
18,19,Yip,Alannah,CAN,97.00,,8. 38.00,13. 26.00,29. 1.00,11. 31.00,,29. 1.00,2018,boulder,WOMEN
19,20,Nakamura,Mao,JPN,94.00,10. 34.00,13. 26.00,,,20. 12.00,,15. 22.00,2018,boulder,WOMEN
20,21,Kotake,Mei,JPN,85.00,11. 31.00,16. 19.00,29. 1.00,11. 29.00,25. 5.00,,,2018,boulder,WOMEN
21,22,Schwaiger,Berit,AUT,82.00,13. 26.00,18. 15.00,25. 5.00,,,18. 16.00,16. 20.00,2018,boulder,WOMEN
22,23,Kiesgen,Lilli,GER,71.00,29. 1.00,12. 28.00,,25. 5.00,21. 9.00,16. 19.00,21. 9.00,2018,boulder,WOMEN
23,24,Blair-Coyle,Sierra,USA,68.00,,14. 24.00,10. 34.00,23. 7.00,,27. 3.00,,2018,boulder,WOMEN
24,25,kajima,Tomoko,JPN,66.00,,,15. 22.00,11. 29.00,18. 15.00,,,2018,boulder,WOMEN
25,26,Sterrer,Franziska,AUT,64.00,16. 19.00,11. 31.00,,,,19. 14.00,,2018,boulder,WOMEN
26,27,Onoe,Aya,JPN,59.00,23. 7.00,,23. 7.00,19. 14.00,,,11. 31.00,2018,boulder,WOMEN
27,27,Panteleeva,Iuliia,RUS,59.00,,,17. 18.00,8. 40.00,29. 1.00,,,2018,boulder,WOMEN
28,29,Lettner,Sandra,AUT,55.00,,,,,,,4. 55.00,2018,boulder,WOMEN
29,29,Repusic,Urska,SLO,55.00,25. 5.00,15. 22.00,12. 28.00,,,,,2018,boulder,WOMEN
30,31,Kura,Nanako,JPN,51.00,19. 14.00,,,9. 37.00,,,,2018,boulder,WOMEN
31,32,Crane,Leah,GBR,49.00,,20. 12.00,,,,,9. 37.00,2018,boulder,WOMEN
32,33,Sinnhuber,Karoline,AUT,48.00,8. 40.00,,,25. 5.00,27. 3.00,,,2018,boulder,WOMEN
33,34,Lee,Hung Ying,TPE,46.00,,,,25. 5.00,10. 34.00,23. 7.00,,2018,boulder,WOMEN
34,35,Tracy,Michaela,GBR,45.00,,25. 5.00,8. 40.00,,,,,2018,boulder,WOMEN
35,36,Krampl,Mia,SLO,43.00,,,,,,11. 31.00,20. 12.00,2018,boulder,WOMEN
36,37,Cohaut,Flavy,FRA,42.00,,,,18. 16.00,13. 26.00,,,2018,boulder,WOMEN
37,38,Kikuchi,Saki,JPN,40.00,,,23. 7.00,,23. 7.00,13. 26.00,,2018,boulder,WOMEN
38,39,Andre,Charlotte,FRA,38.00,,,,21. 9.00,14. 24.00,25. 5.00,,2018,boulder,WOMEN
39,40,Madere,Maya,USA,36.00,,16. 19.00,,,,,17. 17.00,2018,boulder,WOMEN
40,40,Pinggera,Julia,AUT,36.00,27. 3.00,,27. 3.00,20. 12.00,17. 18.00,,,2018,boulder,WOMEN
41,42,Meul,Hannah,GER,35.00,,10. 34.00,,,,,29. 1.00,2018,boulder,WOMEN
42,43,Koller,Anne-Sophie,SUI,24.00,14. 24.00,,,,,,,2018,boulder,WOMEN
