,Rank,Name,Name.1,Nation,Points,XiamenWC 27.10.2018,Wujiang 20.10.2018,KranjWC 29.09.2018,ArcoWC 27.07.2018,BriançonWC 20.07.2018,ChamonixWC 11.07.2018,VillarsWC 06.07.2018,2018,event,gender
0,1,Garnbret,Janja,SLO,550.00,2. 80.00,1. 90.00,2. 80.00,1. 100.00,1. 100.00,2. (80.00),1. 100.00,2018,lead,WOMEN
1,2,Pilz,Jessica,AUT,505.00,1. 100.00,3. 65.00,4. (55.00),2. 80.00,2. 80.00,1. 100.00,2. 80.00,2018,lead,WOMEN
2,3,KIM,Jain,KOR,354.00,10. 34.00,1. 90.00,1. 100.00,,,3. 65.00,3. 65.00,2018,lead,WOMEN
3,4,Hily,Manon,FRA,238.00,14. (24.00),8. 40.00,11. 31.00,6. 47.00,11. 31.00,10. 34.00,4. 55.00,2018,lead,WOMEN
4,5,Kotake,Mei,JPN,228.00,5. 51.00,13. 26.00,9. 37.00,16. 20.00,,5. 51.00,7. 43.00,2018,lead,WOMEN
5,6,Kalan,Tjasa,SLO,224.00,7. 43.00,6. 45.00,12. 28.00,9. 37.00,28. (3.00),9. 37.00,9. 34.00,2018,lead,WOMEN
6,7,Schubert,Hannah,AUT,219.00,11. 31.00,9. 37.00,3. 65.00,19. (14.00),13. 26.00,8. 40.00,16. 20.00,2018,lead,WOMEN
7,8,Markovic,Mina,SLO,214.00,6. 47.00,22. (9.00),8. 40.00,10. 34.00,5. 51.00,12. 28.00,19. 14.00,2018,lead,WOMEN
8,8,Noguchi,Akiyo,JPN,214.00,3. 65.00,4. 55.00,,,,7. 43.00,5. 51.00,2018,lead,WOMEN
9,10,Krampl,Mia,SLO,211.00,4. 55.00,6. 45.00,10. 34.00,,7. 43.00,21. 10.00,14. 24.00,2018,lead,WOMEN
10,11,Verhoeven,Anak,BEL,181.00,,,,3. 65.00,3. 65.00,6. 47.00,27. 4.00,2018,lead,WOMEN
11,12,Posch,Katharina,AUT,174.00,21. 10.00,5. 51.00,5. 51.00,18. 16.00,10. 34.00,20. 12.00,28. (3.00),2018,lead,WOMEN
12,13,Shiraishi,Ashima,USA,159.00,,,,21. 9.00,4. 55.00,4. 55.00,8. 40.00,2018,lead,WOMEN
13,14,Schranz,Christine,AUT,141.00,9. 37.00,11. 31.00,26. 5.00,8. 40.00,18. 16.00,,20. 12.00,2018,lead,WOMEN
14,15,Onoe,Aya,JPN,131.00,15. 22.00,15. 22.00,27. (3.00),13. 26.00,17. 18.00,17. 17.00,13. 26.00,2018,lead,WOMEN
15,16,Lukan,Vita,SLO,124.00,,,20. 12.00,,6. 47.00,11. 31.00,9. 34.00,2018,lead,WOMEN
16,17,Janicot,Hélène,FRA,106.00,,,17. 18.00,5. 51.00,9. 37.00,,,2018,lead,WOMEN
17,18,Hafsaas,Tina Johnsen,NOR,105.00,20. 12.00,21. 10.00,,11. 31.00,19. 14.00,16. 20.00,17. 18.00,2018,lead,WOMEN
18,19,Fiser,Julia,AUT,101.00,13. 26.00,23. 8.00,13. 26.00,28. (1.00),21. 10.00,22. 9.00,15. 22.00,2018,lead,WOMEN
19,20,Koller,Anne-Sophie,SUI,100.00,,,18. 16.00,17. 18.00,25. 6.00,13. 26.00,9. 34.00,2018,lead,WOMEN
20,21,Hirano,Natsumi,JPN,89.00,,10. 34.00,6. 47.00,28. 1.00,24. 7.00,,,2018,lead,WOMEN
21,22,Doumont,Heloïse,BEL,82.00,17. 18.00,16. 20.00,15. 22.00,15. 22.00,,,,2018,lead,WOMEN
22,23,Nonaka,Miho,JPN,80.00,,,21. 10.00,,,14. 23.00,6. 47.00,2018,lead,WOMEN
23,24,Ito,Futaba,JPN,75.00,12. 28.00,12. 28.00,,,,27. 3.00,18. 16.00,2018,lead,WOMEN
24,25,Buhrfeind,Claire,USA,69.00,,,,4. 55.00,,19. 14.00,,2018,lead,WOMEN
25,26,Choong,Katherine,SUI,55.00,,,7. 43.00,20. 12.00,,,,2018,lead,WOMEN
26,27,Chanourdie,Julia,FRA,52.00,,,,14. 24.00,,,12. 28.00,2018,lead,WOMEN
27,28,Kazbekova,Ievgeniia,UKR,51.00,,,23. 8.00,7. 43.00,,,,2018,lead,WOMEN
28,29,Arc,Nolwenn,FRA,48.00,,,,,8. 40.00,23. 8.00,,2018,lead,WOMEN
