,Rank,Name,Name.1,Nation,Points,XiamenWC 18.10.2019,ChamonixWC 11.07.2019,VillarsWC 04.07.2019,WujiangWC 03.05.2019,ChongqingWC 26.04.2019,MoscowWC 12.04.2019,2019,event,gender
0,1,Mawem,Bassa,FRA,329.00,5. 51.00,7. 43.00,4. 55.00,2. 80.00,15. (22.00),1. 100.00,2019,speed,MEN
1,2,Deulin,Vladislav,RUS,312.00,3. 65.00,3. 65.00,5. 51.00,5. 51.00,14. (24.00),2. 80.00,2019,speed,MEN
2,3,Muhammad,Alfian,INA,286.00,8. 40.00,1. 100.00,20. 12.00,10. 34.00,1. 100.00,24. (7.00),2019,speed,MEN
3,4,Zhong,QiXin,CHN,285.00,1. 100.00,2. 80.00,7. 43.00,24. 7.00,4. 55.00,,2019,speed,MEN
4,5,Timofeev,Dmitrii,RUS,283.00,7. 43.00,16. 20.00,2. 80.00,1. 100.00,16. (20.00),8. 40.00,2019,speed,MEN
5,6,Alipourshenazandifar,Reza,IRI,236.00,6. 47.00,23. (8.00),8. 40.00,4. 55.00,5. 51.00,7. 43.00,2019,speed,MEN
6,7,Rukin,Sergey,RUS,234.00,4. 55.00,6. 47.00,16. 20.00,,3. 65.00,6. 47.00,2019,speed,MEN
7,8,Shikov,Aleksandr,RUS,203.00,12. 28.00,14. 24.00,1. 100.00,,,5. 51.00,2019,speed,MEN
8,9,Pavlenko,Kostiantyn,UKR,181.00,22. 9.00,11. 31.00,19. 14.00,6. 47.00,2. 80.00,,2019,speed,MEN
9,10,Kriz,Jan,CZE,162.00,24. (7.00),18. 16.00,3. 65.00,7. 43.00,18. 16.00,15. 22.00,2019,speed,MEN
10,11,Jaelolo,Aspar,INA,158.00,28. 3.00,9. 37.00,,15. 22.00,11. 31.00,3. 65.00,2019,speed,MEN
11,12,Dzienski,Marcin,POL,150.00,25. (6.00),5. 51.00,17. 18.00,13. 26.00,9. 37.00,17. 18.00,2019,speed,MEN
12,13,Shilov,Aleksandr,RUS,137.00,16. (20.00),15. 22.00,13. 26.00,14. 24.00,12. 28.00,9. 37.00,2019,speed,MEN
13,14,Rudatskiy,Lev,RUS,136.00,2. 80.00,29. 2.00,10. 34.00,,,16. 20.00,2019,speed,MEN
14,15,Fossali,Ludovico,ITA,126.00,,,9. 37.00,3. 65.00,,14. 24.00,2019,speed,MEN
15,16,CAO,Long,CHN,121.00,,13. 26.00,12. 28.00,28. 3.00,22. 9.00,4. 55.00,2019,speed,MEN
16,17,LONG,JinBao,CHN,120.00,10. 34.00,22. 9.00,11. 31.00,20. 12.00,10. 34.00,,2019,speed,MEN
17,18,Roji,Fatchur,INA,118.00,15. 22.00,28. 3.00,,9. 37.00,8. 40.00,18. 16.00,2019,speed,MEN
