,Rank,Name,Name.1,Nation,Points,InzaiWC 26.10.2019,XiamenWC 18.10.2019,KranjWC 28.09.2019,BriançonWC 19.07.2019,ChamonixWC 11.07.2019,VillarsWC 04.07.2019,2019,event,gender
0,1,Seo,Chaehyun,KOR,480.00,3. (65.00),1. 100.00,1. 100.00,1. 100.00,1. 100.00,2. 80.00,2019,lead,WOMEN
1,2,Garnbret,Janja,SLO,352.00,2. 80.00,4. 55.00,13. (26.00),2. 80.00,9. 37.00,1. 100.00,2019,lead,WOMEN
2,3,Tanii,Natsuki,JPN,243.00,6. 47.00,5. 51.00,,3. 65.00,8. 40.00,8. 40.00,2019,lead,WOMEN
3,4,Rakovec,Lucka,SLO,226.00,16. (20.00),6. 47.00,3. 65.00,14. 24.00,7. 43.00,6. 47.00,2019,lead,WOMEN
4,5,Noguchi,Akiyo,JPN,224.00,4. 55.00,2. 80.00,,,10. 34.00,4. 55.00,2019,lead,WOMEN
5,6,Mori,Ai,JPN,220.00,20. 12.00,9. 37.00,5. 51.00,,4. 55.00,3. 65.00,2019,lead,WOMEN
6,7,Zhang,YueTong,CHN,207.00,,7. 43.00,,6. 47.00,2. 80.00,9. 37.00,2019,lead,WOMEN
7,8,KIM,Jain,KOR,206.00,1. 100.00,3. 65.00,9. 37.00,,,27. 4.00,2019,lead,WOMEN
8,9,Krampl,Mia,SLO,189.00,22. 9.00,24. (7.00),7. 43.00,4. 55.00,11. 31.00,5. 51.00,2019,lead,WOMEN
9,10,Pilz,Jessica,AUT,176.00,,,2. 80.00,,3. 65.00,11. 31.00,2019,lead,WOMEN
10,11,Hirano,Natsumi,JPN,159.00,15. 22.00,10. 25.00,6. 47.00,11. 31.00,,10. 34.00,2019,lead,WOMEN
11,12,Thompson-Smith,Molly,GBR,152.00,9. 37.00,10. 25.00,27. (4.00),16. 20.00,6. 47.00,13. 23.00,2019,lead,WOMEN
12,13,Shiraishi,Ashima,USA,128.00,,25. 6.00,16. 20.00,5. 51.00,5. 51.00,,2019,lead,WOMEN
13,14,Rogora,Laura,ITA,114.00,7. 43.00,10. 25.00,12. 28.00,18. 16.00,28. 2.00,,2019,lead,WOMEN
14,15,Kazbekova,Ievgeniia,UKR,102.00,,8. 40.00,,15. 22.00,20. 12.00,12. 28.00,2019,lead,WOMEN
15,15,Kotake,Mei,JPN,102.00,,26. 5.00,8. 40.00,10. 34.00,,13. 23.00,2019,lead,WOMEN
16,17,Schranz,Christine,AUT,97.00,21. 10.00,10. 25.00,,9. 37.00,15. 22.00,28. 3.00,2019,lead,WOMEN
