id,first_name,last_name,country,age,birth_year,height,weight
51001,Moritz,Simmet,GER,21,1999,,
51002,Martin,Eisensteger,GER,22,1997,,
51004,Vinzenz,Kreuzer,GER,24,1996,,
51005,Joschua,Gosda,GER,24,1995,,
51007,Lukas,Achermann,SUI,17,2003,176 cm,66 kg
51008,Ronja,Matzer,SUI,18,2002,,
51009,Annatina,Gmünder,SUI,16,2003,,
51010,Annina,Gerber,SUI,19,2001,,
51011,Ursina,Baselgia,SUI,22,1998,,
51012,Anton,Hofstetter,GER,20,1999,,
51013,Timothy,Brique,SUI,25,1995,,
51014,Yoan,Grenacher,SUI,26,1994,,
51015,Joëlle,Hinni,SUI,23,1997,,
51019,Corsin,Hidber,SUI,19,2001,,
51020,Jasmin,Frangi,SUI,22,1998,,
51021,Dominik,Hemmi,SUI,24,1996,,
51023,Roman,Willi,SUI,22,1998,,
51025,Livio,Baltensperger,SUI,17,2002,,
51026,Corsin,Meli,SUI,21,1999,,
51027,Moritz,Dümig,GER,25,1995,,
51028,Steffen,Hilger,GER,27,1993,,
51031,Melissa,Bernhard,SUI,18,2002,,
51032,Lukas,Rohde,AUT,19,2001,,
51034,Sebastian,Rohde,AUT,24,1996,,
51035,Florian,Bösch,AUT,23,1997,,
51036,Jana,Haldner,AUT,18,2002,,
51037,Paul,Kerschbaumer,AUT,24,1996,,
51038,Jonas,Schelling,AUT,19,2001,,
51039,Tobias,Klaudrat,AUT,21,1999,,
51040,Lena,Worsch,AUT,23,1997,,
51041,Clara,Meusburger,AUT,24,1996,,
51045,Nicolas,Bonmassar,AUT,24,1996,,
51046,Benjamin,Weber,SUI,25,1995,,
51047,Isabelle,Kautz,GER,39,1981,,
51048,Jan,Marienfeld,GER,43,1976,,
51050,Verena,Wittling,GER,35,1985,,
51052,Noam,Ducardonnoy,SUI,20,2000,,
51053,Mike,Nützel,SUI,20,2000,,
51055,Jan,Cadosch,SUI,23,1997,,
51056,Michel,Erni,SUI,18,2002,,
51057,Leo,Jericke,SUI,15,2005,,
51058,Henrik,Mähr,AUT,18,2002,,
