ID,Name,Dates
"5378","Rockgames Jugend/Junioren (Bouldern) - Climb Free München 2013","24 Februar 2013"
"5301","Bayerische Jugend- und Junioren Meisterschaften (Lead) - Coburg 2012","28 Juli 2012"
"5300","Bayerische Jugend- und Junioren Meisterschaften (Lead) - Rosenheim 2012","7 Juli 2012"
"5297","Bayerische Meisterschaften Jugend (Bouldern) - Climb Free München 2012","25 Februar 2012"
"5246","Bayerische Meisterschaften Jugend/Junioren (Schwierigkeit) - Berchtesgaden 2011","10 Dezember 2011"
"5244","Bayerische Meisterschaften Jugend/Junioren (Schwierigkeit) - Coburg 2011","23 Juli 2011"
"5243","Bayerische Meisterschaften Jugend/Junioren (Bouldern) - Thalkirchen 2011","16 April 2011"
"9541","Bayerische Meisterschaft Bouldern (Qualifikation Jug. B) - f.r.e.e München","22 Februar 2020"
"8181","Süddeutsche Meisterschaft Bouldern München f.re.e München ","23 Februar 2019"
"8178","Bayerische Meisterschaft Erwachsene & Jugend A Bouldern E4 Nürnberg (Qualifikation Jugend A und B)","16 Februar 2019"
"7392","Bayerische Meisterschaft Bouldern Tübingen i.R.d. Regionalmeisterschaft Süd","3 März 2018"
"7550","Süddeutsche Meisterschaft Bouldern - Tübingen","3 März 2018"
"6721","Bayerische Meisterschaft Lead - Neu-Ulm","24 September 2017"
"6725","Süddeutsche Meisterschaft Lead - Neu-Ulm","24 September 2017"
"6559","Süddeutsche Meisterschaft Bouldern - München","25 Februar 2017"
"6555","Bayerische Meisterschaft Bouldern - München","25 Februar 2017"
"5843","Bayerische Meisterschaft Lead Reutlingen","17 Juli 2016"
"5920","Süddeutsche Meisterschaft - Reutlingen 2016","17 Juli 2016"
"5690","Deutscher Leadcup (DLC) 2016 - München, DAV Kletter- und Boulderzentrum München Nord","25 Juni 2016"
"5684","Deutscher Bouldercup (DBC) 2016 - Zweibrücken, Camp4 Kletterzentrum","28 Mai 2016"
"5735","Offene Bayerische Bouldermeisterschaft München free","14 Februar 2016"
"5576","Deutscher Leadcup (DLC) 2015 - Neu-Ulm, Sparkassendome","25 Oktober 2015"
"5573","Deutscher Bouldercup (DBC) 2015 - Friedrichshafen, OutDoor Messe","17  - 18 Juli 2015"
"5595","Süddeutsche Meisterschaft Lead - Neu-Ulm 2015","28 Juni 2015"
"5572","Deutscher Bouldercup (DBC) 2015 - Köln, Stuntwerk","14 März 2015"
"5600","Offene Bayerische Meisterschaft Bouldern - München 2015","22 Februar 2015"
"5571","Deutscher Bouldercup (DBC) 2015 - Hannover, abf Messe","14 Februar 2015"
"5457","Deutscher Jugendcup Lead - Neu-Ulm 2014","26 Oktober 2014"
"5480","Süddeutsche Meisterschaft Lead - Neu-Ulm 2014","19 Oktober 2014"
"5456","Deutscher Jugendcup Lead - Darmstadt 2014","11  - 12 Oktober 2014"
"5461","Deutscher Jugendcup Speed - Darmstadt 2014","11 Oktober 2014"
"5479","2. Bayerischer Jugencup Speed - Berchtesgaden 2014","13 September 2014"
"5478","2. Bayerischer Jugendcup Lead - Berchtesgaden 2014","13 September 2014"
"5477","1. Bayerischer Jugendcup Lead - Ingolstadt 2014","19 Juli 2014"
"5539","1. Bayerischer Jugendcup Speed - München 2014","6 Juli 2014"
"5460","Deutscher Jugendcup Speed - München 2014","6 Juli 2014"
"5459","Deutscher Jugendcup Boulder - Auerbach 2014","8 Juni 2014"
"5476","Offene Bayerische Meisterschaft Bouldern - Regensburg 2014","1 JuniMai 2014"
"5475","2. Bayerischer Jugendcup Bouldern - Regensburg 2014","31 Mai 2014"
"5465","1. Bayerischer Jugendcup Bouldern - München 2014","22 Februar 2014"
"5383","Rockgames Jugend/Junioren (Lead) - Regensburg 2013","20 Oktober 2013"
"5382","Süddeutsche Meisterschaft (Lead) - Regensburg 2013","19 Oktober 2013"
"5371","Deutscher Jugendcup Lead - Würzburg 2013","6 Oktober 2013"
"5375","Deutscher Jugendcup Speed - Neu-Ulm 2013","7 September 2013"
"5370","Deutscher Jugendcup Lead - Neu-Ulm 2013","7  - 8 September 2013"
"5381","Rockgames Jugend/Junioren (Lead) - Coburg 2013","27 Juli 2013"
"5374","Deutscher Jugendcup Speed - München 2013","7 Juli 2013"
"5369","Deutscher Jugendcup Lead - Kempten 2013","23 Juni 2013"
"5409","Rockgames Jugend (Bouldern) - Rosenheim 2013","21 April 2013"
"5380","Rockgames Junioren und Offene Bayerische Meisterschaften Da/He (Bouldern) - Rosenheim 2013","20 April 2013"
"5372","Deutscher Jugendcup Boulder - Frankfurt 2013","9 März 2013"
