,ID,Name,Dates,day_maybe,month,year
0,5378,Rockgames Jugend/Junioren (Bouldern) - Climb Free München 2013,24 Februar 2013,24,2,2013
1,5301,Bayerische Jugend- und Junioren Meisterschaften (Lead) - Coburg 2012,28 Juli 2012,28,7,2012
2,5300,Bayerische Jugend- und Junioren Meisterschaften (Lead) - Rosenheim 2012,7 Juli 2012,7,7,2012
3,5297,Bayerische Meisterschaften Jugend (Bouldern) - Climb Free München 2012,25 Februar 2012,25,2,2012
4,5246,Bayerische Meisterschaften Jugend/Junioren (Schwierigkeit) - Berchtesgaden 2011,10 Dezember 2011,10,12,2011
5,5244,Bayerische Meisterschaften Jugend/Junioren (Schwierigkeit) - Coburg 2011,23 Juli 2011,23,7,2011
6,5243,Bayerische Meisterschaften Jugend/Junioren (Bouldern) - Thalkirchen 2011,16 April 2011,16,4,2011
7,9541,Bayerische Meisterschaft Bouldern (Qualifikation Jug. B) - f.r.e.e München,22 Februar 2020,22,2,2020
8,8181,Süddeutsche Meisterschaft Bouldern München f.re.e München ,23 Februar 2019,23,2,2019
9,8178,Bayerische Meisterschaft Erwachsene & Jugend A Bouldern E4 Nürnberg (Qualifikation Jugend A und B),16 Februar 2019,16,2,2019
10,7392,Bayerische Meisterschaft Bouldern Tübingen i.R.d. Regionalmeisterschaft Süd,3 März 2018,3,3,2018
11,7550,Süddeutsche Meisterschaft Bouldern - Tübingen,3 März 2018,3,3,2018
12,6721,Bayerische Meisterschaft Lead - Neu-Ulm,24 September 2017,24,9,2017
13,6725,Süddeutsche Meisterschaft Lead - Neu-Ulm,24 September 2017,24,9,2017
14,6559,Süddeutsche Meisterschaft Bouldern - München,25 Februar 2017,25,2,2017
15,6555,Bayerische Meisterschaft Bouldern - München,25 Februar 2017,25,2,2017
16,5843,Bayerische Meisterschaft Lead Reutlingen,17 Juli 2016,17,7,2016
17,5920,Süddeutsche Meisterschaft - Reutlingen 2016,17 Juli 2016,17,7,2016
18,5690,"Deutscher Leadcup (DLC) 2016 - München, DAV Kletter- und Boulderzentrum München Nord",25 Juni 2016,25,6,2016
19,5684,"Deutscher Bouldercup (DBC) 2016 - Zweibrücken, Camp4 Kletterzentrum",28 Mai 2016,28,5,2016
20,5735,Offene Bayerische Bouldermeisterschaft München free,14 Februar 2016,14,2,2016
21,5576,"Deutscher Leadcup (DLC) 2015 - Neu-Ulm, Sparkassendome",25 Oktober 2015,25,10,2015
22,5573,"Deutscher Bouldercup (DBC) 2015 - Friedrichshafen, OutDoor Messe",17  - 18 Juli 2015,17  - 18,7,2015
23,5595,Süddeutsche Meisterschaft Lead - Neu-Ulm 2015,28 Juni 2015,28,6,2015
24,5572,"Deutscher Bouldercup (DBC) 2015 - Köln, Stuntwerk",14 März 2015,14,3,2015
25,5600,Offene Bayerische Meisterschaft Bouldern - München 2015,22 Februar 2015,22,2,2015
26,5571,"Deutscher Bouldercup (DBC) 2015 - Hannover, abf Messe",14 Februar 2015,14,2,2015
27,5457,Deutscher Jugendcup Lead - Neu-Ulm 2014,26 Oktober 2014,26,10,2014
28,5480,Süddeutsche Meisterschaft Lead - Neu-Ulm 2014,19 Oktober 2014,19,10,2014
29,5456,Deutscher Jugendcup Lead - Darmstadt 2014,11  - 12 Oktober 2014,11  - 12,10,2014
30,5461,Deutscher Jugendcup Speed - Darmstadt 2014,11 Oktober 2014,11,10,2014
31,5479,2. Bayerischer Jugencup Speed - Berchtesgaden 2014,13 September 2014,13,9,2014
32,5478,2. Bayerischer Jugendcup Lead - Berchtesgaden 2014,13 September 2014,13,9,2014
33,5477,1. Bayerischer Jugendcup Lead - Ingolstadt 2014,19 Juli 2014,19,7,2014
34,5539,1. Bayerischer Jugendcup Speed - München 2014,6 Juli 2014,6,7,2014
35,5460,Deutscher Jugendcup Speed - München 2014,6 Juli 2014,6,7,2014
36,5459,Deutscher Jugendcup Boulder - Auerbach 2014,8 Juni 2014,8,6,2014
37,5476,Offene Bayerische Meisterschaft Bouldern - Regensburg 2014,1 JuniMai 2014,1,6,2014
38,5475,2. Bayerischer Jugendcup Bouldern - Regensburg 2014,31 Mai 2014,31,5,2014
39,5465,1. Bayerischer Jugendcup Bouldern - München 2014,22 Februar 2014,22,2,2014
