,ID,Rank,Last Name,First Name,Points,Year,country,height,weight,age,event_count,avg_points,t-1,t-2,t-3,t-4,t-5,t-6,t-7
0,8372,1,Ondra,Adam,300.0,2019,CZE,185.0,67.0,26.0,3,100.0,55.0,80.0,51.0,76.33333333333333,61.142857142857146,90.0,18.0
1,56609,2,Ginés López,Alberto,256.0,2019,ESP,,,17.0,5,51.2,43.0,,,,,,
2,5089,3,McColl,Sean,206.0,2019,CAN,169.0,60.0,32.0,5,41.2,38.5,63.5,55.8,50.6,62.857142857142854,59.333333333333336,59.375
3,14023,4,Harada,Kai,195.0,2019,JPN,,,20.0,5,39.0,18.0,13.0,,,,,
4,8323,5,Ghisolfi,Stefano,190.0,2019,ITA,170.0,57.0,26.0,5,38.0,77.66666666666667,59.0,59.333333333333336,42.0,44.714285714285715,33.142857142857146,34.625
5,11392,6,Shimizu,Hiroto,180.0,2019,JPN,,,23.0,2,90.0,30.333333333333332,4.0,6.0,13.0,,,
6,10172,7,Fujii,Kokoro,165.0,2019,JPN,175.0,65.0,27.0,5,33.0,28.666666666666668,32.4,21.0,18.0,11.0,,
7,9058,8,Megos,Alexander,165.0,2019,GER,,,26.0,3,55.0,57.5,60.0,19.0,21.0,7.0,,
8,10775,9,Bailey,Sean,158.0,2019,USA,,,23.0,5,31.6,25.75,34.6,24.0,,,,
9,10951,10,Lehmann,Sascha,152.0,2019,SUI,,,21.0,3,50.666666666666664,34.333333333333336,9.5,22.166666666666668,10.0,,,
10,6489,11,Stranik,Martin,138.0,2019,CZE,,,29.0,4,34.5,16.0,28.0,24.0,,,,
11,12432,12,Narasaki,Meichi,135.0,2019,JPN,,,20.0,3,45.0,8.0,19.5,,,,,
12,12940,13,Pan,YuFei,135.0,2019,CHN,,,19.0,3,45.0,36.0,10.0,,,,,
13,6550,14,Schubert,Jakob,132.0,2019,AUT,175.0,64.0,29.0,3,44.0,82.5,88.33333333333333,67.0,66.0,73.71428571428571,76.42857142857143,67.25
14,61376,15,Homma,Taisei,129.0,2019,JPN,,,20.0,5,25.8,36.166666666666664,,,,,,
15,10962,16,Bosi,William,127.0,2019,GBR,,,21.0,4,31.75,30.666666666666668,10.5,1.0,,,,
16,8317,17,Bombardi,Marcello,126.0,2019,ITA,,,26.0,5,25.2,25.666666666666668,41.285714285714285,9.4,14.0,13.0,5.333333333333333,10.666666666666666
17,12604,18,Flohé,Yannick,124.0,2019,GER,,,20.0,5,24.8,16.0,,,,,,
18,12326,19,Hada,Yuki,121.0,2019,JPN,,,22.0,5,24.2,32.0,34.0,22.0,26.0,22.0,,
19,10618,20,Narasaki,Tomoa,115.0,2019,JPN,,,23.0,3,38.333333333333336,41.333333333333336,55.333333333333336,7.5,,,,
20,11373,21,Grupper,Jesse,110.0,2019,USA,,,22.0,4,27.5,2.0,,,,,,
21,8958,22,Skofic,Domen,110.0,2019,SLO,176.0,62.0,25.0,3,36.666666666666664,59.333333333333336,46.42857142857143,78.66666666666667,62.666666666666664,58.57142857142857,35.0,24.375
22,7465,23,Sugimoto,Rei,109.0,2019,JPN,170.0,63.0,28.0,4,27.25,18.0,,,,,,
23,61368,24,Nishida,Hidemasa,100.0,2019,JPN,,,17.0,1,100.0,30.8,,,,,,
24,14478,25,Tanaka,Shuta,99.0,2019,JPN,,,19.0,2,49.5,31.75,,,,,,
25,3554,26,Desgranges,Romain,82.0,2019,FRA,174.0,57.0,37.0,4,20.5,59.333333333333336,68.14285714285714,63.333333333333336,59.0,59.142857142857146,49.42857142857143,50.25
26,10963,27,Pope,James,76.0,2019,GBR,,,21.0,3,25.333333333333332,9.666666666666666,23.0,,,,,
27,9426,28,Halenke,Sebastian,72.0,2019,GER,177.0,65.0,24.0,5,14.4,14.5,20.0,42.5,43.166666666666664,26.25,23.0,3.6666666666666665
28,9997,29,Bergant,Martin,63.0,2019,SLO,,,23.0,4,15.75,4.0,8.0,12.5,7.5,16.0,5.0,
29,12601,30,Coleman,Nathaniel,60.0,2019,USA,180.0,70.0,22.0,3,20.0,,,,,,,
30,8503,31,KIM,Hanwool,55.0,2019,KOR,170.0,61.0,24.0,3,18.333333333333332,8.666666666666666,30.428571428571427,31.666666666666668,6.0,18.666666666666668,8.0,8.0
31,57874,32,Potocar,Luka,54.0,2019,SLO,,,18.0,2,27.0,10.666666666666666,,,,,,
32,10788,33,Samoilov,Fedir,49.0,2019,UKR,164.0,52.0,22.0,3,16.333333333333332,29.0,27.571428571428573,17.0,4.5,,,
33,9492,34,Timmermans,Loïc,48.0,2019,BEL,,,24.0,3,16.0,20.0,14.0,19.0,22.333333333333332,12.0,15.5,13.0
34,12528,35,Konecny,Jakub,46.0,2019,CZE,,,20.0,3,15.333333333333334,20.666666666666668,21.0,,,,,
35,10279,36,Fakiryanov,Dmitrii,42.0,2019,RUS,,,25.0,2,21.0,65.0,65.33333333333333,47.5,30.0,39.5,20.0,37.0
36,12304,37,Ruana,Rudolph,42.0,2019,USA,,,20.0,4,10.5,4.0,,,,,,
37,53226,38,Duval,Alistair,37.0,2019,FRA,,,18.0,1,37.0,,,,,,,
38,12629,39,Monchois,Nao,28.0,2019,FRA,,,21.0,2,14.0,16.0,5.0,,,,,
39,6623,40,Hojer,Jan,26.0,2019,GER,188.0,77.0,27.0,2,13.0,7.5,25.5,31.0,14.0,23.0,23.0,
40,10359,41,Lorenzi,Simon,24.0,2019,BEL,,,22.0,1,24.0,23.0,,,,,,
41,10825,42,Peharc,Anze,23.0,2019,SLO,,,22.0,2,11.5,,,,,,,
42,9683,43,Hanke,Christoph,22.0,2019,GER,,,25.0,2,11.0,21.857142857142858,8.5,13.5,12.5,14.0,10.5,
43,13545,44,Iarilovets,Nikolai,20.0,2019,RUS,,,20.0,1,20.0,,,,,,,
44,8315,45,Rudigier,Max,19.0,2019,AUT,,,26.0,2,9.5,23.5,24.714285714285715,25.0,24.8,10.0,6.0,26.5
45,11024,46,Collin,Nicolas,18.0,2019,BEL,,,21.0,1,18.0,30.5,14.0,10.0,,,,
46,61144,47,Lee,Dohyun,16.0,2019,KOR,166.0,46.0,17.0,2,8.0,,,,,,,
47,12607,48,Linacisoro Molina,Mikel Asier,16.0,2019,ESP,,,19.0,2,8.0,,,,,,,
48,9046,49,Rubtsov ,Aleksey,16.0,2019,RUS,,,31.0,1,16.0,14.0,,,,,,
49,10173,50,Korenaga,Keiichiro,14.0,2019,JPN,,,23.0,1,14.0,53.285714285714285,32.833333333333336,24.0,31.666666666666668,20.0,,
50,57746,51,McArthur,Hamish,14.0,2019,GBR,,,17.0,1,14.0,2.0,,,,,,
51,12707,52,Schiestl,Matthias,14.0,2019,AUT,,,30.0,1,14.0,8.0,4.0,,,,,
52,9514,53,Piccolruaz,Michael,12.0,2019,ITA,,,24.0,1,12.0,14.0,,,,,,
53,9758,54,Joannes,Thomas,11.0,2019,FRA,,,25.0,2,5.5,23.5,31.571428571428573,38.666666666666664,29.5,6.333333333333333,10.5,20.0
54,14032,55,Dohi,Keita,10.0,2019,JPN,,,19.0,1,10.0,18.0,,,,,,
55,9537,56,Khazanov,Alex,10.0,2019,ISR,,,24.0,1,10.0,,,,,,,
56,10365,57,Puman,Hannes,9.0,2019,SWE,,,22.0,2,4.5,17.4,24.714285714285715,14.5,7.0,11.0,9.0,
57,50798,58,Martin,Philipp,8.0,2019,GER,,,25.0,1,8.0,,,,,,,
58,9996,59,Preskar,Milan,8.0,2019,SLO,,,23.0,1,8.0,2.0,14.0,,,,,
59,13867,60,Shevchenko,Vladislav,8.0,2019,RUS,,,21.0,1,8.0,7.5,,,,,,
60,13491,61,Lee,Sungsu,7.0,2019,KOR,170.0,55.0,20.0,1,7.0,,,,,,,
61,11183,62,CHON,Jongwon,6.0,2019,KOR,176.0,57.0,23.0,1,6.0,37.0,8.0,7.0,,,,
62,12078,63,Posch,Mathias,5.0,2019,AUT,,,20.0,1,5.0,1.0,3.0,,,,,
63,57094,64,Ishimatsu,Taisei,4.0,2019,JPN,,,23.0,1,4.0,,,,,,,
64,12701,65,Marcus,Nimrod,4.0,2019,ISR,,,20.0,1,4.0,,,,,,,
65,10404,66,Vettorata,Francesco,3.0,2019,ITA,,,27.0,1,3.0,28.0,26.0,28.833333333333332,27.5,24.5,21.333333333333332,18.0
66,11739,67,Takata,Tomoaki,2.0,2019,JPN,,,24.0,1,2.0,6.666666666666667,,,,,,
67,6550,1,Schubert,Jakob,495.0,2018,AUT,175.0,64.0,28.0,6,82.5,88.33333333333333,67.0,66.0,73.71428571428571,76.42857142857143,67.25,93.88888888888889
68,8323,2,Ghisolfi,Stefano,466.0,2018,ITA,170.0,57.0,25.0,6,77.66666666666667,59.0,59.333333333333336,42.0,44.714285714285715,33.142857142857146,34.625,19.5
69,8958,4,Skofic,Domen,356.0,2018,SLO,176.0,62.0,24.0,6,59.333333333333336,46.42857142857143,78.66666666666667,62.666666666666664,58.57142857142857,35.0,24.375,20.571428571428573
70,3554,3,Desgranges,Romain,356.0,2018,FRA,174.0,57.0,36.0,6,59.333333333333336,68.14285714285714,63.333333333333336,59.0,59.142857142857146,49.42857142857143,50.25,47.77777777777778
71,7229,5,Min,Hyunbin,251.0,2018,KOR,,,29.0,6,41.833333333333336,28.4,51.42857142857143,45.875,40.0,25.0,28.0,10.25
72,9058,6,Megos,Alexander,230.0,2018,GER,,,25.0,4,57.5,60.0,19.0,21.0,7.0,,,
73,61376,7,Homma,Taisei,217.0,2018,JPN,,,19.0,6,36.166666666666664,,,,,,,
74,10951,8,Lehmann,Sascha,206.0,2018,SUI,,,20.0,6,34.333333333333336,9.5,22.166666666666668,10.0,,,,
75,12326,9,Hada,Yuki,192.0,2018,JPN,,,21.0,6,32.0,34.0,22.0,26.0,22.0,,,
76,10404,10,Vettorata,Francesco,168.0,2018,ITA,,,26.0,6,28.0,26.0,28.833333333333332,27.5,24.5,21.333333333333332,18.0,5.0
77,8317,11,Bombardi,Marcello,154.0,2018,ITA,,,25.0,6,25.666666666666668,41.285714285714285,9.4,14.0,13.0,5.333333333333333,10.666666666666666,3.0
78,61368,12,Nishida,Hidemasa,154.0,2018,JPN,,,16.0,5,30.8,,,,,,,
79,8315,13,Rudigier,Max,141.0,2018,AUT,,,25.0,6,23.5,24.714285714285715,25.0,24.8,10.0,6.0,26.5,18.0
80,8608,14,Higuchi,Masahiro,133.0,2018,JPN,,,26.0,5,26.6,20.571428571428573,35.5,21.25,22.0,19.0,12.0,
81,14478,15,Tanaka,Shuta,127.0,2018,JPN,,,18.0,4,31.75,,,,,,,
82,10618,16,Narasaki,Tomoa,124.0,2018,JPN,,,22.0,3,41.333333333333336,55.333333333333336,7.5,,,,,
83,10788,17,Samoilov,Fedir,116.0,2018,UKR,164.0,52.0,21.0,4,29.0,27.571428571428573,17.0,4.5,,,,
84,10775,18,Bailey,Sean,103.0,2018,USA,,,22.0,4,25.75,34.6,24.0,,,,,
85,11718,19,Nakano,Minoru,99.0,2018,JPN,171.0,61.0,34.0,5,19.8,9.0,40.0,21.0,13.0,,,
86,9758,20,Joannes,Thomas,94.0,2018,FRA,,,24.0,4,23.5,31.571428571428573,38.666666666666664,29.5,6.333333333333333,10.5,20.0,
87,10962,21,Bosi,William,92.0,2018,GBR,,,20.0,3,30.666666666666668,10.5,1.0,,,,,
88,11392,22,Shimizu,Hiroto,91.0,2018,JPN,,,22.0,3,30.333333333333332,4.0,6.0,13.0,,,,
89,10365,23,Puman,Hannes,87.0,2018,SWE,,,21.0,5,17.4,24.714285714285715,14.5,7.0,11.0,9.0,,
90,10172,24,Fujii,Kokoro,86.0,2018,JPN,175.0,65.0,26.0,3,28.666666666666668,32.4,21.0,18.0,11.0,,,
91,9492,25,Timmermans,Loïc,80.0,2018,BEL,,,23.0,4,20.0,14.0,19.0,22.333333333333332,12.0,15.5,13.0,8.0
92,5089,26,McColl,Sean,77.0,2018,CAN,169.0,60.0,31.0,2,38.5,63.5,55.8,50.6,62.857142857142854,59.333333333333336,59.375,57.166666666666664
93,12501,27,Ogata,Yoshiyuki,74.0,2018,JPN,,,20.0,5,14.8,35.0,,,,,,
94,12431,28,Nakagami,Taito,73.0,2018,JPN,,,19.0,5,14.6,20.0,,,,,,
95,12528,29,Konecny,Jakub,62.0,2018,CZE,,,19.0,3,20.666666666666668,21.0,,,,,,
96,11024,30,Collin,Nicolas,61.0,2018,BEL,,,20.0,2,30.5,14.0,10.0,,,,,
97,8372,31,Ondra,Adam,55.0,2018,CZE,185.0,67.0,25.0,1,55.0,80.0,51.0,76.33333333333333,61.142857142857146,90.0,18.0,68.0
98,12604,32,Flohé,Yannick,48.0,2018,GER,,,19.0,3,16.0,,,,,,,
99,10625,33,Parma,Georg,48.0,2018,AUT,,,21.0,5,9.6,9.0,3.0,8.0,,,,
100,56609,34,Ginés López,Alberto,43.0,2018,ESP,,,16.0,1,43.0,,,,,,,
101,8536,35,Qu,HaiBin,39.0,2018,CHN,,,26.0,2,19.5,35.5,26.0,14.0,8.0,12.0,7.0,9.0
102,14023,36,Harada,Kai,36.0,2018,JPN,,,19.0,2,18.0,13.0,,,,,,
103,57874,37,Potocar,Luka,32.0,2018,SLO,,,17.0,3,10.666666666666666,,,,,,,
104,3521,38,Julian  Puigblanque,Ramón ,31.0,2018,ESP,158.0,48.0,37.0,1,31.0,23.666666666666668,21.333333333333332,55.833333333333336,49.42857142857143,60.0,71.0,73.44444444444444
105,10963,40,Pope,James,29.0,2018,GBR,,,20.0,3,9.666666666666666,23.0,,,,,,
106,9426,39,Halenke,Sebastian,29.0,2018,GER,177.0,65.0,23.0,2,14.5,20.0,42.5,43.166666666666664,26.25,23.0,3.6666666666666665,6.0
107,8503,41,KIM,Hanwool,26.0,2018,KOR,170.0,61.0,23.0,3,8.666666666666666,30.428571428571427,31.666666666666668,6.0,18.666666666666668,8.0,8.0,
108,10080,42,JonasMcRae,Elan,20.0,2018,CAN,,,23.0,2,10.0,16.6,6.5,11.5,18.0,13.5,14.0,
109,14032,43,Dohi,Keita,18.0,2018,JPN,,,18.0,1,18.0,,,,,,,
110,9425,44,Firnenburg,David,18.0,2018,GER,,,23.0,1,18.0,8.333333333333334,5.333333333333333,9.0,,,,
111,12629,46,Monchois,Nao,16.0,2018,FRA,,,20.0,1,16.0,5.0,,,,,,
112,11608,45,Kuhnel,Martin,16.0,2018,USA,,,21.0,2,8.0,,,,,,,
113,6623,47,Hojer,Jan,15.0,2018,GER,188.0,77.0,26.0,2,7.5,25.5,31.0,14.0,23.0,23.0,,
114,9514,48,Piccolruaz,Michael,14.0,2018,ITA,,,23.0,1,14.0,,,,,,,
115,13228,49,Avezou,Sam,12.0,2018,FRA,,,17.0,2,6.0,31.0,,,,,,
116,6498,50,Supper,Gautier,12.0,2018,FRA,178.0,64.0,28.0,1,12.0,46.833333333333336,66.66666666666667,45.0,47.57142857142857,22.0,35.111111111111114,51.2
117,11039,51,Shemla,Yuval,9.0,2018,ISR,,,20.0,1,9.0,20.333333333333332,8.0,,,,,
118,11380,52,Brosler,John,8.0,2018,USA,,,21.0,2,4.0,,,,,,,
119,7999,53,Cano Blazquez,Javier,8.0,2018,ESP,,,28.0,1,8.0,9.4,4.0,12.0,12.4,,,
120,74704,54,Jo,Wan Jae,8.0,2018,KOR,,,28.0,2,4.0,,,,,,,
121,12303,55,Lightner,Kai,8.0,2018,USA,,,19.0,2,4.0,31.0,1.5,14.0,,,,
122,3115,56,Verhoeven,Jorg,6.0,2018,NED,181.0,68.0,33.0,1,6.0,29.5,55.714285714285715,47.0,39.4,33.333333333333336,76.0,65.42857142857143
123,6488,58,Kruder,Jernej,5.0,2018,SLO,180.0,71.0,28.0,1,5.0,5.5,3.0,,,,,
124,10688,59,Muhammad,Alfian,5.0,2018,INA,,,21.0,1,5.0,,,,,,,
125,67094,57,GEFFROY,Romaric,5.0,2018,FRA,,,22.0,1,5.0,,,,,,,
126,59038,60,Sapra,Rahul,5.0,2018,CAN,180.0,65.0,20.0,1,5.0,,,,,,,
127,9997,61,Bergant,Martin,4.0,2018,SLO,,,22.0,1,4.0,8.0,12.5,7.5,16.0,5.0,,
128,12304,63,Ruana,Rudolph,4.0,2018,USA,,,19.0,1,4.0,,,,,,,
129,60946,62,Doyle,Aidan,4.0,2018,CAN,185.0,66.0,17.0,2,2.0,,,,,,,
130,74554,64,Barraclough,Brandon,3.0,2018,CAN,170.0,61.0,27.0,1,3.0,,,,,,,
131,12625,65,Duval,Arsène,3.0,2018,FRA,,,19.0,1,3.0,,,,,,,
132,57746,66,McArthur,Hamish,2.0,2018,GBR,,,16.0,1,2.0,,,,,,,
133,9996,67,Preskar,Milan,2.0,2018,SLO,,,22.0,1,2.0,14.0,,,,,,
134,66103,68,Septo Wibowo Siburian,Pangeran,2.0,2018,INA,,,24.0,1,2.0,,,,,,,
135,12078,71,Posch,Mathias,1.0,2018,AUT,,,19.0,1,1.0,3.0,,,,,,
136,11470,70,Jaelolo,Aspar,1.0,2018,INA,,,26.0,1,1.0,,,,,,,
137,9991,69,Bonder,Jeremy,1.0,2018,FRA,169.0,58.0,27.0,1,1.0,12.0,,,,,,
138,10326,72,Vogt,Dimitri,1.0,2018,SUI,,,21.0,1,1.0,1.0,4.0,2.0,,,,
139,3554,1,Desgranges,Romain,477.0,2017,FRA,174.0,57.0,35.0,7,68.14285714285714,63.333333333333336,59.0,59.142857142857146,49.42857142857143,50.25,47.77777777777778,33.2
140,8323,2,Ghisolfi,Stefano,413.0,2017,ITA,170.0,57.0,24.0,7,59.0,59.333333333333336,42.0,44.714285714285715,33.142857142857146,34.625,19.5,21.0
141,10173,3,Korenaga,Keiichiro,373.0,2017,JPN,,,21.0,7,53.285714285714285,32.833333333333336,24.0,31.666666666666668,20.0,,,
142,8958,4,Skofic,Domen,325.0,2017,SLO,176.0,62.0,23.0,7,46.42857142857143,78.66666666666667,62.666666666666664,58.57142857142857,35.0,24.375,20.571428571428573,24.0
143,8317,5,Bombardi,Marcello,289.0,2017,ITA,,,24.0,7,41.285714285714285,9.4,14.0,13.0,5.333333333333333,10.666666666666666,3.0,
144,6550,6,Schubert,Jakob,265.0,2017,AUT,175.0,64.0,27.0,3,88.33333333333333,67.0,66.0,73.71428571428571,76.42857142857143,67.25,93.88888888888889,74.4
145,9758,7,Joannes,Thomas,221.0,2017,FRA,,,23.0,7,31.571428571428573,38.666666666666664,29.5,6.333333333333333,10.5,20.0,,
146,8503,8,KIM,Hanwool,213.0,2017,KOR,170.0,61.0,22.0,7,30.428571428571427,31.666666666666668,6.0,18.666666666666668,8.0,8.0,,
147,10788,9,Samoilov,Fedir,193.0,2017,UKR,164.0,52.0,20.0,7,27.571428571428573,17.0,4.5,,,,,
148,10404,10,Vettorata,Francesco,182.0,2017,ITA,,,25.0,7,26.0,28.833333333333332,27.5,24.5,21.333333333333332,18.0,5.0,
149,10775,11,Bailey,Sean,173.0,2017,USA,,,21.0,5,34.6,24.0,,,,,,
150,8315,13,Rudigier,Max,173.0,2017,AUT,,,24.0,7,24.714285714285715,25.0,24.8,10.0,6.0,26.5,18.0,12.0
151,10365,12,Puman,Hannes,173.0,2017,SWE,,,20.0,7,24.714285714285715,14.5,7.0,11.0,9.0,,,
152,12326,14,Hada,Yuki,170.0,2017,JPN,,,20.0,5,34.0,22.0,26.0,22.0,,,,
153,10618,15,Narasaki,Tomoa,166.0,2017,JPN,,,21.0,3,55.333333333333336,7.5,,,,,,
154,10172,16,Fujii,Kokoro,162.0,2017,JPN,175.0,65.0,25.0,5,32.4,21.0,18.0,11.0,,,,
155,6623,18,Hojer,Jan,153.0,2017,GER,188.0,77.0,25.0,6,25.5,31.0,14.0,23.0,23.0,,,
156,9683,17,Hanke,Christoph,153.0,2017,GER,,,23.0,7,21.857142857142858,8.5,13.5,12.5,14.0,10.5,,
157,8608,19,Higuchi,Masahiro,144.0,2017,JPN,,,25.0,7,20.571428571428573,35.5,21.25,22.0,19.0,12.0,,
158,12501,20,Ogata,Yoshiyuki,140.0,2017,JPN,,,19.0,4,35.0,,,,,,,
159,5089,21,McColl,Sean,127.0,2017,CAN,169.0,60.0,30.0,2,63.5,55.8,50.6,62.857142857142854,59.333333333333336,59.375,57.166666666666664,14.0
160,9058,22,Megos,Alexander,120.0,2017,GER,,,24.0,2,60.0,19.0,21.0,7.0,,,,
161,11183,23,CHON,Jongwon,111.0,2017,KOR,176.0,57.0,21.0,3,37.0,8.0,7.0,,,,,
162,9492,24,Timmermans,Loïc,98.0,2017,BEL,,,22.0,7,14.0,19.0,22.333333333333332,12.0,15.5,13.0,8.0,
163,9685,25,Tekles,Martin,95.0,2017,GER,,,26.0,6,15.833333333333334,7.666666666666667,2.0,2.0,,,,
164,10080,26,JonasMcRae,Elan,83.0,2017,CAN,,,22.0,5,16.6,6.5,11.5,18.0,13.5,14.0,,
165,8372,28,Ondra,Adam,80.0,2017,CZE,185.0,67.0,24.0,1,80.0,51.0,76.33333333333333,61.142857142857146,90.0,18.0,68.0,90.2
166,9426,27,Halenke,Sebastian,80.0,2017,GER,177.0,65.0,22.0,4,20.0,42.5,43.166666666666664,26.25,23.0,3.6666666666666665,6.0,
167,12940,29,Pan,YuFei,72.0,2017,CHN,,,17.0,2,36.0,10.0,,,,,,
168,8536,31,Qu,HaiBin,71.0,2017,CHN,,,25.0,2,35.5,26.0,14.0,8.0,12.0,7.0,9.0,3.0
