id,rank,last_name,first_name,points,year,country,height,weight,age,career_len,event_count,avg_points,t-1,t-2,t-3,t-4,t-5,t-6,t-7,,
8372,1,Ondra,Adam,300,2019,CZE,185,67,26,10,3,100,55,80,51,65.42857143,53.5,90,18,,
56609,2,Ginés López,Alberto,256,2019,ESP,,,17,1,6,42.66666667,43,,,,,,,,
5089,3,McColl,Sean,206,2019,CAN,169,60,32,16,6,34.33333333,25.66666667,63.5,55.8,50.6,55,59.33333333,59.375,,
14023,4,Harada,Kai,195,2019,JPN,,,20,3,5,39,12,6.5,,,,,,,
8323,5,Ghisolfi,Stefano,190,2019,ITA,170,57,26,9,6,31.66666667,66.57142857,51.625,50.85714286,36,39.125,29,34.625,,
11392,6,Shimizu,Hiroto,180,2019,JPN,,,23,5,2,90,30.33333333,1.333333333,6,13,,,,,
10172,7,Fujii,Kokoro,165,2019,JPN,175,65,27,7,5,33,28.66666667,32.4,21,18,11,,,,
9058,8,Megos,Alexander,165,2019,GER,,,26,10,3,55,57.5,60,19,21,7,,,,
10775,9,Bailey,Sean,158,2019,USA,,,23,3,6,26.33333333,25.75,34.6,20,,,,,,
10951,10,Lehmann,Sascha,152,2019,SUI,,,21,4,3,50.66666667,29.42857143,9.5,22.16666667,4,,,,,
6489,11,Stranik,Martin,138,2019,CZE,,,29,13,5,27.6,16,28,24,,,,,,
12432,12,Narasaki,Meichi,135,2019,JPN,,,20,3,5,27,8,13,,,,,,,
12940,13,Pan,YuFei,135,2019,CHN,,,19,3,4,33.75,18,5,,,,,,,
6550,14,Schubert,Jakob,132,2019,AUT,175,64,29,12,3,44,70.71428571,88.33333333,57.42857143,56.57142857,64.5,66.875,67.25,,
61376,15,Homma,Taisei,129,2019,JPN,,,20,1,6,21.5,31,,,,,,,,
10962,16,Bosi,William,127,2019,GBR,,,21,4,4,31.75,18.4,7,1,,,,,,
8317,17,Bombardi,Marcello,126,2019,ITA,,,26,8,6,21,22,36.125,6.714285714,7,13,3.2,8,,
12604,18,Flohé,Yannick,124,2019,GER,,,20,1,5,24.8,16,,,,,,,,
12326,19,Hada,Yuki,121,2019,JPN,,,22,5,6,20.16666667,27.42857143,34,22,13,22,,,,
10618,20,Narasaki,Tomoa,115,2019,JPN,,,23,6,3,38.33333333,41.33333333,55.33333333,5,,,,,,
11373,21,Grupper,Jesse,110,2019,USA,,,22,2,6,18.33333333,2,,,,,,,,
8958,22,Skofic,Domen,110,2019,SLO,176,62,25,9,3,36.66666667,50.85714286,40.625,67.42857143,53.71428571,51.25,35,24.375,,
7465,23,Sugimoto,Rei,109,2019,JPN,170,63,28,5,4,27.25,18,,,,,,,,
61368,24,Nishida,Hidemasa,100,2019,JPN,,,17,1,2,50,22,,,,,,,,
14478,25,Tanaka,Shuta,99,2019,JPN,,,19,1,2,49.5,31.75,,,,,,,,
3554,26,Desgranges,Romain,82,2019,FRA,174,57,37,16,6,13.66666667,50.85714286,59.625,54.28571429,50.57142857,51.75,43.25,44.66666667,,
