,ID,Rank,Last Name,First Name,Points,Event,Gender,Year
0,0,0,0,0,0,0,0,0
0,8372,1,Ondra,Adam,300.0,lead,MEN,2019
1,56609,2,Ginés López,Alberto,256.0,lead,MEN,2019
2,5089,3,McColl,Sean,206.0,lead,MEN,2019
3,14023,4,Harada,Kai,195.0,lead,MEN,2019
4,8323,5,Ghisolfi,Stefano,190.0,lead,MEN,2019
5,11392,6,Shimizu,Hiroto,180.0,lead,MEN,2019
6,10172,7,Fujii,Kokoro,165.0,lead,MEN,2019
7,9058,8,Megos,Alexander,165.0,lead,MEN,2019
8,10775,9,Bailey,Sean,158.0,lead,MEN,2019
9,10951,10,Lehmann,Sascha,152.0,lead,MEN,2019
10,6489,11,Stranik,Martin,138.0,lead,MEN,2019
11,12432,12,Narasaki,Meichi,135.0,lead,MEN,2019
12,12940,13,Pan,YuFei,135.0,lead,MEN,2019
13,6550,14,Schubert,Jakob,132.0,lead,MEN,2019
14,61376,15,Homma,Taisei,129.0,lead,MEN,2019
15,10962,16,Bosi,William,127.0,lead,MEN,2019
16,8317,17,Bombardi,Marcello,126.0,lead,MEN,2019
17,12604,18,Flohé,Yannick,124.0,lead,MEN,2019
18,12326,19,Hada,Yuki,121.0,lead,MEN,2019
19,10618,20,Narasaki,Tomoa,115.0,lead,MEN,2019
20,11373,21,Grupper,Jesse,110.0,lead,MEN,2019
21,8958,22,Skofic,Domen,110.0,lead,MEN,2019
22,7465,23,Sugimoto,Rei,109.0,lead,MEN,2019
23,61368,24,Nishida,Hidemasa,100.0,lead,MEN,2019
24,14478,25,Tanaka,Shuta,99.0,lead,MEN,2019
25,3554,26,Desgranges,Romain,82.0,lead,MEN,2019
26,10963,27,Pope,James,76.0,lead,MEN,2019
27,9426,28,Halenke,Sebastian,72.0,lead,MEN,2019
28,9997,29,Bergant,Martin,63.0,lead,MEN,2019
29,12601,30,Coleman,Nathaniel,60.0,lead,MEN,2019
30,8503,31,KIM,Hanwool,55.0,lead,MEN,2019
31,57874,32,Potocar,Luka,54.0,lead,MEN,2019
32,10788,33,Samoilov,Fedir,49.0,lead,MEN,2019
33,9492,34,Timmermans,Loïc,48.0,lead,MEN,2019
34,12528,35,Konecny,Jakub,46.0,lead,MEN,2019
35,10279,36,Fakiryanov,Dmitrii,42.0,lead,MEN,2019
36,12304,37,Ruana,Rudolph,42.0,lead,MEN,2019
37,53226,38,Duval,Alistair,37.0,lead,MEN,2019
38,12629,39,Monchois,Nao,28.0,lead,MEN,2019
39,6623,40,Hojer,Jan,26.0,lead,MEN,2019
40,10359,41,Lorenzi,Simon,24.0,lead,MEN,2019
41,10825,42,Peharc,Anze,23.0,lead,MEN,2019
42,9683,43,Hanke,Christoph,22.0,lead,MEN,2019
43,13545,44,Iarilovets,Nikolai,20.0,lead,MEN,2019
44,8315,45,Rudigier,Max,19.0,lead,MEN,2019
45,11024,46,Collin,Nicolas,18.0,lead,MEN,2019
46,61144,47,Lee,Dohyun,16.0,lead,MEN,2019
47,12607,48,Linacisoro Molina,Mikel Asier,16.0,lead,MEN,2019
48,9046,49,Rubtsov ,Aleksey,16.0,lead,MEN,2019
49,10173,50,Korenaga,Keiichiro,14.0,lead,MEN,2019
50,57746,51,McArthur,Hamish,14.0,lead,MEN,2019
51,12707,52,Schiestl,Matthias,14.0,lead,MEN,2019
52,9514,53,Piccolruaz,Michael,12.0,lead,MEN,2019
53,9758,54,Joannes,Thomas,11.0,lead,MEN,2019
54,14032,55,Dohi,Keita,10.0,lead,MEN,2019
55,9537,56,Khazanov,Alex,10.0,lead,MEN,2019
56,10365,57,Puman,Hannes,9.0,lead,MEN,2019
57,50798,58,Martin,Philipp,8.0,lead,MEN,2019
58,9996,59,Preskar,Milan,8.0,lead,MEN,2019
59,13867,60,Shevchenko,Vladislav,8.0,lead,MEN,2019
60,13491,61,Lee,Sungsu,7.0,lead,MEN,2019
61,11183,62,CHON,Jongwon,6.0,lead,MEN,2019
62,12078,63,Posch,Mathias,5.0,lead,MEN,2019
63,57094,64,Ishimatsu,Taisei,4.0,lead,MEN,2019
64,12701,65,Marcus,Nimrod,4.0,lead,MEN,2019
65,10404,66,Vettorata,Francesco,3.0,lead,MEN,2019
66,11739,67,Takata,Tomoaki,2.0,lead,MEN,2019
0,14506,1,Seo,Chaehyun,480.0,lead,WOMEN,2019
1,11989,2,Garnbret,Janja,352.0,lead,WOMEN,2019
2,66824,3,Tanii,Natsuki,243.0,lead,WOMEN,2019
3,13208,4,Rakovec,Lucka,226.0,lead,WOMEN,2019
4,6326,5,Noguchi,Akiyo,224.0,lead,WOMEN,2019
5,66821,6,Mori,Ai,220.0,lead,WOMEN,2019
6,69147,7,Zhang,YueTong,207.0,lead,WOMEN,2019
