Unnamed: 0,id,rank,last_name,first_name,points,year,country,height,weight,age,career_len,event_count,avg_points,t-1,t-2,t-3,t-4,t-5,t-6,t-7
506,14506,1,Seo,Chaehyun,480.0,2019,KOR,161.0,48.0,16.0,0,6,80.0,,,,,,,
507,11989,2,Garnbret,Janja,352.0,2019,SLO,164.0,47.0,20.0,4,6,58.666666666666664,78.57142857142857,83.125,75.71428571428571,75.0,,,
516,66824,3,Tanii,Natsuki,243.0,2019,JPN,,,16.0,0,5,48.6,,,,,,,
518,13208,4,Rakovec,Lucka,226.0,2019,SLO,,,18.0,2,6,37.666666666666664,9.5,7.0,,,,,
522,6326,5,Noguchi,Akiyo,224.0,2019,JPN,165.0,49.0,30.0,14,4,56.0,53.5,45.666666666666664,67.5,26.0,52.5,50.166666666666664,49.0
550,66821,6,Mori,Ai,220.0,2019,JPN,,,16.0,0,5,44.0,,,,,,,
552,69147,7,Zhang,YueTong,207.0,2019,CHN,,,16.0,0,4,51.75,,,,,,,
554,5983,8,KIM,Jain,206.0,2019,KOR,153.0,42.0,31.0,15,4,51.5,70.8,65.625,56.42857142857143,65.85714285714286,75.875,78.125,68.55555555555556
580,13209,9,Krampl,Mia,189.0,2019,SLO,,,19.0,3,6,31.5,35.166666666666664,13.666666666666666,5.0,,,,
586,9970,10,Pilz,Jessica,176.0,2019,AUT,163.0,52.0,23.0,7,3,58.666666666666664,72.14285714285714,46.75,44.6,62.142857142857146,42.0,32.333333333333336,15.0
598,61372,11,Hirano,Natsumi,159.0,2019,JPN,,,17.0,1,5,31.8,22.25,,,,,,
600,10489,12,Thompson-Smith,Molly,152.0,2019,GBR,,,22.0,6,6,25.333333333333332,20.0,44.5,12.0,7.0,3.0,4.0,
607,13960,13,Shiraishi,Ashima,128.0,2019,USA,,,18.0,2,4,32.0,39.75,58.25,,,,,
612,13189,14,Rogora,Laura,114.0,2019,ITA,,,18.0,2,6,19.0,9.25,23.25,,,,,
616,9956,15,Kazbekova,Ievgeniia,102.0,2019,UKR,,,23.0,7,4,25.5,10.2,19.166666666666668,15.6,5.333333333333333,4.5,4.666666666666667,
627,10620,16,Kotake,Mei,102.0,2019,JPN,,,22.0,3,6,17.0,38.0,22.0,10.5,,,,
635,5629,17,Schranz,Christine,97.0,2019,AUT,,,31.0,13,5,19.4,20.142857142857142,28.333333333333332,28.5,20.285714285714285,24.5,35.0,20.0
649,12597,18,Lukan,Vita,94.0,2019,SLO,,,19.0,3,3,31.333333333333332,31.0,27.25,14.0,,,,
655,12039,19,Nonaka,Miho,86.0,2019,JPN,162.0,53.0,22.0,6,3,28.666666666666668,26.666666666666668,18.0,8.0,3.6,,,
666,9984,20,Chanourdie,Julia,85.0,2019,FRA,,,23.0,7,4,21.25,17.333333333333332,45.25,32.857142857142854,29.166666666666668,18.25,15.0,3.3333333333333335
676,11377,21,Hayes,Margo,79.0,2019,USA,,,21.0,2,4,19.75,29.0,,,,,,
682,10888,22,Fiser,Julia,70.0,2019,AUT,,,22.0,5,6,11.666666666666666,14.428571428571429,13.333333333333334,2.0,6.75,1.0,,
688,9989,23,Gibert,Fanny,68.0,2019,FRA,166.0,51.0,26.0,1,5,13.6,19.0,,,,,,
698,11397,24,Tajima,Aika,65.0,2019,JPN,,,21.0,5,2,32.5,40.0,22.0,26.333333333333332,,,,
705,10826,25,Kalan,Tjasa,56.0,2019,SLO,,,23.0,7,4,14.0,32.0,0.6666666666666666,19.25,29.571428571428573,22.0,20.0,1.0
713,9867,26,Verhoeven,Anak,55.0,2019,BEL,163.0,,23.0,7,1,55.0,45.25,55.5,70.71428571428571,54.42857142857143,55.875,42.4,14.5
721,59758,28,Pouget,Camille,49.0,2019,FRA,,,17.0,1,3,16.333333333333332,4.0,,,,,,
723,11374,29,Condie,Kyra,48.0,2019,USA,,,23.0,7,5,9.6,18.0,5.0,,,,,
733,60150,30,Ito,Futaba,47.0,2019,JPN,,,17.0,1,4,11.75,18.75,,,,,,
737,11809,31,Doumont,Heloïse,46.0,2019,BEL,,,21.0,5,6,7.666666666666667,11.714285714285714,12.0,0.75,2.0,,,
742,12623,32,Arthaud,Nina,41.0,2019,FRA,,,19.0,1,3,13.666666666666666,9.0,,,,,,
744,54486,33,Douady,Luce,41.0,2019,FRA,,,16.0,0,2,20.5,,,,,,,
746,8896,34,Posch,Katharina,36.0,2019,AUT,169.0,55.0,25.0,9,3,12.0,24.857142857142858,14.0,20.857142857142858,24.714285714285715,35.125,32.375,32.22222222222222
763,12658,35,Meshkova,Viktoriia,32.0,2019,RUS,,,19.0,2,5,6.4,15.0,,,,,,
766,12646,36,Skusek,Lana,31.0,2019,SLO,,,19.0,1,1,31.0,8.333333333333334,,,,,,
768,10067,37,Hiroshige,Yuki,30.0,2019,JPN,,,24.0,5,4,7.5,4.0,12.75,18.0,6.0,,,
773,13211,38,Lettner,Sandra,26.0,2019,AUT,,,18.0,0,6,4.333333333333333,,,,,,,
776,8812,39,Rekabi,Elnaz,26.0,2019,IRI,,50.0,30.0,0,2,13.0,,,,,,,
781,13484,40,Kim,Lan,25.0,2019,KOR,167.0,50.0,18.0,1,6,4.166666666666667,16.0,,,,,,
783,6367,41,Klingler,Petra,25.0,2019,SUI,163.0,59.0,27.0,1,2,12.5,3.0,,,,,,
796,9985,42,Romain,Salomé,25.0,2019,FRA,,,23.0,7,1,25.0,11.25,25.0,22.142857142857142,23.4,23.333333333333332,22.25,4.5
804,13224,43,Arc,Nolwenn,22.0,2019,FRA,,,19.0,3,4,5.5,16.0,12.6,9.2,,,,
808,9979,44,Koller,Anne-Sophie,21.0,2019,SUI,,,23.0,6,4,5.25,20.0,35.0,31.666666666666668,6.0,2.5,,
815,8247,45,Coxsey,Shauna,18.0,2019,GBR,163.0,58.0,26.0,2,2,9.0,47.0,,,,,,
827,13954,46,Raboutou,Brooke,17.0,2019,USA,,,18.0,2,3,5.666666666666667,6.0,22.666666666666668,,,,,
833,6457,47,Choong,Katherine,14.0,2019,SUI,,,27.0,10,4,3.5,11.0,18.666666666666668,2.5,9.75,2.3333333333333335,13.0,12.333333333333334
843,12639,48,Krasovskaya,Elena,13.0,2019,RUS,,,19.0,3,5,2.6,3.0,,,,,,
847,64428,49,Potapova,Nika,9.0,2019,UKR,,,16.0,0,3,3.0,,,,,,,
848,9212,50,Ota,Risa,8.0,2019,JPN,,,26.0,9,2,4.0,23.0,20.571428571428573,36.166666666666664,29.285714285714285,35.333333333333336,18.0,28.0
858,13280,51,Aguado,Valentina,7.0,2019,ARG,,,18.0,0,3,2.3333333333333335,,,,,,,
861,9239,52,Hafsaas,Tina Johnsen,7.0,2019,NOR,,,25.0,8,5,1.4,15.0,19.5,0.5,7.0,3.6666666666666665,11.4,3.0
871,10003,53,Ghisolfi,Claudia,6.0,2019,ITA,,,23.0,6,4,1.5,0.25,10.625,6.714285714285714,8.4,4.75,8.333333333333334,
878,9266,54,SA,Sol,4.0,2019,KOR,164.0,51.0,25.0,9,5,0.8,2.0,22.0,15.666666666666666,4.0,14.666666666666666,18.0,
894,8590,55,Yip,Alannah,4.0,2019,CAN,,,26.0,8,5,0.8,12.0,,,,,,
901,11767,56,Hulliger,Michelle,3.0,2019,SUI,,,20.0,4,4,0.75,5.666666666666667,8.666666666666666,4.5,3.3333333333333335,,,
906,57542,57,Michalkova,Vanda,3.0,2019,SVK,,,17.0,1,3,1.0,1.0,,,,,,
909,73624,58,KUDO,Hana,2.0,2019,JPN,,,16.0,0,1,2.0,,,,,,,
910,67290,59,Moriwaki,Honoka,2.0,2019,JPN,,,20.0,2,1,2.0,4.0,,,,,,
912,13534,60,van der Meer,Lynn,2.0,2019,NED,,,20.0,0,4,0.5,,,,,,,
509,11989,1,Garnbret,Janja,550.0,2018,SLO,164.0,47.0,19.0,3,7,78.57142857142857,83.125,75.71428571428571,75.0,,,,
588,9970,2,Pilz,Jessica,505.0,2018,AUT,163.0,52.0,22.0,6,7,72.14285714285714,46.75,44.6,62.142857142857146,42.0,32.333333333333336,15.0,
556,5983,3,KIM,Jain,354.0,2018,KOR,153.0,42.0,30.0,14,5,70.8,65.625,56.42857142857143,65.85714285714286,75.875,78.125,68.55555555555556,75.66666666666667
1575,9756,4,Hily,Manon,238.0,2018,FRA,,,24.0,5,7,34.0,5.0,6.0,,,,,
628,10620,5,Kotake,Mei,228.0,2018,JPN,,,21.0,2,6,38.0,22.0,10.5,,,,,
706,10826,6,Kalan,Tjasa,224.0,2018,SLO,,,22.0,6,7,32.0,0.6666666666666666,19.25,29.571428571428573,22.0,20.0,1.0,
1580,10385,7,Schubert,Hannah,219.0,2018,AUT,,,21.0,4,7,31.285714285714285,25.5,34.5,13.5,12.5,,,
524,6326,9,Noguchi,Akiyo,214.0,2018,JPN,165.0,49.0,29.0,13,4,53.5,45.666666666666664,67.5,26.0,52.5,50.166666666666664,49.0,49.0
582,13209,10,Krampl,Mia,211.0,2018,SLO,,,18.0,2,6,35.166666666666664,13.666666666666666,5.0,,,,,
714,9867,11,Verhoeven,Anak,181.0,2018,BEL,163.0,,22.0,6,4,45.25,55.5,70.71428571428571,54.42857142857143,55.875,42.4,14.5,
